Driver,AUS,MAL,CHI,BAH,SPA,MON,CAN,OST,BRI,HUN,BEL,ITA,SIN,JAP,RUS,US,MEX,BRA,ABU
  Lewis Hamilton,1*,2,1*,1,2*,3,1,2,1*,6,1,1*,DNF,1*,1,1,2,2*,2*
  Nico Rosberg,2,3*,2,3,1,1,2,1*,2,8,2*,17,4,2,DNF,2*,1*,1,1
  Sebastian Vettel,3,1,3,5,3,2,5,4,3,1,12,2,1,3,2*,3,DNF,3,4
  Kimi Räikkönen,DNF,4,4,2*,5,6,4*,DNF,8,DNF,7,5,3,4,8,DNF,DNF,4,3
  Valtteri Bottas,DNS,5,6,4,4,14,3,5,5,13,9,4,5,5,12,DNF,3,5,13
  Felipe Massa,4,6,5,10,6,15,6,3,4,12,6,3,DNF,17,4,DNF,6,EXC,8
  Daniil Kvyat,DNS,9,DNF,9,10,4,9,12,6,2,4,10,6,13,5,DNF,4,7,10
  Daniel Ricciardo,6,10,9,6,7,5*,13,10,DNF,3*,DNF,8,2*,15,15,10,5,11,6
  Sergio Pérez,10,13,11,8,13,7,11,9,9,DNF,5,6,7,12,3,5,8,12,5
  Nico Hülkenberg,7,14,DNF,13,15,11,8,6,7,DNF,DNF,7,DNF,6,DNF,DNF,7,6,7
  Romain Grosjean,DNF,11,7,7,8,12,10,DNF,DNF,7,3,DNF,13,7,DNF,DNF,10,8,9
  Max Verstappen,DNF,7,17,DNF,11,DNF,15,8,DNF,4,8,12,8,9,10,4,9,9,16
  Pastor Maldonado,DNF,DNF,DNF,15,DNF,DNF,7,7,DNF,14,DNF,DNF,12,8,7,8,11,10,DNF
  Felipe Nasr,5,12,8, ,12,9,16,11,DNF,11,11,13,10,DNF,6,9,DNF,13,15
  Carlos Sainz Jr.,9,8,13,DNF,9,10,12,DNF,DNF,DNF,DNF,11,9,10,DNF,7,13,DNF,11
  Jenson Button,11,DNF,14,DNS,16,8,DNF,DNF,DNF,9,14,14,DNF,16,9,6,14,14,12
  Fernando Alonso, ,DNF,12,11,DNF,DNF,DNF,DNF,10,5,13,18,DNF,11,11,11,DNF,15,17
  Marcus Ericsson,8,DNF,10,14,14,13,14,13,11,10,10,9,11,14,DNF,DNF,12,16,14
  Alexander Rossi, , , , , , , , , , , , ,14,18, ,12,15,18, 
  Roberto Merhi,DNQ,15,16,17,18,16,DNF,14,12,15,15,16, , ,13, , , ,19
  Kevin Magnussen,DNS, , , , , , , , , , , , , , , , , , 
  Will Stevens,DNQ,WD,15,16,17,17,17,DNF,13,16,16,15,15,19,14,DNF,16,17,18
