Driver,AUS,BAH,CHI,AZE,SPA,MON,CAN,FRE,OST,BRI,GER,HUN,BEL,ITA,SIN,RUS,JAP,MEX,US,BRA,ABU
Lewis Hamilton,2,1,1,2,1*,1,1,1,5,1*,9,1,2,3*,4,1*,3*,1,2,7,1*
Valtteri Bottas,1*,2,2,1,2,3,4*,2,3,2,DNF,8,3,2,5,2,1,3,1,DNF*,4
Max Verstappen,3,4,4,4,3,4,5,4,1*,5,1*,2*,DNF,8,3,4,DNF,6,3,1,2
Charles Leclerc,5,3*,5,5*,5,DNF,3,3,2,3,DNF,4,1,1,2,3,6,4*,4*,18,3
Sebastian Vettel,4,5,3,3,4,2,2,5*,4,16,2,3,4*,13,1,DNF,2,2,DNF,17,5
Carlos Sainz Jr.,DNF,19,14,7,8,6,11,6,8,6,5,5,DNF,DNF,12,6,5,13,8,3,10
Pierre Gasly,11,8,6*,DNF,6,5*,8,10,7,4,14,6,9,11,8,14,7,9,16,2,18
Alexander Albon,14,9,10,11,11,8,DNF,15,15,12,6,10,5,6,6,5,4,5,5,14,6
Daniel Ricciardo,DNF,18,7,DNF,12,9,6,11,12,7,DNF,14,14,4,14,DNF,DSQ,8,6,6,11
Sergio Pérez,13,10,8,6,15,12,12,12,11,17,DNF,11,6,7,DNF,7,8,7,10,9,7
Lando Norris,12,6,18,8,DNF,11,DNF,9,6,11,DNF,9,11,10,7,8,11,DNF,7,8,8
Kimi Räikkönen,8,7,9,10,14,17,15,7,9,8,12,7,16,15,DNF,13,12,DNF,11,4,13
Nico Hülkenberg,7,17,DNF,14,13,13,7,8,13,10,DNF,12,8,5,9,10,DSQ,10,9,15,12
Daniil Kvyat,10,12,DNF,DNF,9,7,10,14,17,9,3,15,7,DNF,15,12,10,11,12,10,9
Lance Stroll,9,14,12,9,DNF,16,9,13,14,13,4,17,10,12,13,11,9,12,13,19,DNF
Kevin Magnussen,6,13,13,13,7,14,17,17,19,DNF,8,13,12,DNF,17*,9,15,15,18,11,14
Antonio Giovinazzi,15,11,15,12,16,19,13,16,10,DNF,13,18,DNF,9,10,15,14,14,14,5,16
Romain Grosjean,DNF,DNF,11,DNF,10,10,14,DNF,16,DNF,7,DNF,13,16,11,DNF,13,17,15,13,15
Robert Kubica,17,16,17,16,18,18,18,18,20,15,10,19,17,17,16,DNF,17,18,DNF,16,19
George Russell,16,15,16,15,17,15,16,19,18,14,11,16,15,14,DNF,DNF,16,16,17,12,17
