Driver,BAH,EMI,POR,SPA, ,,,
Lewis Hamilton,1,2*,1,1, , , , 
Max Verstappen,2,1,2,2*, , , , 
Valtteri Bottas,3*,DNF,3*,3, , , , 
Lando Norris,4,3,5,8, , , , 
Charles Leclerc,6,4,6,4, , , , 
Sergio Pérez,5,11,4,5, , , , 
Daniel Ricciardo,7,6,9,6, , , , 
Carlos Sainz Jr.,8,5,11,7, , , , 
Esteban Ocon,13,9,7,9, , , , 
Pierre Gasly,17,7,10,10, , , , 
Fernando Alonso,DNF,10,8,17, , , , 
Lance Stroll,10,8,14,11, , , , 
Yuki Tsunoda,9,12,15,DNF, , , , 
Nicholas Latifi,18,DNF,18,16, , , , 
Nikita Mazepin,DNF,17,19,19, , , , 
Mick Schumacher,16,16,17,18, , , , 
Sebastian Vettel,15,DNF,13,13, , , , 
Kimi Räikkönen,11,13,DNF,12, , , , 
George Russell,14,DNF,16,14, , , , 
Antonio Giovinazzi,12,14,12,15, , , , 
