,Pos,Driver,BRI,MON,INDY,SWI,BEL,FRE,ITA,Pts
0,1,Nino Farina,1*,DNF,,1*,4*,7,1,30
1,2,Juan Manuel Fangio,DNF,1*,,DNF,1,1*,DNF,27
2,3,Luigi Fagioli,2,DNF,,2,2,2,3,24 (28)
3,4,Louis Rosier,5,DNF,,3,3,6,4,13
4,5,Alberto Ascari,,2,,DNF,5,DNQ,2,11
5,6,Johnnie Parsons,,,1*,,,,,9
6,7,Bill Holland,,,2,,,,,6
7,8,Prince Bira,DNF,5,,4,,,DNF,5
8,9,Reg Parnell,3,,,,,DNF,,4
9,10,Peter Whitehead,,DNS,,,,3,7,4
10,11,Mauri Rose,,,3,,,,,4
11,12,Louis Chiron,DNF,3,,9,,DNF,DNF,4
12,13,Yves Giraud Cabantous,4,,,DNF,DNF,8,,3
13,14,Cecil Green,,,4,,,,,3
14,15,Robert Manzon,,DNF,,,,4,DNF,3
15,16,Raymond Sommer,,4,,DNF,DNF,DNF,DNF,3
16,17,Philippe Étancelin,8,DNF,,DNF,DNF,5,5,3
17,18,Dorino Serafini,,,,,,,2,3
18,19,Felice Bonetto,,,,5,,DNF,DNS,2
19,20,Tony Bettenhausen,,,5,,,,,1
20,21,Joie Chitwood,,,5,,,,,1
21,22,Eugène Chaboud,,,,,DNF,5,,1
22,23,Eugène Martin,DNF,,,DNF,,,,0
23,24,Pierre Levegh,,,,,7,DNF,DNF,0
24,25,Maurice Trintignant,,DNF,,,,,DNF,0
25,26,Myron Fohr,,,11,,,,,0
26,27,Nello Pagani,,,,7,,,,0
27,28,Bayliss Levrett,,,27,,,,,0
28,29,Pat Flaherty,,,10,,,,,0
29,30,Paul Pietsch,,,,,,,DNF,0
30,31,Paul Russo,,,9,,,,,0
31,32,Peter Walker,DNF,,,,,,,0
32,33,Dick Rathmann,,,32,,,,,0
33,34,David Murray,DNF,,,,,,DNF,0
34,35,Piero Taruffi,,,,,,,DNF,0
35,36,David Hampshire,9,,,,,DNF,,0
36,37,Mack Hellings,,,13,,,,,0
37,38,Cuth Harrison,7,DNF,,,,,DNF,0
38,39,Consalvo Sanesi,,,,,,,DNF,0
39,40,Clemente Biondetti,,,,,,,DNF,0
40,41,Sam Hanks,,,30,,,,,0
41,42,Spider Webb,,,20,,,,,0
42,43,Toni Branca,,,,11,10,,,0
43,44,Charles Pozzi,,,,,,6,,0
44,45,Tony Rolt,DNF,,,,,,,0
45,46,Toulo de Graffenried,DNF,DNF,,6,,,6,0
46,47,Troy Ruttman,,,15,,,,,0
47,48,Walt Ader,,,22,,,,,0
48,49,Walt Brown,,,19,,,,,0
49,50,Walt Faulkner,,,7,,,,,0
50,51,Duane Carter,,,12,,,,,0
51,52,Luigi Villoresi,,DNF,,DNF,6,DNQ,,0
52,53,Franco Comotti,,,,,,DNP,DNF,0
53,54,Jim Rathmann,,,24,,,,,0
54,55,Franco Rol,,DNF,,,,DNF,DNF,0
55,56,Fred Agabashian,,,28,,,,,0
56,57,Gene Hartley,,,16,,,,,0
57,58,Geoff Crossley,DNF,,,,9,,,0
58,59,George Connor,,,8,,,,,0
59,60,Guy Mairesse,,,,,,,DNF,0
60,61,Harry Schell,,DNF,,8,,,,0
61,62,Henri Louveau,,,,,,,DNF,0
62,63,Henry Banks,,,25,,,,,0
63,64,Jack McGrath,,,14,,,,,0
64,65,Jackie Holmes,,,23,,,,,0
65,66,Jerry Hoyt,,,21,,,,,0
66,67,Jimmy Davies,,,17,,,,,0
67,68,Bill Cantrell,,,27,,,,,0
68,69,Jimmy Jackson,,,29,,,,,0
69,70,Joe Fry,10,,,,,,,0
70,71,Joe Kelly,NC,,,,,,,0
71,72,Alfredo Piàn,,DNS,,,,,,0
72,73,Johnny Claes,11,7,,10,8,DNF,DNF,0
73,74,Johnny McDowell,,,18,,,,,0
74,75,Brian Shawe Taylor,10,,,,,,,0
75,76,José Froilán González,,DNF,,,,DNF,,0
76,77,Bill Schindler,,,26,,,,,0
77,78,Lee Wallard,,,6,,,,,0
78,79,Leslie Johnson,DNF,,,,,,,0
79,80,Duke Dinsmore,,,33,,,,,0
80,81,Bob Gerard,6,6,,,,,,0
