,Pos,Driver,SWI,INDY,BEL,FRE,BRI,GER,ITA,SPA,Pts
0,1,Juan Manuel Fangio,1*,,9*,1*,2,2*,DNF,1*,31 (37)
1,2,Alberto Ascari,6,,2,2,DNF,1,1,4,25 (28)
2,3,José Froilán González,DNF,,,2,1,3,2,2,24 (27)
3,4,Nino Farina,3,,1,5,DNF*,DNF,3*,3,19 (22)
4,5,Luigi Villoresi,DNF,,3,3,3,4,4,DNF,15 (18)
5,6,Piero Taruffi,2,,DNF,,,5,5,DNF,10
6,7,Lee Wallard,,1*,,,,,,,9
7,8,Felice Bonetto,,,,,4,DNF,3,5,7
8,9,Mike Nazaruk,,2,,,,,,,6
9,10,Reg Parnell,,,,4,5,,DNS,,5
10,11,Luigi Fagioli,,,,1,,,,,4
11,12,Consalvo Sanesi,4,,DNF,10,6,,,,3
12,13,Louis Rosier,9,,4,DNF,10,8,7,7,3
13,14,Andy Linden,,4,,,,,,,3
14,15,Toulo de Graffenried,5,,,DNF,,DNF,DNF,6,2
15,16,Jack McGrath,,3,,,,,,,2
16,17,Manny Ayulo,,3,,,,,,,2
17,18,Yves Giraud Cabantous,DNF,,5,7,,DNF,8,DNF,2
18,19,Bobby Ball,,5,,,,,,,2
19,20,Philippe Étancelin,10,,DNF,DNF,,DNF,,8,0
20,21,Mack Hellings,,31,,,,,,,0
21,22,Bob Gerard,,,,,11,,,,0
22,23,Mauri Rose,,14,,,,,,,0
23,24,Maurice Trintignant,,,,DNF,,DNF,DNF,DNF,0
24,25,Bill Vukovich,,29,,,,,,,0
25,26,Bill Schindler,,13,,,,,,,0
26,27,Onofre Marimón,,,,DNF,,,,,0
27,28,Paco Godia,,,,,,,,10,0
28,29,Paul Pietsch,,,,,,DNF,,,0
29,30,Peter Hirt,DNF,,,,,,,,0
30,31,Peter Walker,,,,,7,,,,0
31,32,Peter Whitehead,DNF,,,DNF,9,,DNF,,0
32,33,Philip Fotheringham-Parker,,,,,DNF,,,,0
33,34,Cliff Griffith,,28,,,,,,,0
34,35,Brian Shawe Taylor,,,,,8,,,,0
35,36,Pierre Levegh,,,8,,,9,DNF,,0
36,37,Prince Bira,,,,,,,,DNF,0
37,38,André Simon,,,,DNF,,DNF,6,DNF,0
38,39,Robert Manzon,,,,DNF,,7,DNF,9,0
39,40,Rodger Ward,,27,,,,,,,0
40,41,Rudi Fischer,11,,,,,6,,,0
41,42,Sam Hanks,,12,,,,,,,0
42,43,Stirling Moss,8,,,,,,,,0
43,44,Toni Branca,,,,,,DNF,,,0
44,45,Tony Bettenhausen,,9,,,,,,,0
45,46,André Pilette,,,6,,,,,,0
46,47,Troy Ruttman,,23,,,,,,,0
47,48,Walt Brown,,26,,,,,,,0
48,49,Walt Faulkner,,15,,,,,,,0
49,50,Bill Mackey,,19,,,,,,,0
50,51,Carl Forberg,,7,,,,,,,0
51,52,David Murray,,,,,DNF,,,,0
52,53,Henri Louveau,DNF,,,,,,,,0
53,54,Duane Carter,,8,,,,,,,0
54,55,Duke Dinsmore,,24,,,,,,,0
55,56,Duke Nalon,,10,,,,,,,0
56,57,Duncan Hamilton,,,,,12,DNF,,,0
57,58,Eugène Chaboud,,,,8,,,,,0
58,59,Chuck Stevenson,,20,,,,,,,0
59,60,Franco Rol,,,,,,,9,,0
60,61,Fred Agabashian,,17,,,,,,,0
61,62,Gene Force,,11,,,,,,,0
62,63,George Abecassis,DNF,,,,,,,,0
63,64,George Connor,,30,,,,,,,0
64,65,Georges Grignard,,,,,,,,DNF,0
65,66,Guy Mairesse,14,,,9,,,,,0
66,67,Harry Schell,12,,,DNF,,,,,0
67,68,Henry Banks,,6,,,,,,,0
68,69,Louis Chiron,7,,DNF,6,DNF,DNF,DNF,DNF,0
69,70,Chico Landi,,,,,,,DNF,,0
70,71,Jacques Swaters,,,,,,10,DNF,,0
71,72,Jimmy Davies,,16,,,,,,,0
72,73,Joe James,,33,,,,,,,0
73,74,Joe Kelly,,,,,DNF,,,,0
74,75,John James,,,,,DNF,,,,0
75,76,Aldo Gordini,,,,DNF,,,,,0
76,77,Johnny Claes,13,,7,DNF,13,11,DNF,DNF,0
77,78,Johnny McDowell,,32,,,,,,,0
78,79,Chet Miller,,25,,,,,,,0
79,80,Juan Jover,,,,,,,,DNF,0
80,81,Cecil Green,,22,,,,,,,0
81,82,Ken Richardson,,,,,,,DNS,,0
82,83,Carl Scarborough,,18,,,,,,,0
83,84,Johnnie Parsons,,21,,,,,,,0
