,Pos,Driver,SWI,INDY,BEL,FRE,BRI,GER,DUT,ITA,Pts
0,1,Alberto Ascari,,31,1*,1*,1*,1*,1*,1*,36 (53.5)
1,2,Nino Farina,DNF,,2,2,6,2,2,4,24 (27)
2,3,Piero Taruffi,1*,,DNF,3,2,4,,7,22
3,4,Rudi Fischer,2,,,11,13,3,,DNF,10
4,5,Mike Hawthorn,,,4,DNF,3,,4,DNF,10
5,6,Robert Manzon,DNF,,3,4,DNF,DNF,5,14,9
6,7,Troy Ruttman,,1,,,,,,,8
7,8,Luigi Villoresi,,,,,,,3,3,8
8,9,José Froilán González,,,,,,,,2*,6.5
9,10,Jim Rathmann,,2,,,,,,,6
10,11,Jean Behra,3,,DNF,7,,5,DNF,DNF,6
11,12,Sam Hanks,,3,,,,,,,4
12,13,Duane Carter,,4,,,,,,,3
13,14,Dennis Poore,,,,,4,,,12,3
14,15,Ken Wharton,4,,DNF,,,,DNF,9,3
15,16,Felice Bonetto,,,,,,DNF,,5,2
16,17,Paul Frère,,,5,,,DNF,DNF,,2
17,18,Alan Brown,5,,6,,22,,,15,2
18,19,Maurice Trintignant,,,,5,DNF,DNF,6,DNF,2
19,20,Eric Thompson,,,,,5,,,,2
20,21,Art Cross,,5,,,,,,,2
21,22,Bill Vukovich,,17*,,,,,,,1
22,23,Rudolf Krause,,,,,,DNF,,,0
23,24,Tony Gaze,,,15,,DNF,DNF,,DNQ,0
24,25,Tony Bettenhausen,,24,,,,,,,0
25,26,Max de Terra,DNF,,,,,,,,0
26,27,Tony Crook,,,,,21,,,,0
27,28,Marcel Balsa,,,,,,DNF,,,0
28,29,Manny Ayulo,,20,,,,,,,0
29,30,Louis Rosier,DNF,,DNF,DNF,,,,10,0
30,31,Paul Pietsch,,,,,,DNF,,,0
31,32,Toulo de Graffenried,6,,,DNF,19,,,DNQ,0
32,33,Lance Macklin,WD,,11,9,15,,8,DNQ,0
33,34,Willi Heeks,,,,,,DNF,,,0
34,35,Kenneth McAlpine,,,,,16,,,DNF,0
35,36,Yves Giraud Cabantous,,,,10,,,,,0
36,37,Ken Downing,,,,,9,,DNF,,0
37,38,Toni Ulmen,DNF,,,,,8,,,0
38,39,Peter Collins,DNF,,DNF,6,DNF,,,DNQ,0
39,40,Roy Salvadori,,,,,8,,,,0
40,41,Josef Peters,,,,,,DNF,,,0
41,42,Rudolf Schoeller,,,,,,DNF,,,0
42,43,Roger Laurent,,,12,,,6,,,0
43,44,Rodger Ward,,23,,,,,,,0
44,45,Robin Montgomerie-Charrington,,,DNF,,,,,,0
45,46,Robert O'Brien,,,14,,,,,,0
46,47,Spider Webb,,22,,,,,,,0
47,48,Reg Parnell,,,,,7,,,,0
48,49,Peter Hirt,7,,,11,DNF,,,,0
49,50,Stirling Moss,WD,,DNF,,DNF,,DNF,DNF,0
50,51,Prince Bira,DNF,,10,DNF,11,,,,0
51,52,Theo Helfrich,,,,,,DNF,,,0
52,53,Piero Dusio,,,,,,,,DNQ,0
53,54,Piero Carini,,,,DNF,,DNF,,,0
54,55,Philippe Étancelin,,,,8,,,,,0
55,56,Peter Whitehead,,,,DNF,10,,,DNQ,0
56,57,Adolf Brudes,,,,,,DNF,,,0
57,58,Jimmy Bryan,,6,,,,,,,0
58,59,Johnny McDowell,,21,,,,,,,0
59,60,Chet Miller,,30,,,,,,,0
60,61,Eitel Cantoni,,,,,DNF,DNF,,11,0
61,62,Eddie Johnson,,16,,,,,,,0
62,63,Duncan Hamilton,,,,,DNF,,7,,0
63,64,Duke Nalon,,25,,,,,,,0
64,65,Dries van der Lof,,,,,,,DNF,,0
65,66,David Murray,,,,,DNF,,,,0
66,67,Cliff Griffith,,9,,,,,,,0
67,68,Chuck Stevenson,,18,,,,,,,0
68,69,Chico Landi,,,,,,,9,8,0
69,70,Charles de Tornaco,,,7,,,,DNF,DNQ,0
70,71,Ernst Klodwig,,,,,,12,,,0
71,72,Bobby Ball,,32,,,,,,,0
72,73,Bob Sweikert,,26,,,,,,,0
73,74,Bob Scott,,29,,,,,,,0
74,75,Bill Schindler,,14,,,,,,,0
75,76,Bill Aston,,,,,DNS,DNF,,DNQ,0
76,77,Arthur Legat,,,13,,,,,,0
77,78,Andy Linden,,33,,,,,,,0
78,79,André Simon,DNF,,,,,,,6,0
79,80,Alberto Crespo,,,,,,,,DNQ,0
80,81,Eric Brandon,8,,9,,20,,,13,0
81,82,Franco Comotti,,,,12,,,,,0
82,83,Johnny Claes,,,8,DNF,14,10,,DNQ,0
83,84,Hans Von Stuck,DNF,,,,,,,DNQ,0
84,85,Johnnie Parsons,,10,,,,,,,0
85,86,Joe James,,13,,,,,,,0
86,87,Jimmy Reece,,7,,,,,,,0
87,88,Jim Rigsby,,12,,,,,,,0
88,89,Jan Flinterman,,,,,,,9,,0
89,90,Jack McGrath,,11,,,,,,,0
90,91,Henry Banks,,19,,,,,,,0
91,92,Helmut Niedermayr,,,,,,9,,,0
92,93,Harry Schell,DNF,,,DNF,17,,,,0
93,94,Hans Klenk,,,,,,11,,,0
94,95,Franco Rol,,,,,,,,DNF,0
95,96,Günther Bechem,,,,,,DNF,,,0
96,97,Graham Whitehead,,,,,12,,,,0
97,98,Gino Bianco,,,,,18,DNF,DNF,DNF,0
98,99,George Fonder,,15,,,,,,,0
99,100,George Connor,,8,,,,,,,0
100,101,George Abecassis,DNF,,,,,,,,0
101,102,Gene Hartley,,28,,,,,,,0
102,103,Fritz Riess,,,,,,7,,,0
103,104,Fred Agabashian,,27,,,,,,,0
104,105,Élie Bayol,,,,,,,,DNF,0
