,Pos,Driver,ARG,INDY,DUT,BEL,FRE,BRI,GER,SWI,ITA,Pts
0,1,Alberto Ascari,1*,,1,1,4,1*,8,1*,DNF,34.5 (46.5)
1,2,Juan Manuel Fangio,DNF,,DNF,DNF,2*,2,2,4,1*,28 (29.5)
2,3,Nino Farina,DNF,,2,DNF,5,3,1,2,2,26 (32)
3,4,Mike Hawthorn,4,,4,6,1,5,3,3,4,19 (27)
4,5,Luigi Villoresi,2,,DNF*,2,6,DNF,8,6,3,17
5,6,José Froilán González,3,,3,DNF*,3,4*,,,,13.5 (14.5)
6,7,Bill Vukovich,,1*,,,,,,,,9
7,8,Toulo de Graffenried,,,5,4,7,DNF,5,DNF,DNF,7
8,9,Felice Bonetto,DNF,,3,,DNF,6,4,4,DNF,6.5
9,10,Art Cross,,2,,,,,,,,6
10,11,Maurice Trintignant,7,,6,5,DNF,DNF,DNF,DNF,5,4
11,12,Onofre Marimón,,,,3,9,DNF,DNF,DNF,DNF,4
12,13,Duane Carter,,3,,,,,,,,2
13,14,Hermann Lang,,,,,,,,5,,2
14,15,Jack McGrath,,5,,,,,,,,2
15,16,Sam Hanks,,3,,,,,,,,2
16,17,Óscar Alfredo Gálvez,5,,,,,,,,,2
17,18,Fred Agabashian,,4,,,,,,,,1.5
18,19,Paul Russo,,4,,,,,,,,1.5
19,20,Élie Bayol,,,,,DNF,,,,DNF,0
20,21,Louis Chiron,,,,,15,,,,10,0
21,22,Kenneth McAlpine,,,DNF,,,DNF,13,,NC,0
22,23,Pablo Birger,DNF,,,,,,,,,0
23,24,Oswald Karch,,,,,,,DNF,,,0
24,25,Kurt Adolff,,,,,,,DNF,,,0
25,26,Lance Macklin,,,DNF,DNF,DNF,DNF,,DNF,DNF,0
26,27,Wolfgang Seidel,,,,,,,16,,,0
27,28,Manny Ayulo,,13,,,,,,,,0
28,29,Mike Nazaruk,,21,,,,,,,,0
29,30,Yves Giraud Cabantous,,,,,14,,,,15,0
30,31,Max de Terra,,,,,,,,8,,0
31,32,Louis Rosier,,,7,8,8,10,10,DNF,16,0
32,33,Marshall Teague,,18,,,,,,,,0
33,34,Luigi Musso,,,,,,,,,7,0
34,35,Pat Flaherty,,22,,,,,,,,0
35,36,Walt Faulkner,,17,,,,,,,,0
36,37,Paul Frère,,,,10,,,,DNF,,0
37,38,Sergio Mantovani,,,,,,,,,7,0
38,39,Willi Heeks,,,,,,,DNF,,,0
39,40,Tony Rolt,,,,,,DNF,,,,0
