,Pos,Driver,ARG,INDy,BEL,FRE,BRI,GER,SWI,ITA,SPA,Pts
0,1,Juan Manuel Fangio,1,,1*,1,4*,1,1*,1,3,42 (57.14)
1,2,José Froilán González,3*,,4,DNF,1*,2,2,3*,,25.14 (26.64)
2,3,Mike Hawthorn,DSQ,,4,DNF,2*,2,DNF,2,1,24.64
3,4,Maurice Trintignant,4,,2,DNF,5,3,DNF,5,DNF,17
4,5,Karl Kling,,,,2,7,4*,DNF,DNF,5,12
5,6,Hans Herrmann,,,,DNF*,,DNF,3,4,DNF,8
6,7,Bill Vukovich,,1,,,,,,,,8
7,8,Jimmy Bryan,,2,,,,,,,,6
8,9,Luigi Musso,DNS,,,,,,,DNF,2,6
9,10,Roberto Mieres,DNF,,DNF,DNF,6,DNF,4,DNF,4,6
10,11,Nino Farina,2,,DNF,,,,,,,6
11,12,Jack McGrath,,3*,,,,,,,,5
12,13,Stirling Moss,,,3,,DNF*,DNF,DNF,10,DNF,4.14
13,14,Onofre Marimón,DNF,,DNF,DNF,3*,DNS,,,,4.14
14,15,Sergio Mantovani,,,7,DNS,,5,5,9,DNF,4
15,16,Robert Manzon,,,,3,DNF,9,DNS,DNF,DNF,4
16,17,Prince Bira,7,,6,4,DNF,DNF,,,9,3
17,18,Mike Nazaruk,,5,,,,,,,,2
18,19,Élie Bayol,5,,,,,,,,,2
19,20,André Pilette,,,5,,9,DNF,,,,2
20,21,Umberto Maglioli,9,,,,,,7,3,,2
21,22,Luigi Villoresi,,,,5,DNF,DNS,,DNF,DNF,2
22,23,Troy Ruttman,,4,,,,,,,,1.5
23,24,Duane Carter,,4,,,,,,,,1.5
24,25,Alberto Ascari,,,,DNF,DNF,,,DNF,DNF*,1.14
25,26,Jean Behra,DSQ,,DNF,6,DNF*,10,DNF,DNF,DNF,0.14
26,27,Marshall Teague,,15,,,,,,,,0
27,28,Manny Ayulo,,13,,,,,,,,0
28,29,Ottorino Volonterio,,,,,,,,,DNF,0
29,30,Louis Rosier,DNF,,,DNF,DNF,8,,8,7,0
30,31,Leslie Thorne,,,,,14,,,,,0
31,32,Peter Collins,,,,,DNF,,,7,DNS,0
32,33,Paco Godia,,,,,,,,,6,0
33,34,Roger Loyer,DNF,,,,,,,,,0
34,35,Walt Faulkner,,12,,,,,,,,0
35,36,Toulo de Graffenried,8,,,,,,,,DNF,0
36,37,Tony Bettenhausen,,15,,,,,,,,0
37,38,Theo Helfrich,,,,,,DNF,,,,0
38,39,Spider Webb,,30,,,,,,,,0
39,40,Sam Hanks,,11,,,,,,,,0
40,41,Roy Salvadori,,,,DNF,DNF,,,,,0
41,42,Ron Flockhart,,,,,DNF,,,,,0
42,43,Rodney Nuckey,,,,,DNS,,,,,0
43,44,Pat Flaherty,,28,,,,,,,,0
44,45,Rodger Ward,,22,,,,,,,,0
45,46,Reg Parnell,,,,,DNF,,,,,0
46,47,Piero Taruffi,,,,,,6,,,,0
47,48,Peter Whitehead,,,,,DNF,,,,,0
48,49,Len Duncan,,31,,,,,,,,0
49,50,Paul Russo,,8,,,,,,,,0
50,51,Paul Frère,,,DNF,DNF,,DNF,,,,0
51,52,Pat O'Connor,,21,,,,,,,,0
52,53,Leslie Marr,,,,,13,,,,,0
53,54,Alan Brown,,,,,DNS,,,,,0
54,55,Larry Crockett,,9,,,,,,,,0
55,56,Chuck Stevenson,,12,,,,,,,,0
56,57,Ernie McCoy,,16,,,,,,,,0
57,58,Eric Brandon,,,,,DNF,,,,,0
58,59,Eddie Johnson,,22,,,,,,,,0
59,60,Ed Elisian,,18,,,,,,,,0
60,61,Don Freeland,,7,,,,,,,,0
61,62,Don Beauman,,,,,11,,,,,0
62,63,Danny Kladis,,30,,,,,,,,0
63,64,Clemar Bucci,,,,,DNF,DNF,DNF,DNF,,0
64,65,Carlos Menditeguy,DNS,,,,,,,,,0
65,66,Fred Agabashian,,6,,,,,,,,0
66,67,Cal Niday,,10,,,,,,,,0
67,68,Bob Sweikert,,14,,,,,,,,0
68,69,Bob Scott,,18,,,,,,,,0
69,70,Bob Gerard,,,,,10,,,,,0
70,71,Bill Whitehouse,,,,,DNF,,,,,0
71,72,Bill Homeier,,33,,,,,,,,0
72,73,Art Cross,,11,,,,,,,,0
73,74,Andy Linden,,11,,,,,,,,0
74,75,Frank Armi,,19,,,,,,,,0
75,76,Fred Wacker,,,,,,,DNF,6,,0
76,77,Lance Macklin,,,,DNF,,,,,,0
77,78,Jim Rathmann,,20,,,,,,,,0
78,79,Ken Wharton,,,,DNF,8,DNS,6,,8,0
79,80,Johnny Thomson,,24,,,,,,,,0
80,81,Johnnie Parsons,,11,,,,,,,,0
81,82,John Riseley-Prichard,,,,,DNF,,,,,0
82,83,Jimmy Reece,,17,,,,,,,,0
83,84,Jimmy Jackson,,15,,,,,,,,0
84,85,Jimmy Daywalt,,24,,,,,,,,0
85,86,Jimmy Davies,,11,,,,,,,,0
86,87,Jerry Hoyt,,8,,,,,,,,0
87,88,Gene Hartley,,23,,,,,,,,0
88,89,Jacques Swaters,,,DNF,,,,8,,DNF,0
89,90,Jacques Pollet,,,,DNF,,,,,DNF,0
90,91,Horace Gould,,,,,15,,,,,0
91,92,Hermann Lang,,,,,,DNF,,,,0
92,93,Harry Schell,6,,,DNF,12,7,DNF,,DNF,0
93,94,Giovanni de Riu,,,,,,,,DNQ,,0
94,95,Georges Berger,,,,DNF,,,,,,0
95,96,George Fonder,,19,,,,,,,,0
96,97,Jorge Daponte,DNF,,,,,,,11,,0
