,Pos,Driver,ARG,MON,INDy,BEL,DUT,BRI,ITA,Pts
0,1,Juan Manuel Fangio,1*,DNF*,,1*,1,2,1,40 (41)
1,2,Stirling Moss,4,9,,2,2,1*,DNF*,23
2,3,Eugenio Castellotti,DNF,2,,DNF,5,6,3,12
3,4,Maurice Trintignant,2,1,,6,DNF,DNF,8,11.33
4,5,Nino Farina,2,4,,3,,,DNS,10.33
5,6,Piero Taruffi,,8,,DNS,,4,2,9
6,7,Bob Sweikert,,,1,,,,,8
7,8,Roberto Mieres,5,DNF,,5,4*,DNF,7,7
8,9,Luigi Musso,7,DNF,,7,3,5,DNF,6
9,10,Jean Behra,6,3,,5,6,DNF,4,6
10,11,Karl Kling,4,,,DNF,DNF,3,DNF,5
11,12,Jimmy Davies,,,3,,,,,4
12,13,Tony Bettenhausen,,,2,,,,,3
13,14,Paul Frère,,8,,4,,,,3
14,15,Johnny Thomson,,,4,,,,,3
15,16,Paul Russo,,,2,,,,,3
16,17,Luigi Villoresi,DNF,5,,,,,DNS,2
17,18,José Froilán González,2,,,,,,,2
18,19,Cesare Perdisa,,3,,8,,,,2
19,20,Carlos Menditeguy,DNF,,,,,,5,2
20,21,Umberto Maglioli,3,,,,,,6,1.33
21,22,Bill Vukovich,,,25*,,,,,1
22,23,Hans Herrmann,4,DNQ,,,,,,1
23,24,Bill Homeier,,,5,,,,,1
24,25,Walt Faulkner,,,5,,,,,1
25,26,Mike Hawthorn,,DNF,,DNF,7,6,DNF,0
26,27,Al Herman,,,7,,,,,0
27,28,Louis Chiron,,6,,,,,,0
28,29,Luigi Piotti,,,,,,,DNS,0
29,30,Louis Rosier,,DNF,,9,9,,,0
30,31,Leslie Marr,,,,,,DNF,,0
31,32,Mike Sparken,,,,,,7,,0
32,33,Peter Walker,,,,,DNF,DNF,,0
33,34,Pablo Birger,DNF,,,,,,,0
34,35,Pat Flaherty,,,10,,,,,0
35,36,Pat O'Connor,,,8,,,,,0
36,37,Peter Collins,,,,,,DNF,DNF,0
37,38,Kenneth McAlpine,,,,,,DNF,,0
38,39,Ray Crawford,,,23,,,,,0
39,40,Robert Manzon,,DNF,,,DNF,DNF,,0
40,41,Rodger Ward,,,28,,,,,0
41,42,Roy Salvadori,,,,,,DNF,,0
42,43,Sam Hanks,,,19,,,,,0
43,44,Sergio Mantovani,7,,,,,,,0
44,45,Shorty Templeman,,,18,,,,,0
45,46,Ted Whiteaway,,DNQ,,,,,,0
46,47,Tony Rolt,,,,,,DNF,,0
47,48,Lance Macklin,,DNQ,,,,8,,0
48,49,Johnny Claes,,,,DNS,11,,,0
49,50,Ken Wharton,,,,,,9,DNF,0
50,51,Clemar Bucci,DNF,,,,,,,0
51,52,Fred Agabashian,,,32,,,,,0
52,53,Eddie Russo,,,22,,,,,0
53,54,Eddie Johnson,,,13,,,,,0
54,55,Ed Elisian,,,30,,,,,0
55,56,Duane Carter,,,11,,,,,0
56,57,Don Freeland,,,15,,,,,0
57,58,Chuck Weyant,,,12,,,,,0
58,59,Hernando da Silva Ramos,,,,,8,DNF,DNF,0
59,60,Cal Niday,,,16,,,,,0
60,61,Art Cross,,,17,,,,,0
61,62,Andy Linden,,,6,,,,,0
62,63,André Simon,,DNF,,,,DNF,,0
63,64,Alberto Uria,DNF,,,,,,,0
64,65,Alberto Ascari,DNF,DNF,,,,,,0
65,66,Harry Schell,6,DNF,,DNS,,9,DNF,0
66,67,Horace Gould,,,,,DNF,DNF,DNF,0
67,68,Keith Andrews,,,20,,,,,0
68,69,Jimmy Bryan,,,24,,,,,0
69,70,Al Keller,,,27,,,,,0
70,71,Johnny Boyd,,,29,,,,,0
71,72,Johnnie Parsons,,,21,,,,,0
72,73,John Fitch,,,,,,,9,0
73,74,Jimmy Reece,,,33,,,,,0
74,75,Jimmy Daywalt,,,9,,,,,0
75,76,Jim Rathmann,,,14,,,,,0
76,77,Jack Brabham,,,,,,DNF,,0
77,78,Jesús Iglesias,DNF,,,,,,,0
78,79,Jerry Hoyt,,,31,,,,,0
79,80,Jean Lucas,,,,,,,DNF,0
80,81,Jacques Pollet,,7,,,10,,DNF,0
81,82,Jack McGrath,,,26,,,,,0
82,83,Jack Fairman,,,,,,DNS,,0
83,84,Élie Bayol,DNF,DNF,,,,,,0
