,Pos,Driver,ARG,MON,INDY,BEL,FRE,BRI,GER,ITA,Pts
0,1,Juan Manuel Fangio,1*,2*,,DNF,4*,1,1*,2,30 (33)
1,2,Stirling Moss,DNF,1,,3*,5,DNF*,2,1*,27 (28)
2,3,Peter Collins,DNF,2,,1,1,2,DNF,2,25
3,4,Jean Behra,2,3,,7,3,3,3,DNF,22
4,5,Pat Flaherty,,,1,,,,,,8
5,6,Eugenio Castellotti,DNF,4,,DNF,2,10,DNF,8,7.5
6,7,Paul Frère,,,,2,,,,,6
7,8,Paco Godia,,,,DNF,7,8,4,4,6
8,9,Sam Hanks,,,2,,,,,,6
9,10,Jack Fairman,,,,,,4,,5,5
10,11,Don Freeland,,,3,,,,,,4
11,12,Luigi Musso,1,DNF,,,,,DNF,DNF,4
12,13,Ron Flockhart,,,,,,DNF,,3,4
13,14,Mike Hawthorn,3,WD,,,10,DNF,,,4
14,15,Harry Schell,,DNF,,4,10,DNF,DNF,DNF,3
15,16,Cesare Perdisa,,7,,3,5,7,DNS,,3
16,17,Alfonso de Portago,,,,,DNF,2,DNF,DNF,3
17,18,Johnnie Parsons,,,4,,,,,,3
18,19,Olivier Gendebien,5,,,,DNF,,,,2
19,20,Luigi Villoresi,,,,5,DNF,6,DNF,DNF,2
20,21,Dick Rathmann,,,5,,,,,,2
21,22,Louis Rosier,,DNF,,8,6,DNF,5,,2
22,23,Horace Gould,,8,,DNF,,5,DNF,,2
23,24,Hernando da Silva Ramos,,5,,,8,DNF,,DNF,2
24,25,Chico Landi,4,,,,,,,,1.5
25,26,Gerino Gerini,4,,,,,,,10,1.5
26,27,Paul Russo,,,33*,,,,,,1
27,28,Maurice Trintignant,,DNF,,DNF,DNF,DNF,,DNF,0
28,29,Luigi Piotti,DNF,,,,,,DNS,6,0
29,30,Oscar González,6,,,,,,,,0
30,31,Louis Chiron,,WD,,,,,,,0
31,32,Les Leston,,,,,,,,DNF,0
32,33,Al Herman,,,28,,,,,,0
33,34,Ottorino Volonterio,,,,,,,NC,,0
34,35,Pat O'Connor,,,18,,,,,,0
35,36,Paul Emery,,,,,,DNF,,,0
36,37,Piero Scotti,,,,DNF,,,,,0
37,38,Piero Taruffi,,,,,DNF,,,DNF,0
38,39,Ray Crawford,,,29,,,,,,0
39,40,Robert Manzon,,DNF,,,9,9,DNF,DNF,0
40,41,Rodger Ward,,,8,,,,,,0
41,42,Roy Salvadori,,,,,,DNF,DNF,11,0
42,43,Tony Bettenhausen,,,22,,,,,,0
43,44,Tony Brooks,,WD,,,,DNF,,,0
44,45,Toulo de Graffenried,,,,,,,,7,0
45,46,Troy Ruttman,,,31,,,,,,0
46,47,Umberto Maglioli,,,,,,DNF,DNF,DNF,0
47,48,Wolfgang von Trips,,,,,,,,DNS,0
48,49,Keith Andrews,,,26,,,,,,0
49,50,Jimmy Reece,,,9,,,,,,0
50,51,José Froilán González,DNF,,,,,DNF,,,0
51,52,Bob Christie,,,13,,,,,,0
52,53,Cliff Griffith,,,10,,,,,,0
53,54,Carlos Menditeguy,DNF,,,,,,,,0
54,55,Bruce Halford,,,,,,DNF,DSQ,DNF,0
55,56,Bob Veith,,,7,,,,,,0
56,57,Bob Sweikert,,,6,,,,,,0
57,58,Bob Gerard,,,,,,11,,,0
58,59,Billy Garrett,,,16,,,,,,0
59,60,Desmond Titterington,,,,,,DNF,,,0
60,61,Archie Scott Brown,,,,,,DNF,,,0
61,62,Andy Linden,,,27,,,,,,0
62,63,André Simon,,,,,DNF,,,9,0
63,64,André Pilette,,6,,6,11,,DNS,,0
64,65,André Milhoux,,,,,,,DNF,,0
65,66,Alberto Uria,6,,,,,,,,0
66,67,Colin Chapman,,,,,DNS,,,,0
67,68,Duke Dinsmore,,,17,,,,,,0
68,69,Johnny Thomson,,,32,,,,,,0
69,70,Jim Rathmann,,,20,,,,,,0
70,71,Johnny Boyd,,,30,,,,,,0
71,72,Johnnie Tolan,,,21,,,,,,0
72,73,Jo Bonnier,,,,,,,,DNF,0
73,74,Al Keller,,,14,,,,,,0
74,75,Jimmy Daywalt,,,24,,,,,,0
75,76,Jimmy Bryan,,,19,,,,,,0
76,77,Jack Turner,,,25,,,,,,0
77,78,Ed Elisian,,,23,,,,,,0
78,79,Jack Brabham,,,,,,DNF,,,0
79,80,Giorgio Scarlatti,,DNQ,,,,,DNF,,0
80,81,Gene Hartley,,,11,,,,,,0
81,82,Fred Agabashian,,,12,,,,,,0
82,83,Eddie Russo,,,23,,,,,,0
83,84,Eddie Johnson,,,15,,,,,,0
84,85,Élie Bayol,,6,,,,,,,0
