,Pos,Driver,ARG,MON,INDY,FRE,BRI,GER,PES,ITA,Pts
0,1,Juan Manuel Fangio,1,1*,,1,DNF,1*,2,2,40 (46)
1,2,Stirling Moss,8*,DNF,,,1*,5,1*,1,25
2,3,Luigi Musso,DNF,,,2*,2,4,DNF,8,16
3,4,Mike Hawthorn,DNF,7,,4,3,2,,6,13
4,5,Tony Brooks,,2,,,1,9,DNF,7*,11
5,6,Harry Schell,4,DNF,,5,DNF,7,3,5,10
6,7,Masten Gregory,,3,,,,8,4,4,10
7,8,Sam Hanks,,,1,,,,,,8
8,9,Peter Collins,6,DNF,,3,4,3,,DNF,8
9,10,Jim Rathmann,,,2*,,,,,,7
10,11,Jean Behra,2,,,6,DNF,6,DNF,DNF,6
11,12,Stuart Lewis-Evans,,4,,DNF,7,DNF,5,DNF,5
12,13,Maurice Trintignant,,5,,DNF,4,,,,5
13,14,Jimmy Bryan,,,3,,,,,,4
14,15,Wolfgang von Trips,6,7,,,,,,3,4
15,16,Carlos Menditeguy,3,DNF,,DNF,DNF,,,,4
16,17,Paul Russo,,,4,,,,,,3
17,18,Andy Linden,,,5,,,,,,2
18,19,Roy Salvadori,,DNQ,,DNF,5,DNF,DNF,,2
19,20,José Froilán González,5,,,,,,,,1
20,21,Giorgio Scarlatti,,DNF,,,,10,6,5,1
21,22,Alfonso de Portago,5,,,,,,,,1
22,23,Mike MacDowel,,,,7,,,,,0
23,24,Bob Christie,,,13,,,,,,0
24,25,Bob Gerard,,,,,6,,,,0
25,26,Ottorino Volonterio,,,,,,,,11,0
26,27,Bob Veith,,,9,,,,,,0
27,28,Marshall Teague,,,7,,,,,,0
28,29,Luigi Piotti,10,DNQ,,,,,DNF,DNF,0
29,30,Brian Naylor,,,,,,13,,,0
30,31,Les Leston,,DNQ,,,DNF,,,,0
31,32,Mike Magill,,,24,,,,,,0
32,33,Chuck Weyant,,,14,,,,,,0
33,34,Paco Godia,,,,,,DNF,DNF,9,0
34,35,Pat O'Connor,,,8,,,,,,0
35,36,Paul England,,,,,,DNF,,,0
36,37,Bill Cheesbourg,,,26,,,,,,0
37,38,Rodger Ward,,,30,,,,,,0
38,39,Ron Flockhart,,DNF,,DNF,,,,,0
39,40,André Simon,,DNQ,,,,,,11,0
40,41,Tony Bettenhausen,,,15,,,,,,0
41,42,Alessandro de Tomaso,9,,,,,,,,0
42,43,Tony Marsh,,,,,,15,,,0
43,44,Troy Ruttman,,,31,,,,,,0
44,45,Umberto Maglioli,,,,,,DNF,,,0
45,46,Bruce Halford,,,,,,11,DNF,DNF,0
46,47,Johnny Boyd,,,6,,,,,,0
47,48,Johnny Thomson,,,12,,,,,,0
48,49,Cesare Perdisa,6,,,,,,,,0
49,50,Don Edmunds,,,19,,,,,,0
50,51,Don Freeland,,,17,,,,,,0
51,52,Ed Elisian,,,29,,,,,,0
52,53,Eddie Johnson,,,25,,,,,,0
53,54,Eddie Russo,,,32,,,,,,0
54,55,Eddie Sachs,,,23,,,,,,0
55,56,Edgar Barth,,,,,,12,,,0
56,57,Elmer George,,,33,,,,,,0
57,58,Eugenio Castellotti,DNF,,,,,,,,0
58,59,Fred Agabashian,,,22,,,,,,0
59,60,Gene Hartley,,,10,,,,,,0
60,61,Hans Herrmann,,DNQ,,,,DNF,,,0
61,62,Herbert MacKay-Fraser,,,,DNF,,,,,0
62,63,Dick Gibson,,,,,,DNF,,,0
63,64,Horace Gould,,DNF,,DNF,DNS,DNF,DNF,10,0
64,65,Ivor Bueb,,DNF,,,8,,,,0
65,66,Jack Brabham,,6,,7,DNF,DNF,7,,0
66,67,Jack Fairman,,,,,DNF,,,,0
67,68,Jack Turner,,,11,,,,,,0
68,69,Al Keller,,,27,,,,,,0
69,70,Carel Godin de Beaufort,,,,,,14,,,0
70,71,Jimmy Daywalt,,,28,,,,,,0
71,72,Jimmy Reece,,,18,,,,,,0
72,73,Jo Bonnier,7,,,,DNF,,DNF,DNF,0
73,74,Johnnie Parsons,,,16,,,,,,0
74,75,Johnnie Tolan,,,20,,,,,,0
75,76,Al Herman,,,21,,,,,,0
