,Pos,Driver,ARG,MON,DUT,INDY,BEL,FRE,BRI,GER,POR,ITA,MOR,Pts
0,1,Mike Hawthorn,3,DNF*,5,,2*,1*,2*,DNF,2*,2,2,42 (49)
1,2,Stirling Moss,1,DNF,1*,,DNF,2,DNF,DNF*,1,DNF,1*,41
2,3,Tony Brooks,,DNF,DNF,,1,DNF,7,1,DNF,1,DNF,24
3,4,Roy Salvadori,,DNF,4,,8,11,3,2,9,5,7,15
4,5,Harry Schell,6,5,2,,5,DNF,5,DNF,6,DNF,5,14
5,6,Peter Collins,DNF,3,DNF,,DNF,5,1,DNF,,,,14
6,7,Maurice Trintignant,,1,9,,7,DNF,8,3,8,DNF,DNF,12
7,8,Luigi Musso,2,2,7,,DNF,DNF,,,,,,12
8,9,Stuart Lewis-Evans,,DNF,DNF,,3,DNF,4,,3,DNF,DNF,11
9,10,Wolfgang von Trips,,DNF,,,,3,DNF,4,5,DNF,,9
10,11,Phil Hill,,,,,,7,,9,,3*,3,9
11,12,Jean Behra,5,DNF,3,,DNF,DNF,DNF,DNF,4,DNF,DNF,9
12,13,Jimmy Bryan,,,,1,,,,,,,,8
13,14,Juan Manuel Fangio,4*,,,,,4,,,,,,7
14,15,George Amick,,,,2,,,,,,,,6
15,16,Johnny Boyd,,,,3,,,,,,,,4
16,17,Tony Bettenhausen,,,,4*,,,,,,,,4
17,18,Jack Brabham,,4,8,,DNF,6,6,DNF,7,DNF,11,3
18,19,Cliff Allison,,6,6,,4,DNF,DNF,10,DNF,7,10,3
19,20,Jo Bonnier,,DNF,10,,9,8,DNF,DNF,DNF,DNF,4,3
20,21,Jim Rathmann,,,,5,,,,,,,,2
21,22,Johnny Thomson,,,,23,,,,,,,,0
22,23,Jud Larson,,,,8,,,,,,,,0
23,24,Ken Kavanagh,,DNQ,,,,,,,,,,0
24,25,Len Sutton,,,,32,,,,,,,,0
25,26,Louis Chiron,,DNQ,,,,,,,,,,0
26,27,Johnnie Tolan,,,,13,,,,,,,,0
27,28,Luigi Piotti,,DNQ,,,,,,,,,,0
28,29,Luigi Taramazzo,,DNQ,,,,,,,,,,0
29,30,Olivier Gendebien,,,,,6,,,,,DNF,DNF,0
30,31,Maria Teresa de Filippis,,DNQ,,,10,,,,DNF,DNF,,0
31,32,Rodger Ward,,,,20,,,,,,,,0
32,33,Wolfgang Seidel,,,,,DNF,,,DNF,,,DNF,0
33,34,Troy Ruttman,,,,,,10,,DNS,,,,0
34,35,Tony Marsh,,,,,,,,8,,,,0
35,36,Tom Bridger,,,,,,,,,,,DNF,0
36,37,Shorty Templeman,,,,19,,,,,,,,0
37,38,Ron Flockhart,,DNQ,,,,,,,,,DNF,0
38,39,Robert La Caze,,,,,,,,,,,14,0
39,40,Masten Gregory,,,DNF,,DNF,,,,,4,6,0
40,41,Paul Russo,,,,18,,,,,,,,0
41,42,Paul Goldsmith,,,,30,,,,,,,,0
42,43,Paul Emery,,DNQ,,,,,,,,,,0
43,44,Pat O'Connor,,,,29,,,,,,,,0
44,45,Paco Godia,8,DNQ,,,DNF,DNF,,,,,,0
45,46,Mike Magill,,,,17,,,,,,,,0
46,47,Johnnie Parsons,,,,12,,,,,,,,0
47,48,A.J. Foyt,,,,16,,,,,,,,0
48,49,Jimmy Reece,,,,6,,,,,,,,0
49,50,Bob Veith,,,,26,,,,,,,,0
50,51,Christian Goethals,,,,,,,,DNF,,,,0
51,52,Carroll Shelby,,,,,,DNF,9,,DNF,4,,0
52,53,Carlos Menditeguy,7,,,,,,,,,,,0
53,54,Carel Godin de Beaufort,,,11,,,,,DNF,,,,0
54,55,Bruce McLaren,,,,,,,,5,,,13,0
55,56,Bruce Kessler,,DNQ,,,,,,,,,,0
56,57,Brian Naylor,,,,,,,,DNF,,,,0
57,58,Bob Christie,,,,14,,,,,,,,0
58,59,Dempsey Wilson,,,,15,,,,,,,,0
59,60,Billy Garrett,,,,21,,,,,,,,0
60,61,Bill Cheesbourg,,,,10,,,,,,,,0
61,62,Bernie Ecclestone,,DNQ,,,,,,,,,,0
62,63,Art Bisch,,,,33,,,,,,,,0
63,64,André Testut,,DNQ,,,,,,,,,,0
64,65,André Guelfi,,,,,,,,,,,15,0
65,66,Alan Stacey,,,,,,,DNF,,,,,0
66,67,Chuck Weyant,,,,24,,,,,,,,0
67,68,Dick Gibson,,,,,,,,DNF,,,,0
68,69,Al Keller,,,,11,,,,,,,,0
69,70,Giulio Cabianca,,DNQ,,,,,,,,DNF,,0
70,71,Jack Turner,,,,25,,,,,,,,0
71,72,Jack Fairman,,,,,,,DNF,,,,8,0
72,73,Ivor Bueb,,,,,,,DNF,11,,,,0
73,74,Ian Burgess,,,,,,,DNF,7,,,,0
74,75,Horace Gould,9,DNQ,DNS,,,,,,,,,0
75,76,Hans Herrmann,,,,,,,,DNF,,DNF,9,0
76,77,Graham Hill,,DNF,DNF,,DNF,DNF,DNF,DNF,DNF,6,16,0
77,78,Giorgio Scarlatti,,DNF,DNF,,,,,,,,,0
78,79,Dick Rathmann,,,,27,,,,,,,,0
79,80,Gerino Gerini,,DNQ,,,,9,DNF,,,DNF,12,0
80,81,François Picard,,,,,,,,,,,DNF,0
81,82,Edgar Barth,,,,,,,,6,,,,0
82,83,Eddie Sachs,,,,22,,,,,,,,0
83,84,Eddie Johnson,,,,9,,,,,,,,0
84,85,Ed Elisian,,,,28,,,,,,,,0
85,86,Don Freeland,,,,7,,,,,,,,0
86,87,Jerry Unser,,,,31,,,,,,,,0
