,Pos,Driver,MON,INDY,DUT,FRE,BRI,GER,POR,ITA,US,Pts
0,1,Jack Brabham,1*,,2,3,1,DNF,DNF,3,4,31 (34)
1,2,Tony Brooks,2,,DNF,1,DNF,1*,9,DNF,3,27
2,3,Stirling Moss,DNF,,DNF*,DSQ*,2*,DNF,1*,1,DNF,25.5
3,4,Phil Hill,4,,6,2,,3,DNF,2*,DNF,20
4,5,Maurice Trintignant,3,,8,11,5,4,4,9,2*,19
5,6,Bruce McLaren,5,,,5,3*,DNF,DNF,DNF,1,16.5
6,7,Dan Gurney,,,,DNF,,2,3,4,,13
7,8,Masten Gregory,DNF,,3,DNF,7,DNF,2,,,10
8,9,Jo Bonnier,DNF,,1,DNF,DNF,5,DNF,8,,10
9,10,Rodger Ward,,1,,,,,,,DNF,8
10,11,Jim Rathmann,,2,,,,,,,,6
11,12,Innes Ireland,,,4,DNF,,DNF,DNF,DNF,5,5
12,13,Johnny Thomson,,3*,,,,,,,,5
13,14,Harry Schell,DNF,,DNF,7,4,7,5,7,DNF,5
14,15,Olivier Gendebien,,,,4,,,,6,,3
15,16,Tony Bettenhausen,,4,,,,,,,,3
16,17,Jean Behra,DNF,,5,DNF,,,,,,2
17,18,Cliff Allison,DNF,,9,,,DNF,,5,DNF,2
18,19,Paul Goldsmith,,5,,,,,,,,2
19,20,Keith Greene,,,,,DNQ,,,,,0
20,21,Jimmy Daywalt,,14,,,,,,,,0
21,22,Jud Larson,,29,,,,,,,,0
22,23,Johnny Boyd,,6,,,,,,,,0
23,24,Lucien Bianchi,DNQ,,,,,,,,,0
24,25,Jimmy Bryan,,33,,,,,,,,0
25,26,Jim McWithey,,16,,,,,,,,0
26,27,Jean Lucienbonnet,DNQ,,,,,,,,,0
27,28,Jack Turner,,27,,,,,,,,0
28,29,Len Sutton,,32,,,,,,,,0
29,30,Mike Parkes,,,,,DNQ,,,,,0
30,31,Maria Teresa de Filippis,DNQ,,,,,,,,,0
31,32,Mario de Araujo Cabral,,,,,,,10,,,0
32,33,Mike Magill,,30,,,,,,,,0
33,34,Mike Taylor,,,,,DNF,,,,,0
34,35,Pat Flaherty,,19,,,,,,,,0
35,36,Paul Russo,,9,,,,,,,,0
36,37,Pete Lovely,DNQ,,,,,,,,,0
37,38,Peter Ashdown,,,,,12,,,,,0
38,39,Phil Cade,,,,,,,,,DNS,0
39,40,Ray Crawford,,23,,,,,,,,0
40,41,Red Amick,,31,,,,,,,,0
41,42,Ron Flockhart,DNF,,,6,DNF,,7,13,,0
42,43,Roy Salvadori,6,,DNF,DNF,6,,6,DNF,DNF,0
43,44,Tim Parnell,,,,,DNQ,,,,,0
44,45,Trevor Taylor,,,,,DNQ,,,,,0
45,46,Jack Fairman,,,,,DNF,,,DNF,,0
46,47,A.J. Foyt,,10,,,,,,,,0
47,48,Ivor Bueb,DNQ,,,,13,,,,,0
48,49,Bob Said,,,,,,,,,DNF,0
49,50,Chris Bristow,,,,,10,,,,,0
50,51,Carroll Shelby,,,DNF,,DNF,,8,10,,0
51,52,Carel Godin de Beaufort,,,10,9,,,,,,0
52,53,Bruce Halford,DNF,,,,,,,,,0
53,54,Brian Naylor,,,,,DNF,,,,,0
54,55,Bobby Grim,,26,,,,,,,,0
55,56,Bob Veith,,12,,,,,,,,0
56,57,Bob Christie,,25,,,,,,,,0
57,58,Chuck Weyant,,28,,,,,,,,0
58,59,Bill Moss,,,,,DNQ,,,,,0
59,60,Bill Cheesbourg,,21,,,,,,,,0
60,61,Azdrubal Fontes,,,,DNS,,,,,,0
61,62,André Testut,DNQ,,,,,,,,,0
62,63,Alessandro de Tomaso,,,,,,,,,DNF,0
63,64,Alan Stacey,,,,,8,,,,DNF,0
64,65,Alain de Changy,DNQ,,,,,,,,,0
65,66,Al Keller,,18,,,,,,,,0
66,67,Chuck Arnold,,15,,,,,,,,0
67,68,Colin Davis,,,,DNF,,,,11,,0
68,69,Al Herman,,13,,,,,,,,0
69,70,George Constantine,,,,,,,,,DNF,0
70,71,Ian Burgess,,,,DNF,DNF,6,,14,,0
71,72,Henry Taylor,,,,,11,,,,,0
72,73,Harry Blanchard,,,,,,,,,7,0
73,74,Hans Herrmann,,,,,DNF,DNF,,,,0
74,75,Graham Hill,DNF,,7,DNF,9,DNF,DNF,DNF,,0
75,76,Giulio Cabianca,,,,,,,,15,,0
76,77,Giorgio Scarlatti,DNQ,,,8,,,,12,,0
77,78,Gene Hartley,,11,,,,,,,,0
78,79,David Piper,,,,,DNF,,,,,0
79,80,Fritz d'Orey,,,,10,DNF,,,,DNF,0
80,81,Eddie Sachs,,17,,,,,,,,0
81,82,Eddie Johnson,,8,,,,,,,,0
82,83,Duane Carter,,7,,,,,,,,0
83,84,Don Freeland,,22,,,,,,,,0
84,85,Don Branson,,24,,,,,,,,0
85,86,Dick Rathmann,,20,,,,,,,,0
86,87,Dennis Taylor,,,,,DNQ,,,,,0
87,88,Wolfgang von Trips,DNF,,,,,,,,6,0
