,Pos,Driver,ARG,MON,INDY,DUT,BEL,FRE,BRI,POR,ITA,US,Pts
0,1,Jack Brabham,DNF,DSQ,,1,1*,1*,1,1,,4*,43
1,2,Bruce McLaren,1,2*,,DNF,2,3,4,2,,3,34 (37)
2,3,Stirling Moss,3*,1,,4*,DNS,,,DSQ,,1,19
3,4,Innes Ireland,6,9,,2,DNF*,7,3,6,,2,18
4,5,Phil Hill,8,3,,DNF,4*,12,7,DNF,1*,6,16
5,6,Olivier Gendebien,,,,,3,2,9,7,,12,10
6,7,Wolfgang von Trips,5,8,,5,DNF,11,6,4,5,9,10
7,8,Jim Clark,,,,DNF,5,5,16,3,,16,8
8,9,Jim Rathmann,,,1*,,,,,,,,8
9,10,Richie Ginther,,6,,6,,DNS,,,2,,8
10,11,Tony Brooks,,4,,DNF,DNF,DNF,5,5,,DNF,7
11,12,John Surtees,,DNF,,,,,2,DNF*,,DNF,6
12,13,Cliff Allison,2,DNQ,,,,,,,,,6
13,14,Rodger Ward,,,2,,,,,,,,6
14,15,Willy Mairesse,,,,,DNF,DNF,,,3,,4
15,16,Graham Hill,DNF,7,,3,DNF,DNF,DNF*,DNF,,DNF,4
16,17,Paul Goldsmith,,,3,,,,,,,,4
17,18,Jo Bonnier,7,5,,DNF,DNF,DNF,DNF,DNF,,5,4
18,19,Henry Taylor,,,,7,,4,8,,,14,3
19,20,Don Branson,,,4,,,,,,,,3
20,21,Giulio Cabianca,,,,,,,,,4,,3
21,22,Carlos Menditeguy,4,,,,,,,,,,3
22,23,Johnny Thomson,,,5,,,,,,,,2
23,24,Lucien Bianchi,,,,,6,DNF,DNF,,,,1
24,25,Eddie Johnson,,,6,,,,,,,,1
25,26,Hans Herrmann,,,,,,,,,6,,1
26,27,Ron Flockhart,,,,,,6,,,,DNF,1
27,28,Masten Gregory,12,DNQ,,DNS,,9,14,DNF,,,0
28,29,Len Sutton,,,30,,,,,,,,0
29,30,Lloyd Ruby,,,7,,,,,,,,0
30,31,Lance Reventlow,,DNQ,,DNS,DNF,,WD,,,,0
31,32,Keith Greene,,,,,,,DNF,,,,0
32,33,Mario de Araujo Cabral,,,,,,,,DNF,,,0
33,34,José Froilán González,10,,,,,,,,,,0
34,35,Johnny Boyd,,,27,,,,,,,,0
35,36,Bill Homeier,,,13,,,,,,,,0
36,37,Maurice Trintignant,3,DNF,,DNF,,DNF,11,,,15,0
37,38,Shorty Templeman,,,17,,,,,,,,0
38,39,Wolfgang Seidel,,,,,,,,,9,,0
39,40,Wayne Weiler,,,24,,,,,,,,0
40,41,Vic Wilson,,,,,,,,,DNF,,0
41,42,Troy Ruttman,,,20,,,,,,,,0
42,43,Tony Bettenhausen,,,23,,,,,,,,0
43,44,Alan Stacey,DNF,DNF,,DNF,DNF,,,,,,0
44,45,Roy Salvadori,,DNF,,DNS,,,DNF,,,8,0
45,46,Mike Taylor,,,,,DNS,,,,,,0
46,47,Roberto Bonomi,11,,,,,,,,,,0
47,48,Robert Drake,,,,,,,,,,13,0
48,49,Red Amick,,,11,,,,,,,,0
49,50,Piero Drogo,,,,,,,,,8,,0
50,51,Pete Lovely,,,,,,,,,,11,0
51,52,Alfonso Thiele,,,,,,,,,DNF,,0
52,53,Nasif Estéfano,14,,,,,,,,,,0
53,54,Alberto Rodriguez Larreta,9,,,,,,,,,,0
54,55,Jim Hall,,,,,,,,,,7,0
55,56,Jimmy Bryan,,,19,,,,,,,,0
56,57,Chris Bristow,,DNF,,DNF,DNF,,,,,,0
57,58,Dick Rathmann,,,31,,,,,,,,0
58,59,Dempsey Wilson,,,33,,,,,,,,0
59,60,David Piper,,,,,,DNS,12,,,,0
60,61,Dan Gurney,,DNF,,DNF,DNF,DNF,10,DNF,,DNF,0
61,62,Chuck Stevenson,,,15,,,,,,,,0
62,63,Chuck Daigh,,DNQ,,DNS,DNF,DNS,DNF,,,10,0
63,64,Carel Godin de Beaufort,,,,8,,,,,,,0
64,65,Duane Carter,,,12,,,,,,,,0
65,66,Bud Tingelstad,,,9,,,,,,,,0
66,67,Arthur Owen,,,,,,,,,DNF,,0
67,68,Bruce Halford,,DNQ,,,,8,,,,,0
68,69,Brian Naylor,,DNQ,,,,,13,,DNF,DNF,0
69,70,Bobby Grim,,,16,,,,,,,,0
70,71,Bob Veith,,,8,,,,,,,,0
71,72,Don Freeland,,,22,,,,,,,,0
72,73,Eddie Russo,,,26,,,,,,,,0
73,74,Jim McWithey,,,29,,,,,,,,0
74,75,Horace Gould,,,,,,,,,DNS,,0
75,76,Jim Hurtubise,,,18,,,,,,,,0
76,77,Bob Christie,,,10,,,,,,,,0
77,78,Jack Fairman,,,,,,,DNF,,,,0
78,79,Antonio Creus,DNF,,,,,,,,,,0
79,80,Al Herman,,,32,,,,,,,,0
80,81,Ian Burgess,,DNQ,,,,10,DNF,,,DNF,0
81,82,Harry Schell,DNF,,,,,,,,,,0
82,83,Eddie Sachs,,,21,,,,,,,,0
83,84,Giorgio Scarlatti,DNF,DNQ,,,,,,,DNF,,0
84,85,Gino Munaron,13,,,,,DNF,15,,DNF,,0
85,86,Gene Hartley,,,14,,,,,,,,0
86,87,Gene Force,,,28,,,,,,,,0
87,88,Fred Gamble,,,,,,,,,10,,0
88,89,Ettore Chimeri,DNF,,,,,,,,,,0
89,90,Edgar Barth,,,,,,,,,7,,0
90,91,A.J. Foyt,,,25,,,,,,,,0
