,Pos,Driver,MON,DUT,BEL,FRE,BRI,GER,ITA,US,Pts
0,1,Phil Hill,3,2,1,9*,2,3*,1,,34 (38)
1,2,Wolfgang von Trips,4,1,2,DNF,1,2,DNF,,33
2,3,Dan Gurney,5,10,6,2,7,7,2,2,21
3,4,Stirling Moss,1*,4,8,DNF,DSQ,1,DNF,DNF,21
4,5,Richie Ginther,2*,5,3*,15,3,8,DNF,,16
5,6,Innes Ireland,DNS,,DNF,4,10,DNF,DNF,1,12
6,7,Bruce McLaren,6,12,DNF,5,8,6,3,4,11
7,8,Jim Clark,10,3*,12,3,DNF,4,DNF,7,11
8,9,Giancarlo Baghetti,,,,1,DNF,,DNF*,,9
9,10,Tony Brooks,13,9,13,DNF,9*,DNF,5,3,6
10,11,Jack Brabham,DNF,6,DNF,DNF,4,DNF,DNF,DNF*,4
11,12,John Surtees,11,7,5,DNF,DNF,5,DNF,DNF,4
12,13,Jackie Lewis,,,9,DNF,DNF,9,4,,3
13,14,Graham Hill,DNF,8,DNF,6,DNF,DNF,DNF,5,3
14,15,Jo Bonnier,12,11,7,7,5,DNF,DNF,6,3
15,16,Olivier Gendebien,DNQ,,4,WD,WD,,,11,3
16,17,Roy Salvadori,,,,8,6,10,6,DNF,2
17,18,Peter Ryan,,,,,,,,9,0
18,19,Renato Pirocchi,,,,,,WD,12,,0
19,20,Nino Vaccarella,,,,,,,DNF,,0
20,21,Michael May,DNF,,,11,,WD,WD,,0
21,22,Piero Monteverdi,,,,,,WD,,,0
22,23,Roberto Lippi,,,,,,,DNF,,0
23,24,Ricardo Rodríguez,,,,,,,DNF,,0
24,25,Roberto Bussinello,,,,,,,DNF,,0
25,26,Maurice Trintignant,7,,DNF,13,,DNF,9,,0
26,27,Roger Penske,,,,,,,,8,0
27,28,Tim Parnell,,,,,DNF,,10,,0
28,29,Tony Maggs,,,,,13,11,,,0
29,30,Tony Marsh,,,DNS,,DNF,15,,,0
30,31,Trevor Taylor,,13,,,,,,,0
31,32,Walt Hansgen,,,,,,,,DNF,0
32,33,Willy Mairesse,,,DNF,DNF,,DNF,,,0
33,34,Wolfgang Seidel,,,DNS,DNS,17,DNF,DNF,,0
34,35,Menato Boffa,,,,,,,WD,,0
35,36,Alfonso Thiele,,,,,,,WD,,0
36,37,Masten Gregory,DNQ,DNS,10,12,11,WD,DNF,DNF,0
37,38,Hans Herrmann,9,15,,WD,,13,,,0
38,39,Bernard Collomb,,,,DNF,,NC,,,0
39,40,Brian Naylor,,,,WD,,,DNF,,0
40,41,Carel Godin de Beaufort,,14,11,DNF,16,14,7,,0
41,42,Cliff Allison,8,,DNS,,,,,,0
42,43,Edgar Barth,,,,,,WD,DNS,,0
43,44,Ernesto Prinoth,,,,,,,WD,,0
44,45,Gaetano Starrabba,,,,,,,DNF,,0
45,46,Geoff Duke,,,,,,WD,,,0
46,47,Gerry Ashmore,,,,,DNF,16,DNF,,0
47,48,Giorgio Scarlatti,,,,DNF,,,,,0
48,49,Hap Sharp,,,,,,,,10,0
49,50,Massimo Natili,,,,,DNF,,DNS,,0
50,51,Henry Taylor,DNQ,,DNS,10,DNF,,11,,0
51,52,Ian Burgess,,DNS,DNS,14,14,12,,,0
52,53,Jack Fairman,,,,,DSQ,,DNF,,0
53,54,Jim Hall,,,,,,,,DNF,0
54,55,John Campbell-Jones,,,,,,WD,,,0
55,56,Juan Manuel Bordeu,,,,DNS,,,,,0
56,57,Keith Greene,,,,,15,,,,0
57,58,André Pilette,,,,,,,DNQ,,0
58,59,Lloyd Ruby,,,,,,,,DNF,0
59,60,Lorenzo Bandini,,,DNF,,12,DNF,8,,0
60,61,Lucien Bianchi,DNQ,,DNF,DNF,DNF,,,,0
61,62,Ken Miles,,,,,,,,WD,0
62,DNF,,,,,,,,,,
