,Pos,Driver,DUT,MON,BEL,FRE,BRI,GER,ITA,US,SOU,Pts
0,1,Graham Hill,1,6,2,9*,4,1*,1*,2,1,42 (52)
1,2,Jim Clark,9,DNF*,1*,DNF,1*,4,DNF,1*,DNF*,30
2,3,Bruce McLaren,DNF*,1,DNF,4,3,5,3,3,2,27 (32)
3,4,John Surtees,DNF,4,5,5,2,2,DNF,DNF,DNF,19
4,5,Dan Gurney,DNF,DNF,DNS,1,9,3,13,5,,15
5,6,Phil Hill,3,2,3,,DNF,DNF,11,,,14
6,7,Tony Maggs,5,DNF,DNF,2,6,9,7,7,3,13
7,8,Richie Ginther,DNF,DNF,DNF,3,13,8,2,DNF,7,10
8,9,Jack Brabham,DNF,8,6,DNF,5,DNF,,4,4,9
9,10,Trevor Taylor,2,DNF,DNF,8,8,DNF,DNF,12,DNF,6
10,11,Giancarlo Baghetti,4,,DNF,,,10,5,,,5
11,12,Lorenzo Bandini,,3,,,,DNF,8,,,4
12,13,Ricardo Rodríguez,DNF,DNS,4,,,6,14,,,4
13,14,Willy Mairesse,,7,DNF,,,,4,,,3
14,15,Jo Bonnier,7,5,WD,DNF,DNF,7,6,13,,3
15,16,Innes Ireland,DNF,DNF,DNF,DNF,16,,DNF,8,5,2
16,17,Carel Godin de Beaufort,6,DNQ,7,6,14,13,10,DNF,11,2
17,18,Masten Gregory,DNF,DNQ,DNF,DNF,7,,12,6,,1
18,19,Neville Lederle,,,,,,,,,6,1
19,20,Peter Arundell,,,,WD,,,,,,0
20,21,Nino Vaccarella,,DNQ,,,,15,9,,,0
21,22,Nasif Estéfano,,,,,,,DNQ,,,0
22,23,Mike Harris,,,,,,,,,DNF,0
23,24,Roberto Lippi,,,,,,,DNQ,,,0
24,25,Rob Schroeder,,,,,,,,10,,0
25,26,Rob Slotemaker,WD,,,,,,,,,0
26,27,Roberto Bussinello,,WD,,,,,,,,0
27,28,Roger Penske,,,,,,,,9,,0
28,29,Roy Salvadori,DNF,DNF,WD,DNF,DNF,DNF,DNF,DNS,DNF,0
29,30,Sam Tingle,,,,,,,,,WD,0
30,31,Syd van der Vyver,,,,,,,,,WD,0
31,32,Timmy Mayer,,,,,,,,DNF,,0
32,33,Tony Marsh,,WD,WD,WD,,WD,,,,0
33,34,Tony Settember,,,,,11,,DNF,,WD,0
34,35,Tony Shelly,,,,,DNF,DNQ,DNQ,,,0
35,36,Maurice Trintignant,WD,DNF,8,7,WD,DNF,DNF,DNF,,0
36,37,Ben Pon,DNF,,,,,,,,,0
37,38,Lucien Bianchi,,,9,,,16,,,,0
38,39,Heini Walter,,,,,,14,,,,0
39,40,Bruce Johnstone,,,,,,,,,9,0
40,41,Carlo Abate,,,,WD,,,,,,0
41,42,Colin Davis,,,,WD,,,,,,0
42,43,Doug Serrurier,,,,,,,,,DNF,0
43,44,Ernesto Prinoth,,,,,,,DNQ,,,0
44,45,Ernie Pieterse,,,,,,,,,10,0
45,46,Gary Hocking,,,,,,,,,WD,0
46,47,Gerry Ashmore,,,WD,,,,DNQ,,,0
47,48,Günther Seiffert,,,,,,DNQ,,,,0
48,49,Hap Sharp,,,,,,,,11,,0
49,50,Heinz Schiller,,,WD,,,DNF,,,,0
50,51,Kurt Kuhnke,,,,,,,WD,,,0
51,52,Ian Burgess,,,,WD,12,11,DNQ,,,0
52,53,Jack Lewis,,,WD,,,,,,,0
53,54,Jackie Lewis,8,DNQ,,DNF,10,DNF,,,,0
54,55,Jay Chamberlain,,,,,15,DNQ,DNQ,,,0
55,56,Jim Hall,,,,,,,,DNS,,0
56,57,Jo Siffert,,DNQ,10,DNF,WD,12,DNQ,,,0
57,58,John Campbell-Jones,,,11,,WD,,,,,0
58,59,John Love,,,,,,,,,8,0
59,60,Bernard Collomb,,,,,,DNF,,,,0
60,61,Keith Greene,,,,,DNS,DNF,DNQ,,,0
61,62,Wolfgang Seidel,NC,,,,DNF,DNQ,,,,0
