,Pos,Driver,MON,BEL,DUT,FRE,BRI,GER,ITA,US,MEX,SOU,Pts
0,1,Jim Clark,8,1*,1*,1*,1,2,1*,3*,1*,1,54 (73)
1,2,Graham Hill,1,DNF,DNF,3,3,DNF,16,1,4,3,29
2,3,Richie Ginther,2,4,5,DNF,4,3,2,2,3,DNF,29 (34)
3,4,John Surtees,4*,DNF,3,DNF,2*,1*,DNF,9,DSQ,DNF,22
4,5,Dan Gurney,DNF,3,2,5,DNF,DNF,14,DNF,6,2*,19
5,6,Bruce McLaren,3,2,DNF,12,DNF,DNF,3,11,DNF,4,17
6,7,Jack Brabham,9,DNF,DNF,4,DNF,7,5,4,2,13,14
7,8,Tony Maggs,5,7,DNF,2,9,DNF,6,DNF,DNF,7,9
8,9,Lorenzo Bandini,WD,WD,,10,5,DNF,DNF,5,DNF,5,6
9,10,Innes Ireland,DNF,DNF,4,9,DNF,DNF,4,WD,WD,,6
10,11,Jo Bonnier,7,5,11,NC,DNF,6,7,8,5,6,6
11,12,Gerhard Mitter,,,DNF,,,4,WD,,,,3
12,13,Jim Hall,DNF,DNF,8,11,6,5,8,10,8,,3
13,14,Carel Godin de Beaufort,WD,6,9,,10,DNF,DNQ,6,10,10,2
14,15,Ludovico Scarfiotti,,WD,6,DNS,,,,,,,1
15,16,Trevor Taylor,6,DNF,10,13,DNF,8,,DNF,DNF,8,1
16,17,Jo Siffert,DNF,DNF,7,6,DNF,9,DNF,DNF,9,,1
17,18,Mike Spence,,,,,,,13,,,,0
18,19,Moisés Solana,,,,,,,,,11,,0
19,20,Nasif Estéfano,WD,,,WD,DNP,,,,,,0
20,21,Paddy Driver,,,,,,,,,,DNS,0
21,22,Walt Hansgen,,,,,,,,WD,WD,,0
22,23,Neville Lederle,,,,,,,,,,WD,0
23,24,Peter Broeker,,,,,,,,7,,,0
24,25,Pedro Rodríguez,,,,,,,,DNF,DNF,,0
25,26,Peter Arundell,,WD,,DNS,,,,,,,0
26,27,Peter de Klerk,,,,,,,,,,DNF,0
27,28,Maurice Trintignant,DNF,,,8,,,9,,,,0
28,29,Phil Hill,WD,DNF,DNF,NC,WD,WD,11,DNF,DNF,,0
29,30,Roberto Lippi,,,,,,,DNQ,,,,0
30,31,Rodger Ward,,,,,,,,DNF,,,0
31,32,Sam Tingle,,,,,,,,,,DNF,0
32,33,Thomas Monarch,,,,,,,,,WD,,0
33,34,Tim Parnell,,,,,,DNQ,,,,,0
34,35,Tony Settember,WD,8,WD,DNF,DNF,DNF,DNQ,,,,0
35,36,Trevor Blokdyk,,,,,,,,,,12,0
36,37,Mike Hailwood,,,,,8,,10,,,WD,0
37,38,André Pilette,,,,,,DNQ,DNQ,,,,0
38,39,Masten Gregory,,,,DNF,11,WD,DNF,DNF,DNF,,0
39,40,Frank Dochnal,,,,,,,,,DNS,,0
40,41,Bob Anderson,,,,,12,,12,,,,0
41,42,Brausch Niemann,,,,,,,,,,14,0
42,43,Carlo Abate,,,,,,,WD,,,,0
43,44,Chris Amon,DNS,DNF,DNF,7,7,DNF,DNS,,DNF,,0
44,45,David Prophet,,,,,,,,,,DNF,0
45,46,Doug Serrurier,,,,,,,,,,11,0
46,47,Ernesto Brambilla,,,,,,,DNQ,,,,0
47,48,Ernie Pieterse,,,,,,,,,,DNF,0
48,49,Ernie de Vos,,,,,,,,WD,,,0
49,50,Gaetano Starrabba,,,,,,,WD,,,,0
50,51,Mario de Araujo Cabral,,,,,,DNF,DNQ,,,,0
51,52,Giancarlo Baghetti,WD,DNF,DNF,WD,WD,WD,15,DNF,DNF,,0
52,53,Günther Seiffert,,,,,,,WD,,,,0
53,54,Hap Sharp,,,,,,,,DNF,7,,0
54,55,Ian Burgess,WD,WD,WD,WD,DNF,DNF,WD,,,,0
55,56,Ian Raby,,,,,DNF,DNQ,DNQ,,,,0
56,57,John Campbell-Jones,WD,,,,13,,,,,,0
57,58,John Love,,,,,,,,,,9,0
58,59,Bernard Collomb,DNQ,,,,,10,,,,,0
59,60,Kurt Kuhnke,,,,,,DNQ,,,,,0
60,61,Lucien Bianchi,,DNF,,,,,,,,,0
61,62,Willy Mairesse,DNF,DNF,,,,DNF,,,,,0
