,Pos,Driver,MON,DUT,BEL,FRE,BRI,GER,OST,ITA,US,MEX,Pts
0,1,John Surtees,DNF,2,DNF,DNF,3,1*,DNF,1*,2,2,40
1,2,Graham Hill,1*,4,5,2,2,2,DNF,DNF,1,11,39 (41)
2,3,Jim Clark,4,1*,1,DNF,1*,DNF,DNF,DNF,7*,5*,32
3,4,Richie Ginther,2,11,4,5,8,7,2,4,4,8,23
4,5,Lorenzo Bandini,10,DNF,DNF,9,5,3,1,3,DNF,3,23
5,6,Dan Gurney,DNF,DNF,6*,1,13,10,DNF*,10,DNF,1,19
6,7,Bruce McLaren,DNF,7,2,6,DNF,DNF,DNF,2,DNF,7,13
7,8,Peter Arundell,3,3,9,4,,,,,,,11
8,9,Jack Brabham,DNF,DNF,3,3*,4,12,9,14,DNF,DNF,11
9,10,Jo Siffert,8,13,DNF,DNF,11,4,DNF,7,3,DNF,7
10,11,Bob Anderson,7,6,,12,7,DNF,3,11,,,5
11,12,Tony Maggs,WD,DNS,,,DNF,6,4,,,,4
12,13,Mike Spence,,,,,9,8,DNF,6,DNF,4,4
13,14,Innes Ireland,DNS,,10,DNF,10,,5,5,DNF,12,4
14,15,Jo Bonnier,5,9,DNF,,DNF,DNF,6,12,DNF,DNF,3
15,16,Maurice Trintignant,DNF,,,11,DNQ,5,,DNF,,,2
16,17,Chris Amon,DNQ,5,DNF,10,DNF,11,DNF,,DNF,DNF,2
17,18,Walt Hansgen,,,,,,,,,5,,2
18,19,Pedro Rodríguez,,,,,,,,,,6,1
19,20,Mike Hailwood,6,12,,8,DNF,DNF,8,DNF,8,DNF,1
20,21,Phil Hill,9,8,DNF,7,6,DNF,DNF,,DNF,9,1
21,22,Trevor Taylor,DNF,,7,DNF,DNF,,DNF,DNQ,6,DNF,1
22,23,Moisés Solana,,,,,,,,,,10,0
23,24,Richard Attwood,,,,,DNS,,,,,,0
24,25,Ronnie Bucknum,,,,,,13,,DNF,DNF,,0
25,26,Peter Revson,DNQ,,DSQ,,DNF,14,,13,,,0
26,27,André Pilette,WD,,DNF,,,DNQ,,,,,0
27,28,Mario de Araujo Cabral,,,,,,,,DNF,,,0
28,29,Ludovico Scarfiotti,,,,,,,,9,,,0
29,30,John Taylor,,,,,14,,,,,,0
30,31,John Love,,,,,,,,DNQ,,,0
31,32,Bernard Collomb,DNQ,,,,,,,,,,0
32,33,Ian Raby,,,,,DNF,,,DNQ,,,0
33,34,Hap Sharp,,,,,,,,,NC,13,0
34,35,Giancarlo Baghetti,WD,10,8,,12,DNF,7,8,,,0
35,36,"Giacomo ""Geki"" Russo",,,,,,,,DNQ,,,0
36,37,Gerhard Mitter,,,,,,9,,,,,0
37,38,Frank Gardner,,,,,DNF,,,,,,0
38,39,Edgar Barth,,,,,,DNF,,,,,0
39,40,Carel Godin de Beaufort,,DNF,,,,,,,,,0
40,41,Jochen Rindt,,,,,,,DNF,,,,0
