,Pos,Driver,SOU,MON,BEL,FRE,BRI,DUT,GER,ITA,US,MEX,Pts
0,1,Jim Clark,1*,,1*,1*,1,1*,1*,10*,DNF,DNF,54
1,2,Graham Hill,3,1*,5,5,2*,4,2,2,1*,DNF,40 (47)
2,3,Jackie Stewart,6,3,2,2,5,2,DNF,1,DNF,DNF,33 (34)
3,4,Dan Gurney,DNF,,10,DNF,6,3,3,3,2,2*,25
4,5,John Surtees,2,4,DNF,3,3,7,DNF,DNF,,,17
5,6,Lorenzo Bandini,15,2,9,8,DNF,9,6,4,4,8,13
6,7,Richie Ginther,,DNF,6,DNF,DNF,6,,14,7,1,11
7,8,Bruce McLaren,5,5,3,DNF,10,DNF,DNF,5,DNF,DNF,10
8,9,Mike Spence,4,,7,7,4,8,DNF,11,DNF,3,10
9,10,Jack Brabham,8,DNF,4,,DNS,,5,,3,DNF,9
10,11,Denny Hulme,,8,,4,DNF,5,DNF,DNF,,,5
11,12,Jo Siffert,7,6,8,6,9,13,DNF,DNF,11,4,5
12,13,Jochen Rindt,DNF,DNQ,11,DNF,14,DNF,4,8,6,DNF,4
13,14,Pedro Rodríguez,,,,,,,,,5,7,2
14,15,Ronnie Bucknum,,DNF,DNF,DNF,,,,DNF,13,5,2
15,16,Richard Attwood,,DNF,14,,13,12,DNF,6,10,6,2
16,17,Neville Lederle,DNQ,,,,,,,,,,0
17,18,Moisés Solana,,,,,,,,,12,DNF,0
18,19,Ray Reed,WD,,,,,,,,,,0
19,20,Mike Hailwood,,DNF,,,,,,,,,0
20,21,Masten Gregory,,,DNF,,12,,8,DNF,,,0
21,22,Peter de Klerk,10,,,,,,,,,,0
22,23,Ludovico Scarfiotti,,,,,,,,,,DNS,0
23,24,Lucien Bianchi,,,12,,,,,,,,0
24,25,Roberto Bussinello,,,,,,,DNQ,13,,,0
25,26,Paul Hawkins,9,10,,,,,DNF,,,,0
26,27,Sam Tingle,13,,,,,,,,,,0
27,28,Tony Maggs,11,,,,,,,,,,0
28,29,John Rhodes,,,,,DNF,,,,,,0
29,30,Nino Vaccarella,,,,,,,,12,,,0
30,31,Alan Rollinson,,,,,DNQ,,,,,,0
31,32,John Love,DNF,,,,,,,,,,0
32,33,Doug Serrurier,DNQ,,,,,,,,,,0
33,34,Bob Anderson,NC,9,,9,DNF,DNF,,,,,0
34,35,Bob Bondurant,,,,,,,,,9,DNF,0
35,36,Brausch Niemann,DNQ,,,,,,,,,,0
36,37,Brian Gubby,,,,,DNQ,,,,,,0
37,38,Chris Amon,,,,DNF,,,DNF,,,,0
38,39,Clive Puzey,DNPQ,,,,,,,,,,0
39,40,Dave Charlton,DNPQ,,,,,,,,,,0
40,41,David Clapham,WD,,,,,,,,,,0
41,42,David Prophet,14,,,,,,,,,,0
42,43,Ernie Pieterse,DNQ,,,,,,,,,,0
43,44,Jo Bonnier,DNF,7,DNF,DNF,7,DNF,7,7,8,DNF,0
44,45,Frank Gardner,12,DNF,DNF,,8,11,DNF,DNF,,,0
45,46,Gerhard Mitter,,,,,,,DNF,,,,0
46,47,"Giacomo ""Geki"" Russo",,,,,,,,DNF,,,0
47,48,Giancarlo Baghetti,,,,,,,,DNF,,,0
48,49,Giorgio Bassi,,,,,,,,DNF,,,0
49,50,Ian Raby,,,,,11,,DNQ,,,,0
50,51,Innes Ireland,,,13,DNF,DNF,10,,9,DNF,DNS,0
51,52,Jackie Pretorius,DNPQ,,,,,,,,,,0
52,53,Alex Blignaut,WD,,,,,,,,,,0
53,54,Trevor Blokdyk,DNQ,,,,,,,,,,0
