,Pos,Driver,MON,BEL,FRE,BRI,DUT,GER,ITA,US,MEX,Pts
0,1,Jack Brabham,DNF,4,1,1*,1,1,DNF,DNF,2,42 (45)
1,2,John Surtees,DNF,1*,DNF,DNF,DNF,2*,DNF,3*,1,28
2,3,Jochen Rindt,DNF,2,4,5,DNF,3,4,2,DNF,22 (24)
3,4,Denny Hulme,DNF,DNF,3,2,DNF*,DNF,3,DNF,3,18
4,5,Graham Hill,3,DNF,DNF,3,2,4,DNF,DNF,DNF,17
5,6,Jim Clark,DNF,DNF,,4,3,DNF,DNF,1,DNF,16
6,7,Jackie Stewart,1,DNF,,DNF,4,5,DNF,DNF,DNF,14
7,8,Lorenzo Bandini,2*,3,NC*,,6,6,DNF,DNF,,12
8,9,Mike Parkes,,,2,,DNF,DNF,2,,,12
9,10,Ludovico Scarfiotti,,,,,,DNF,1*,,,9
10,11,Richie Ginther,DNF,5,,,,,DNF,NC,4*,5
11,12,Dan Gurney,,NC,5,DNF,DNF,7,DNF,DNF,5,4
12,13,Mike Spence,DNF,DNF,DNF,DNF,5,DNF,5,DNF,DNS,4
13,14,Bruce McLaren,DNF,DNS,,6,,,,5,DNF,3
14,15,Bob Bondurant,4,DNF,,9,,DNF,7,DSQ,DNF,3
15,16,Jo Siffert,DNF,DNF,DNF,NC,DNF,,DNF,4,DNF,3
16,17,John Taylor,,,6,8,8,DNF,,,,1
17,18,Peter Arundell,,DNS,DNF,DNF,DNF,8,8,6,7,1
18,19,Bob Anderson,DNF,,7,NC,DNF,DNF,6,,,1
19,20,Jo Bonnier,NC,DNF,NC,DNF,7,DNF,DNF,NC,6,1
20,21,Innes Ireland,,,,,,,,DNF,DNF,0
21,22,Guy Ligier,NC,NC,NC,10,9,DNS,,,,0
22,23,Giancarlo Baghetti,,,,,,,NC,,,0
23,24,"Giacomo ""Geki"" Russo",,,,,,,9,,,0
24,25,Chris Lawrence,,,,11,,DNF,,,,0
25,26,Moisés Solana,,,,,,,,,DNF,0
26,27,Pedro Rodríguez,,,DNF,,,,,DNF,DNF,0
27,28,Chris Irwin,,,,7,,,,,,0
28,29,Phil Hill,,,,,,,DNQ,,,0
29,30,Chris Amon,,,8,,,,DNQ,,,0
30,31,Ronnie Bucknum,,,,,,,,DNF,8,0
31,32,Trevor Taylor,,,,DNF,,,,,,0
32,33,Vic Wilson,,DNS,,,,,,,,0
