,Pos,Driver,SOU,MON,DUT,BEL,FRE,BRI,GER,CAN,ITA,US,MEX,Pts
0,1,Denny Hulme,4*,1,3,DNF,2,2*,1,2,DNF,3,3,51
1,2,Jack Brabham,6,DNF,2,DNF,1,4,2,1,2,5,2,46 (48)
2,3,Jim Clark,DNF,DNF*,1*,6,DNF,1,DNF,DNF*,3*,1,1*,41
3,4,Chris Amon,,3,4,3,DNF,3,3,6,7,DNF,9,20
4,5,John Surtees,3,DNF,DNF,DNF,,6,4,,1,DNF,4,20
5,6,Pedro Rodríguez,1,5,DNF,9,6,5,11,,,,6,15
6,7,Graham Hill,DNF,2,DNF,DNF,DNF*,DNF,DNF,4,DNF,2*,DNF,15
7,8,Dan Gurney,DNF,DNF,DNF,1*,DNF,DNF,DNF*,3,DNF,DNF,DNF,13
8,9,Jackie Stewart,DNF,DNF,DNF,2,3,DNF,DNF,DNF,DNF,DNF,DNF,10
9,10,Mike Spence,DNF,6,8,5,DNF,DNF,DNF,5,5,DNF,5,9
10,11,John Love,2,,,,,,,,,,,6
11,12,Jochen Rindt,DNF,DNF,DNF,4,DNF,DNF,DNF,DNF,4,DNF,,6
12,13,Jo Siffert,DNF,DNF,10,7,4,DNF,DNF,,DNF,4,12,6
13,14,Bruce McLaren,,4,DNF,,DNF,DNF,DNF,7,DNF,DNF,DNF,3
14,15,Jo Bonnier,DNF,,,DNF,,DNF,6,8,DNF,6,10,3
15,16,Mike Parkes,,,5,DNF,,,,,,,,2
16,17,Chris Irwin,,,7,DNF,5,7,9,DNF,DNF,DNF,DNF,2
17,18,Bob Anderson,5,DNQ,9,8,DNF,DNF,,,,,,2
18,19,Jacky Ickx,,,,,,,DNF,,6,DNF,,1
19,20,Guy Ligier,,,,10,NC,10,8,,DNF,DNF,11,1
20,21,Ludovico Scarfiotti,,,6,NC,,,,,DNF,,,1
21,22,Jo Schlesser,,,,,,,DNF,,,,,0
22,23,Jackie Oliver,,,,,,,5,,,,,0
23,24,Hubert Hahne,,,,,,,DNF,,,,,0
24,25,Alan Rees,,,,,,9,7,,,,,0
25,26,Jonathan Williams,,,,,,,,,,,8,0
26,27,Kurt Ahrens Jr.,,,,,,,DNF,,,,,0
27,28,Gerhard Mitter,,,,,,,DNF,,,,,0
28,29,Mike Fisher,,,,,,,,11,,,DNF,0
29,30,Moisés Solana,,,,,,,,,,DNF,DNF,0
30,31,Richard Attwood,,,,,,,,10,,,,0
31,32,Giancarlo Baghetti,,,,,,,,,DNF,,,0
32,33,Luki Botha,NC,,,,,,,,,,,0
33,34,Eppie Wietzes,,,,,,,,DSQ,,,,0
34,35,Brian Hart,,,,,,,NC,,,,,0
35,36,Al Pease,,,,,,,,NC,,,,0
36,37,Silvio Moser,,,,,,DNF,,,,,,0
37,38,Sam Tingle,DNF,,,,,,,,,,,0
38,39,Richie Ginther,,DNQ,,,,,,,,,,0
39,40,Piers Courage,DNF,DNF,,,,DNS,,,,,,0
40,41,Lorenzo Bandini,,DNF,,,,,,,,,,0
41,42,Johnny Servoz-Gavin,,DNF,,,,,,,,,,0
42,43,Jean-Pierre Beltoise,,DNQ,,,,,,,,7,7,0
43,44,David Hobbs,,,,,,8,10,9,,,,0
44,45,Dave Charlton,NC,,,,,,,,,,,0
45,46,Tom Jones,,,,,,,,DNQ,,,,0
