,Pos,Driver,SOU,SPA,MON,BEL,DUT,FRE,BRI,GER,ITA,CAN,US,MEX,Pts
0,1,Graham Hill,2,1,1,DNF,9,DNF,DNF,2,DNF,4,2,1,48
1,2,Jackie Stewart,DNF,,,4,1,3,6,1*,DNF,6,1*,7,36
2,3,Denny Hulme,5,2,5,DNF,DNF,5,4,7,1,1,DNF,DNF,33
3,4,Jacky Ickx,DNF,DNF,,3,4,1,3,4,3,DNS,,DNF,27
4,5,Bruce McLaren,,DNF,DNF,1,DNF,8,7,13,DNF,2,6,2,22
5,6,Pedro Rodríguez,DNF,DNF,DNF,2,3,NC*,DNF,6,DNF,3,DNF,4,18
6,7,John Surtees,8,DNF,DNF,DNF*,DNF,2,5,DNF,DNF,DNF,3,DNF,12
7,8,Jo Siffert,7,DNF,DNF,7,DNF,11,1*,DNF,DNF,DNF*,5,6*,12
8,9,Jean-Pierre Beltoise,6,5*,DNF,8,2*,9,DNF,DNF,5,DNF,DNF,DNF,11
9,10,Chris Amon,4,DNF,,DNF,6,10,2,DNF,DNF,DNF,DNF,DNF,10
10,11,Jim Clark,1*,,,,,,,,,,,,9
11,12,Jochen Rindt,3,DNF,DNF,DNF,DNF,DNF,DNF,3,DNF,DNF,DNF,DNF,8
12,13,Ludovico Scarfiotti,DNF,4,4,,,,,,,,,,6
13,14,Richard Attwood,,,2*,DNF,7,7,DNF,14,,,,,6
14,15,Johnny Servoz-Gavin,,,DNF,,,DNF,,,2,DNF,,DNF,6
15,16,Jackie Oliver,,,DNF,5,NC,,DNF,11,DNF*,DNF,DNS,3,6
16,17,Vic Elford,,,,,,4,DNF,DNF,DNF,5,DNF,8,5
17,18,Lucien Bianchi,,,3,6,DNF,,,DNF,,NC,NC,DNF,5
18,19,Brian Redman,DNF,3,,DNF,,,,,,,,,4
19,20,Piers Courage,,DNF,DNF,DNF,DNF,6,8,8,4,DNF,DNF,DNF,4
20,21,Jo Bonnier,DNF,,,DNF,8,,DNF,,6,DNF,NC,5,3
21,22,Dan Gurney,DNF,,DNF,,DNF,,DNF,9,DNF,DNF,4,DNF,3
22,23,Silvio Moser,,,,,5,,NC,,DNQ,,,,2
23,24,Jack Brabham,DNF,,DNF,DNF,DNF,DNF,DNF,5,DNF,DNF,DNF,10,2
24,25,Frank Gardner,,,,,,,,,DNQ,,,,0
25,26,Kurt Ahrens Jr.,,,,,,,,12,,,,,0
26,27,Henri Pescarolo,,,,,,,,,,DNF,,9,0
27,28,Hubert Hahne,,,,,,,,10,,,,,0
28,29,David Hobbs,,,,,,,,,DNF,,,,0
29,30,Mario Andretti,,,,,,,,,DNS,,DNF,,0
30,31,Moisés Solana,,,,,,,,,,,,DNF,0
31,32,Derek Bell,,,,,,,,,DNF,,DNF,,0
32,33,Andrea de Adamich,DNF,,,,,,,,,,,,0
33,34,Bobby Unser,,,,,,,,,DNS,,DNF,,0
34,35,Bill Brack,,,,,,,,,,DNF,,,0
35,36,Sam Tingle,DNF,,,,,,,,,,,,0
36,37,Mike Spence,DNF,,,,,,,,,,,,0
37,38,John Love,9,,,,,,,,,,,,0
38,39,Jo Schlesser,,,,,,DNF,,,,,,,0
39,40,Jackie Pretorius,NC,,,,,,,,,,,,0
40,41,Dave Charlton,DNF,,,,,,,,,,,,0
41,42,Robin Widdows,,,,,,,DNF,,,,,,0
42,DNF,,,,,,,,,,,,,,
