,Pos,Driver,SOU,SPA,MON,DUT,FRE,BRI,GER,ITA,CAN,US,MEX,Pts
0,1,Jackie Stewart,1*,1,DNF*,1*,1*,1*,2,1,DNF,DNF,4,63
1,2,Jacky Ickx,DNF,6,DNF,5,3,2,1*,10,1*,DNF,2*,37
2,3,Bruce McLaren,5,2,5,DNF,4,3,3,4,5,DNF,DNS,26
3,4,Jochen Rindt,DNF,DNF*,,DNF,DNF,4,DNF,2,3,1*,DNF,22
4,5,Jean-Pierre Beltoise,6,3,DNF,8,2,9,12,3*,4,DNF,5,21
5,6,Denny Hulme,3,4,6,4,8,DNF,DNF,7,DNF,DNF,1,20
6,7,Graham Hill,2,DNF,1,7,6,7,4,9,DNF,DNF,,19
7,8,Piers Courage,,DNF,2,DNF,DNF,5,DNF,5,DNF,2,10,16
8,9,Jo Siffert,4,DNF,3,2,9,8,11,8,DNF,DNF,DNF,15
9,10,Jack Brabham,DNF,DNF,DNF,6,,,,DNF,2,4,3,14
10,11,John Surtees,DNF,5,DNF,9,,DNF,DNS,NC,DNF,3,DNF,6
11,12,Chris Amon,DNF,DNF,DNF,3,DNF,DNF,,,,,,4
12,13,Richard Attwood,,,4,,,,6,,,,,3
13,14,Vic Elford,,,7,10,5,6,DNF,,,,,3
14,15,Pedro Rodríguez,DNF,DNF,DNF,,,DNF,,6,,5,7,3
15,16,Jackie Oliver,7,DNF,DNF,DNF,,DNF,DNF,DNF,DNF,DNF,6,1
16,17,Silvio Moser,,,DNF,DNF,7,,,DNF,DNF,6,11,1
17,18,Johnny Servoz-Gavin,,,,,,,DNF,,6,NC,8,1
18,19,Hans Herrmann,,,,,,,DNS,,,,,0
19,20,Henri Pescarolo,,,,,,,5,,,,,0
20,21,Hubert Hahne,,,,,,,DNS,,,,,0
21,22,Pete Lovely,,,,,,,,,7,DNF,9,0
22,23,John Cordts,,,,,,,,,DNF,,,0
23,24,Kurt Ahrens,,,,,,,7,,,,,0
24,25,George Eaton,,,,,,,,,,DNF,DNF,0
25,26,Peter Westbury,,,,,,,9,,,,,0
26,27,Rolf Stommelen,,,,,,,8,,,,,0
27,28,Gerhard Mitter,,,,,,,DNS,,,,,0
28,29,Basil van Rooyen,DNF,,,,,,,,,,,0
29,30,François Cevert,,,,,,,DNF,,,,,0
30,31,Dieter Quester,,,,,,,DNS,,,,,0
31,32,Bill Brack,,,,,,,,,NC,,,0
32,33,Al Pease,,,,,,,,,DSQ,,,0
33,34,Sam Tingle,8,,,,,,,,,,,0
34,35,Peter de Klerk,NC,,,,,,,,,,,0
35,36,Mario Andretti,DNF,,,,,,DNF,,,DNF,,0
36,37,John Miles,,,,,DNF,10,,DNF,DNF,,DNF,0
37,38,John Love,DNF,,,,,,,,,,,0
38,39,Jo Bonnier,,,,,,DNF,DNF,,,,,0
39,40,Derek Bell,,,,,,DNF,,,,,,0
40,41,Xavier Perrot,,,,,,,10,,,,,0
