,Pos,Driver,SOU,SPA,MON,BEL,DUT,FRE,BRI,GER,OST,ITA,CAN,US,MEX,Pts
0,1,Jochen Rindt,13,DNF,1*,DNF,1,1,1,1,DNF,DNS,,,,45
1,2,Jacky Ickx,DNF,DNF,DNF,8,3*,DNF,DNF,2*,1*,DNF,1,4*,1*,40
2,3,Clay Regazzoni,,,,,4,,4,DNF,2*,1*,2*,13,2,33
3,4,Denny Hulme,2,DNF,4,,,4,3,3,DNF,4,DNF,7,3,27
4,5,Jack Brabham,1,DNF*,2,DNF,11,3*,2*,DNF,13,DNF,DNF,10,DNF,25
5,6,Jackie Stewart,3,1,DNF,DNF,2,9,DNF,DNF,DNF,2,DNF,DNF,DNF,25
6,7,Chris Amon,DNF,DNF,DNF,2*,DNF,2,5,DNF,8,7,3,5,4,23
7,8,Pedro Rodríguez,9,WD,6,1,10,DNF,DNF,DNF,4,DNF,4,2,6,23
8,9,Jean-Pierre Beltoise,4,DNF,DNF,3,5,13,DNF,DNF,6,3,8,DNF,5,16
9,10,Emerson Fittipaldi,,,,,,,8,4,15,WD,,1,DNF,12
10,11,Rolf Stommelen,DNF,DNF,DNQ,5,DNQ,7,,5,3,5,DNF,12,DNF,10
11,12,Henri Pescarolo,7,DNF,3,6,8,5,DNF,6,14,DNF,7,8,9,8
12,13,Graham Hill,6,4,5,DNF,NC,10,6,DNF,,WD,NC,DNF,DNF,7
13,14,Bruce McLaren,DNF,2,DNF,,,,,,,,,,,6
14,15,Mario Andretti,DNF,3,,,,,DNF,DNF,DNF,,,,,4
15,16,Reine Wisell,,,,,,,,,,,,3,NC,4
16,17,John Surtees,DNF*,DNF,DNF,,6,,DNF,9,DNF,DNF,5,DNF,8,3
17,18,Ignazio Giunti,,,,4,,14,,,7,DNF,,,,3
18,19,John Miles,5,DNQ,DNQ,DNF,7,8,DNF,DNF,DNF,WD,,,,2
19,20,Johnny Servoz-Gavin,DNF,5,DNQ,,,,,,,,,,,2
20,21,Jackie Oliver,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,5,DNF,NC,DNF,7,2
21,22,François Cevert,,,,,DNF,11,7,7,DNF,6,9,DNF,DNF,1
22,23,Derek Bell,,,,DNF,,,,,,,,6,,1
23,24,Dan Gurney,,,,,DNF,6,DNF,,,,,,,1
24,25,Peter Gethin,,,,,DNF,,,DNF,10,NC,6,14,DNF,1
25,26,Jo Bonnier,,,,,,,,,,DNQ,,DNF,,0
26,27,Hubert Hahne,,,,,,,,DNQ,,,,,,0
27,28,Nanni Galli,,,,,,,,,,DNQ,,,,0
28,29,Peter Westbury,,,,,,,,,,,,DNQ,,0
29,30,Gus Hutchison,,,,,,,,,,,,DNF,,0
30,31,Brian Redman,,,,,,,,DNQ,,,,,,0
31,32,Silvio Moser,,,,,DNQ,DNQ,,DNQ,DNF,DNQ,,,,0
32,33,Alex Soler-Roig,,DNQ,,,,DNQ,,,,,,,,0
33,34,Ronnie Peterson,,,7,NC,9,DNF,9,DNF,,DNF,NC,11,,0
34,35,Piers Courage,DNF,DNS,NC,DNF,DNF,,,,,,,,,0
35,36,Peter de Klerk,11,,,,,,,,,,,,,0
36,37,Pete Lovely,,,,,DNQ,DNQ,NC,,,,,DNQ,,0
37,38,John Love,8,,,,,,,,,,,,,0
38,39,Andrea de Adamich,,DNQ,DNQ,,DNQ,NC,DNF,DNQ,12,8,DNF,DNQ,,0
39,40,Jo Siffert,10,DNQ,8,7,DNF,DNF,DNF,8,9,DNF,DNF,9,DNF,0
40,41,George Eaton,DNF,DNQ,DNQ,,DNF,12,DNF,,11,DNF,10,DNF,,0
41,42,Dave Charlton,12,,,,,,,,,,,,,0
42,43,Tim Schenken,,,,,,,,,DNF,DNF,NC,DNF,,0
