,Pos,Driver,SOU,SPA,MON,DUT,FRE,BRI,GER,OST,ITA,CAN,US,Pts
0,1,Jackie Stewart,2,1,1*,11,1*,1*,1,DNF,DNF,1,5,62
1,2,Ronnie Peterson,10,DNF,2,4,DNF,2,5,8,2,2,3,33
2,3,François Cevert,DNF,7,DNF,DNF,2,10,2*,DNF,3,6,1,26
3,4,Jo Siffert,DNF,DNF,DNF,6,4,9,DSQ,1*,9,9,2,19
4,5,Jacky Ickx,8,2*,3,1*,DNF,DNF,DNF,DNF,DNF,8,NC*,19
5,6,Emerson Fittipaldi,DNF,DNF,5,,3,3,DNF,2,8,7,NC,16
6,7,Clay Regazzoni,3,DNF,DNF,3,DNF,DNF,3,DNF,DNF,DNF,6,13
7,8,Mario Andretti,1*,DNF,DNQ,DNF,,,4,,,13,,12
8,9,Reine Wisell,4,NC,DNF,DSQ,6,NC,8,4,,5,DNF,9
9,10,Chris Amon,5,3,DNF,DNF,5,DNF,DNF,,6,10,12,9
10,11,Peter Gethin,DNF,8,DNF,NC,9,DNF,DNF,10,1,14,9,9
11,12,Pedro Rodríguez,DNF,4,9,2,DNF,,,,,,,9
12,13,Denny Hulme,6,5,4,12,DNF,DNF,DNF,DNF,,4*,DNF,9
13,14,Howden Ganley,DNF,10,DNQ,7,10,8,DNF,DNF,5,DNF,4,5
14,15,Tim Schenken,,9,10,DNF,12,12,6,3,DNF,DNF,DNF,5
15,16,Mark Donohue,,,,,,,,,,3,,4
16,17,Henri Pescarolo,11,DNF,8,NC,NC,4,DNF,6,DNF*,,DNF,4
17,18,Mike Hailwood,,,,,,,,,4,,15,3
18,19,John Surtees,DNF,11,7,5,8,6,7,DNF,DNF,11,17,3
19,20,Rolf Stommelen,12,DNF,6,DSQ,11,5,10,7,DNF,DNF,,3
20,21,Graham Hill,9,DNF,DNF,10,DNF,DNF,9,5,DNF,DNF,7,2
21,22,Jean-Pierre Beltoise,,6,DNF,9,7,7,,,,DNF,8,1
22,23,Jean-Pierre Jarier,,,,,,,,,NC,,,0
23,24,Niki Lauda,,,,,,,,DNF,,,,0
24,25,Helmut Marko,,,,,,,,11,DNF,12,13,0
25,26,John Cannon,,,,,,,,,,,14,0
26,27,George Eaton,,,,,,,,,,15,,0
27,28,David Hobbs,,,,,,,,,,,10,0
28,29,Chris Craft,,,,,,,,,,DNQ,DNF,0
29,30,Pete Lovely,,,,,,,,,,NC,NC,0
30,31,Peter Revson,,,,,,,,,,,DNF,0
31,32,Sam Posey,,,,,,,,,,,DNF,0
32,33,Silvio Moser,,,,,,,,,DNF,,,0
33,34,Alex Soler-Roig,DNF,DNF,DNQ,DNF,DNF,,,,,,,0
34,35,Skip Barber,,,DNQ,NC,,,,,,DNF,NC,0
35,36,Nanni Galli,,,,,,11,12,12,DNF,16,DNF,0
36,37,Mike Beuttler,,,,,,DNF,DSQ,NC,NC,NC,,0
37,38,Max Jean,,,,,NC,,,,,,,0
38,39,Andrea de Adamich,13,,,,DNF,NC,DNF,,DNF,,11,0
39,40,John Love,DNF,,,,,,,,,,,0
40,41,Jo Bonnier,DNF,,,,,,DNQ,DNF,10,,16,0
41,42,Jackie Pretorius,DNF,,,,,,,,,,,0
42,43,Jackie Oliver,,,,,,DNF,,9,7,,,0
43,44,Gijs Van Lennep,,,,8,,,,,,,,0
44,45,François Mazet,,,,,13,,,,,,,0
45,46,Derek Bell,,,,,,DNF,,,,,,0
46,47,David Walker,,,,DNF,,,,,,,,0
47,48,Dave Charlton,DNF,,,,,DNF,,,,,,0
48,49,Brian Redman,7,,,,,,,,,,,0
49,50,Vic Elford,,,,,,,11,,,,,0
