,Pos,Driver,ARG,SOU,SPA,MON,BEL,FRE,BRI,GER,OST,ITA,CAN,US,Pts
0,1,Emerson Fittipaldi,DNF,2,1,3,1,2,1,DNF,1,1,11,DNF,61
1,2,Jackie Stewart,1*,DNF,DNF,4,,1,2*,11,7,DNF,1*,1*,45
2,3,Denny Hulme,2,1,DNF,15,3,7,5,DNF,2*,3,3,3,39
3,4,Jacky Ickx,3,8,2*,2,DNF,11,DNF,1*,DNF,DNF*,12,5,27
4,5,Peter Revson,DNF,3,5,,7,,3,,3,4,2,18,23
5,6,Clay Regazzoni,4,12,3,DNF,DNF,,,2,DNF,DNF,5,8,15
6,7,François Cevert,DNF,9,DNF,NC,2,4,DNF,10,9,DNF,DNF,2,15
7,8,Mike Hailwood,,DNF*,DNF,DNF,4,6,DNF,DNF,4,2,,17,13
8,9,Chris Amon,DNS,15,DNF,6,6*,3*,4,15,5,DNF,6,15,12
9,10,Ronnie Peterson,6,5,DNF,11,9,5,7,3,12,9,DSQ,4,12
10,11,Jean-Pierre Beltoise,,DNF,DNF,1*,DNF,15,11,9,8,8,DNF,DNF,9
11,12,Graham Hill,DNF,6,10,12,DNF,10,DNF,6,DNF,5,8,11,4
12,13,Mario Andretti,DNF,4,DNF,,,,,,,7,,6,4
13,14,Brian Redman,,,,5,,9,,5,,,,DNF,4
14,15,Howden Ganley,9,NC,DNF,DNF,8,,,4,6,11,10,DNF,4
15,16,Carlos Reutemann,7,DNF,,,13,12,8,DNF,DNF,DNF,4,DNF,3
16,17,Carlos Pace,,17,6,17,5,DNF,DNF,NC,NC,DNF,9,DNF,3
17,18,Andrea de Adamich,DNF,NC,4,7,DNF,14,DNF,13,14,DNF,DNF,DNF,3
18,19,Tim Schenken,5,DNF,8,DNF,DNF,17,DNF,14,11,DNF,7,DNF,2
19,20,Arturo Merzario,,,,,,,6,12,,,,,1
20,21,Peter Gethin,DNF,NC,DNF,DNF,DNF,,DNF,,13,6,DNF,DNF,1
21,22,François Migault,,,,,,,,,DNF,,,,0
22,23,Jackie Oliver,,,,,,,DNF,,,,,,0
23,24,Jody Scheckter,,,,,,,,,,,,9,0
24,25,John Surtees,,,,,,,,,,DNF,,,0
25,26,Derek Bell,,,,,,,,DNF,,DNQ,,DNF,0
26,27,Bill Brack,,,,,,,,,,,DNF,,0
27,28,Sam Posey,,,,,,,,,,,,12,0
28,29,Wilson Fittipaldi,,,7,9,DNF,8,12,7,DNF,DNF,DNF,DNF,0
29,30,Alex Soler-Roig,DNF,,DNF,,,,,,,,,,0
30,31,Mike Beuttler,,,DNQ,13,DNF,19,13,8,DNF,10,NC,13,0
31,32,Rolf Stommelen,,13,DNF,10,11,16,10,DNF,DNF,,,,0
32,33,Reine Wisell,DNF,,DNF,DNF,,DNF,,DNF,,12,DNF,10,0
33,34,Patrick Depailler,,,,,,NC,,,,,,7,0
34,35,Niki Lauda,11,7,DNF,16,12,DNF,9,DNF,10,13,DSQ,NC,0
35,36,Nanni Galli,,,,,DNF,13,DNF,,DNF,DNF,,,0
36,37,John Love,,16,,,,,,,,,,,0
37,38,Henri Pescarolo,8,11,11,DNF,NC,,DNF,DNF,,DNQ,13,14,0
38,39,Helmut Marko,10,14,,8,10,DNF,,,,,,,0
39,40,David Walker,DSQ,10,9,14,14,18,DNF,DNF,DNF,,,DNF,0
40,41,Dave Charlton,,DNF,,,,DNQ,DNF,DNF,,,,,0
41,42,Skip Barber,,,,,,,,,,,NC,16,0
