,Pos,Driver,ARG,BRA,SOU,SPA,BEL,MON,SWE,FRE,BRI,DUT,GER,OST,ITA,CAN,US,Pts
0,1,Jackie Stewart,3,2,1,DNF,1,1,5,4,10,1,1,2,4*,5,WD,71
1,2,Emerson Fittipaldi,1*,1*,3*,1,3,2*,12,DNF,DNF,DNF,6,11,2,2*,6,55
2,3,Ronnie Peterson,DNF,DNF,11,DNF*,DNF,3,2,1,2,11*,DNF,1,1,DNF,1,52
3,4,François Cevert,2,10,NC,2,2*,4,3,2,5,2,2,DNF,5,DNF,DNS,47
4,5,Peter Revson,8,DNF,2,4,DNF,5,7,,1,4,9,DNF,3,1,5,38
5,6,Denny Hulme,5,3,5,6,7,6,1*,8*,3,DNF,12,8,15,13,4,26
6,7,Carlos Reutemann,DNF,11,7,DNF,DNF,DNF,4,3,6,DNF,DNF,4,6,8,3,16
7,8,James Hunt,,,,,,9,,6,4*,3,,DNF,DNS,7,2*,14
8,9,Jacky Ickx,4,5,DNF,12,DNF,DNF,6,5,8,,3,,8,,7,12
9,10,Jean-Pierre Beltoise,DNF,DNF,DNF,5,DNF,DNF,DNF,11,DNF,5,DNF,5,13,4,9,9
10,11,Carlos Pace,DNF,DNF,DNF,DNF,8,DNF,10,13,DNF,7,4*,3*,DNF,18,DNF,7
11,12,Arturo Merzario,9,4,4,,,DNF,,7,,,,7,DNF,15,16,6
12,13,George Follmer,,,6,3,DNF,,14,DNF,DNF,10,DNF,DNF,10,17,14,5
13,14,Jackie Oliver,,,DNF,DNF,DNF,10,DNF,DNF,DNF,DNF,8,DNF,11,3,15,4
14,15,Wilson Fittipaldi,6,DNF,DNF,10,DNF,11,DNF,16,DNF,DNF,5,DNF,DNF,11,NC,3
15,16,Andrea de Adamich,,,8,DNF,4,7,,DNF,DNF,,,,,,,3
16,17,Niki Lauda,DNF,8,DNF,DNF,5,DNF,13,9,12,DNF,DNF,,DNF,DNF,DNF,2
17,18,Clay Regazzoni,7,6,DNF,9,10,DNF,9,12,7,8,DNF,6,DNF,,8,2
18,19,Gijs Van Lennep,,,,,,,,,,6,,9,DNF,,,1
19,20,Howden Ganley,NC,7,10,DNF,DNF,DNF,11,14,9,9,,NC,NC,6,12,1
20,21,Chris Amon,,,,,6,DNF,,,DNF,DNF,,,,10,WD,1
21,22,Rikky von Opel,,,,,,,,15,13,DNS,,DNF,DNF,NC,DNF,0
22,23,Rolf Stommelen,,,,,,,,,,,11,DNF,12,12,,0
23,24,Roger Williamson,,,,,,,,,DNF,DNF,,,,,,0
24,25,Peter Gethin,,,,,,,,,,,,,,DNF,,0
25,26,John Watson,,,,,,,,,DNF,,,,,,DNF,0
26,27,Jochen Mass,,,,,,,,,DNF,,7,,,,DNF,0
27,28,Graham McRae,,,,,,,,,DNF,,,,,,,0
28,29,Brian Redman,,,,,,,,,,,,,,,DSQ,0
29,30,Dave Charlton,,,DNF,,,,,,,,,,,,,0
30,31,Reine Wisell,,,,,,,DNF,DNF,,,,,,,,0
31,32,Jackie Pretorius,,,DNF,,,,,,,,,,,,,0
32,33,Nanni Galli,DNF,9,,11,DNF,DNF,,,,,,,,,,0
33,34,Mike Hailwood,DNF,DNF,DNF,DNF,DNF,8,DNF,DNF,DNF,DNF,14,10,7,9,DNF,0
34,35,Mike Beuttler,10,DNF,NC,7,11,DNF,8,,11,DNF,16,DNF,DNF,DNF,10,0
35,36,Luiz Bueno,,12,,,,,,,,,,,,,,0
36,37,Jody Scheckter,,,9,,,,,DNF,DNF,,,,,DNF,DNF,0
37,38,Jean-Pierre Jarier,DNF,DNF,NC,,DNF,DNF,DNF,DNF,,,,DNF,,NC,11,0
38,39,David Purley,,,,,,DNF,,,DNF,DNF,15,,9,,,0
39,40,Eddie Keizan,,,NC,,,,,,,,,,,,,0
40,41,Graham Hill,,,,DNF,9,DNF,DNF,10,DNF,NC,13,DNF,14,16,13,0
41,42,Henri Pescarolo,,,,8,,,,DNF,,,10,,,,,0
42,43,Tim Schenken,,,,,,,,,,,,,,14,,0
