,Pos,Driver,ARG,BRA,SOU,SPA,BEL,MON,SWE,DUT,FRE,BRI,GER,OST,ITA,CAN,US,Pts
0,1,Emerson Fittipaldi,10,1,7,3,1,5,4,3,DNF,2,DNF,DNF,2,1,4,55
1,2,Clay Regazzoni,3*,2*,DNF,2,4,4,DNF,2,3,4,1,5*,DNF,2,11,52
2,3,Jody Scheckter,DNF,13,8,5,3,2,1,5,4*,1,2*,DNF,3,DNF,DNF,45
3,4,Niki Lauda,2,DNF,16,1*,2,DNF,DNF,1,2,5*,DNF,DNF,DNF,DNF*,DNF,38
4,5,Ronnie Peterson,13,6,DNF,DNF,DNF,1*,DNF,8*,1,10,4,DNF,1,3,DNF,35
5,6,Carlos Reutemann,7,7,1*,DNF,DNF,DNF,DNF,12,DNF,6,3,1,DNF,9,1,32
6,7,Denny Hulme,1,12,9,6,6*,DNF,DNF,DNF,6,7,DNF,2,6,6,DNF,20
7,8,James Hunt,DNF,9,DNF,10,DNF,DNF,3,DNF,DNF,DNF,DNF,3,DNF,4,3,15
8,9,Patrick Depailler,6,8,4,8,DNF,9,2*,6,8,DNF,DNF,DNF,11,5,6,14
9,10,Mike Hailwood,4,5,3,9,7,DNF,DNF,4,7,DNF,15,,,,,12
10,11,Jacky Ickx,DNF,3,DNF,DNF,DNF,DNF,DNF,11,5,3,5,DNF,DNF,13,DNF,12
11,12,Carlos Pace,DNF,4,11,13,DNF,DNF,DNF,,DNQ,9,12,DNF,5*,8,2*,11
12,13,Jean-Pierre Beltoise,5,10,2,DNF,5,DNF,DNF,DNF,10,12,DNF,DNF,DNF,NC,DNQ,10
13,14,John Watson,12,DNF,DNF,11,11,6,11,7,16,11,DNF,4,7,DNF,5,6
14,15,Jean-Pierre Jarier,DNF,DNF,,DNF,13,3,5,DNF,12,DNF,8,8,DNF,DNF,10,6
15,16,Hans Joachim Stuck,DNF,DNF,5,4,DNF,DNF,,DNF,DNQ,DNF,7,11,DNF,DNF,DNQ,5
16,17,Arturo Merzario,DNF,DNF,6,DNF,DNF,DNF,,DNF,9,DNF,DNF,DNF,4,DNF,DNF,4
17,18,Vittorio Brambilla,,,10,,9,DNF,10,10,11,DNF,13,6,DNF,DNQ,DNF,1
18,19,Graham Hill,DNF,11,12,DNF,8,7,6,DNF,13,13,9,12,8,14,8,1
19,20,Tom Pryce,,,,,DNF,,,DNF,DNF,8,6,DNF,10,DNF,NC,1
20,21,Henri Pescarolo,9,14,18,12,DNF,DNF,DNF,DNF,DNF,DNF,10,,DNF,,,0
21,22,Ian Ashley,,,,,,,,,,,14,NC,,DNQ,DNQ,0
22,23,Carlo Facetti,,,,,,,,,,,,,DNQ,,,0
23,24,David Hobbs,,,,,,,,,,,,7,9,,,0
24,25,David Purley,,,,,,,,,,DNQ,,,,,,0
