,Pos,Driver,ARG,BRA,SOU,SPA,MON,BEL,SWE,DUT,FRE,BRI,GER,OST,ITA,US,Pts
0,1,Niki Lauda,6,5,5,DNF,1,1,1*,2*,1,8,3,6,3,1,64.5
1,2,Emerson Fittipaldi,1,2,NC,DNS,2,7,8,DNF,4,1,DNF,9,2,2*,45
2,3,Carlos Reutemann,3,8,2,3,9,3,2,4,14,DNF,1,14,4,DNF,37
3,4,James Hunt,2*,6,DNF,DNF,DNF,DNF,DNF,1,2,4,DNF,2,5,4,33
4,5,Clay Regazzoni,4,4,16,NC,DNF,5*,3,3,DNF,13*,DNF*,7,1*,WD,25
5,6,Carlos Pace,DNF,1,4*,DNF,3,8,DNF,5,DNF,2,DNF,DNF,DNF,DNF,24
6,7,Jody Scheckter,11,DNF,1,DNF,7,2,7,16,9,3,DNF,8,8,6,20
7,8,Jochen Mass,14,3,6,1,6,DNF,DNF,DNF,3*,7,DNF,4,DNF,3,20
8,9,Patrick Depailler,5,DNF,3,DNF,5*,4,12,9,6,9,9,11,7,DNF,12
9,10,Tom Pryce,12,DNF,9,DNF,DNF,6,DNF,6,DNF,DNF,4,3,6,NC,8
10,11,Vittorio Brambilla,9,DNF,DNF,5,DNF,DNF,DNF,DNF,DNF,6,DNF,1*,DNF,7,6.5
11,12,Jacques Laffite,DNF,11,NC,,DNQ,DNF,,DNF,11,DNF,2,DNF,DNF,DNS,6
12,13,Ronnie Peterson,DNF,15,10,DNF,4,DNF,9,15,10,DNF,DNF,5,DNF,5,6
13,14,Mario Andretti,DNF,7,17,DNF*,DNF,,4,,5,12,10,DNF,DNF,DNF,5
14,15,Mark Donohue,7,DNF,8,DNF,DNF,11,5,8,DNF,5,DNF,NC,,,4
15,16,Jacky Ickx,8,9,12,2,8,DNF,15,DNF,DNF,,,,,,3
16,17,Alan Jones,,,,DNF,DNF,DNF,11,13,16,10,5,,,,2
17,18,Jean-Pierre Jarier,DNS,DNF*,DNF,4,DNF,DNF,DNF,DNF,8,14,DNF,DNF,DNF,DNF,1.5
18,19,Tony Brise,,,,7,,DNF,6,7,7,15,DNF,15,DNF,DNF,1
19,20,Gijs Van Lennep,,,,,,,,10,15,,6,,,,1
20,21,Lella Lombardi,,,DNF,6,DNQ,DNF,DNF,14,18,DNF,7,17,DNF,DNS,0.5
21,22,Hans Joachim Stuck,,,,,,,,,,DNF,DNF,DNF,DNF,8,0
22,23,John Nicholson,,,,,,,,,,17,,,,,0
23,24,Renzo Zorzi,,,,,,,,,,,,,14,,0
24,25,Michel Leclère,,,,,,,,,,,,,,DNF,0
25,26,Brett Lunger,,,,,,,,,,,,13,10,DNF,0
26,27,Brian Henton,,,,,,,,,,16,,NC,,NC,0
27,28,Chris Amon,,,,,,,,,,,,12,12,,0
28,29,Jo Vonlanthen,,,,,,,,,,,,DNF,,,0
29,30,Harald Ertl,,,,,,,,,,,8,DNF,9,,0
30,31,Jim Crawford,,,,,,,,,,DNF,,,13,,0
31,32,Dave Morgan,,,,,,,,,,18,,,,,0
32,33,Jean-Pierre Jabouille,,,,,,,,,12,,,,,,0
33,34,Ian Ashley,,,,,,,,,,,DNF,,,,0
34,35,Wilson Fittipaldi,DNF,13,DNQ,DNF,DNQ,12,17,11,DNF,19,DNF,DNQ,,10,0
35,36,Mike Wilds,DNF,DNF,,,,,,,,,,,,,0
36,37,Vern Schuppan,,,,,,,DNF,,,,,,,,0
37,38,Torsten Palm,,,,,DNQ,,10,,,,,,,,0
38,39,Rolf Stommelen,13,14,7,DNF,,,,,,,,16,DNF,,0
39,40,Roelof Wunderink,,,,DNF,DNQ,,,,,DNQ,,NC,DNQ,DNF,0
40,41,Arturo Merzario,NC,DNF,DNF,DNF,DNQ,DNF,,,,,,,11,,0
41,42,John Watson,DSQ,10,DNF,8,DNF,10,16,DNF,13,11,DNF,10,,9,0
42,43,Ian Scheckter,,,DNF,,,,DNF,12,,,,,,,0
43,44,Hiroshi Fushida,,,,,,,,DNS,,DNQ,,,,,0
44,45,Guy Tunmer,,,11,,,,,,,,,,,,0
45,46,Graham Hill,10,12,DNQ,,DNQ,,,,,,,,,,0
46,47,François Migault,,,,NC,,DNF,,,DNS,,,,,,0
47,48,Eddie Keizan,,,13,,,,,,,,,,,,0
48,49,Dave Charlton,,,14,,,,,,,,,,,,0
49,50,Damien Magee,,,,,,,14,,,,,,,,0
50,51,Bob Evans,,,15,DNF,DNQ,9,13,DNF,17,,,DNF,DNF,,0
51,52,Tony Trimmer,,,,,,,,,,,DNQ,DNQ,DNQ,,0
