,Pos,Driver,BRA,SOU,USW,SPA,BEL,MON,SWE,FRE,BRI,GER,OST,DUT,ITA,CAN,US,JAP,Pts
0,1,James Hunt,DNF,2,DNF,1,DNF,DNF,5,1,DSQ,1,4*,1,DNF,1,1*,3,69
1,2,Niki Lauda,1,1*,2,2,1*,1,3,DNF*,1*,DNF,,,4,8,3,DNF,68
2,3,Jody Scheckter,5,4,DNF,DNF,4,2,1,6,2,2*,DNF,5,5,4,2,DNF,49
3,4,Patrick Depailler,2,9,3,DNF,DNF,3,2,2,DNF,DNF,DNF,7,6,2*,DNF,2,39
4,5,Clay Regazzoni,7,DNF,1*,11,2,14*,6,DNF,DSQ,9,,2*,2,6,7,5,31
5,6,Mario Andretti,DNF,6,DNF,DNF,DNF,,DNF*,5,DNF,12,5,3,DNF,3,DNF,1,22
6,7,John Watson,DNF,5,NC,DNF,7,10,DNF,3,3,7,1,DNF,11,10,6,DNF,20
7,8,Jacques Laffite,DNF,DNF,4,12,3,12,4,14,DSQ,DNF,2,DNF,3,DNF,DNF,7,20
8,9,Jochen Mass,6,3,5,DNF*,6,5,11,15,DNF,3,7,9,DNF,5,4,DNF,19
9,10,Gunnar Nilsson,,DNF,DNF,3,DNF,DNF,DNF,DNF,DNF,5,3,DNF,13,12,DNF,6,11
10,11,Tom Pryce,3,7,DNF,8,10,7,9,8,4,8,DNF,4,8,11,DNF,DNF,10
11,12,Ronnie Peterson,DNF,DNF,10,DNF,DNF,DNF,7,19,DNF,DNF,6,DNF,1*,9,DNF,DNF,10
12,13,Hans Joachim Stuck,4,12,DNF,DNF,DNF,4,DNF,7,DNF,DNF,DNF,DNF,DNF,DNF,5,DNF,8
13,14,Alan Jones,,,NC,9,5,DNF,13,DNF,5,10,DNF,8,12,16,8,4,7
14,15,Carlos Pace,10,DNF,9,6,DNF,9,8,4,8,4,DNF,DNF,DNF,7,DNF,DNF,7
15,16,Emerson Fittipaldi,13,17,6,DNF,DNQ,6,DNF,DNF,6,13,DNF,DNF,15,DNF,9,DNF,3
16,17,Carlos Reutemann,12,DNF,DNF,4,DNF,DNF,DNF,11,DNF,DNF,DNF,DNF,9,,,,3
17,18,Chris Amon,,14,8,5,DNF,13,DNF,,DNF,DNF,,,,DNS,,,2
18,19,Rolf Stommelen,,,,,,,,,,6,,12,DNF,,,,1
19,20,Vittorio Brambilla,DNF,8,DNF,DNF,DNF,DNF,10,DNF,DNF,DNF,DNF,6,7,14,DNF,DNF,1
20,21,Bob Evans,,10,DNQ,,,,,,DNF,,,,,,,,0
21,22,Alessandro Pesenti-Rossi,,,,,,,,,,14,11,DNQ,18,,,,0
22,23,Alex Ribeiro,,,,,,,,,,,,,,,12,,0
23,24,Boy Hayje,,,,,,,,,,,,DNF,,,,,0
24,25,Conny Andersson,,,,,,,,,,,,DNF,,,,,0
25,26,Divina Galica,,,,,,,,,DNQ,,,,,,,,0
26,27,Renzo Zorzi,9,,,,,,,,,,,,,,,,0
27,28,Hans Binder,,,,,,,,,,,DNF,,,,,DNF,0
28,29,Kazuyoshi Hoshino,,,,,,,,,,,,,,,,DNF,0
29,30,Masahiro Hasemi,,,,,,,,,,,,,,,,11*,0
30,31,Mike Wilds,,,,,,,,,DNQ,,,,,,,,0
31,32,Noritake Takahara,,,,,,,,,,,,,,,,9,0
32,33,Otto Stuppacher,,,,,,,,,,,,,DNS,DNQ,DNQ,,0
33,34,Tony Trimmer,,,,,,,,,,,,,,,,DNQ,0
34,35,Brett Lunger,,11,DNQ,DNQ,DNF,,15,16,DNF,DNF,10,,14,15,11,,0
35,36,Guy Edwards,,,,,DNQ,,,17,DNF,15,,,DNS,20,,,0
36,37,Patrick Nève,,,,,DNF,,,18,,,,,,,,,0
37,38,Emilio de Villota,,,,DNQ,,,,,,,,,,,,,0
38,39,Henri Pescarolo,,,,,,DNQ,,DNF,DNF,DNQ,9,11,17,19,NC,,0
39,40,Ian Ashley,DNF,,,,,,,,,,,,,,,,0
40,41,Ian Scheckter,,DNF,,,,,,,,,,,,,,,0
41,42,Ingo Hoffmann,11,,DNQ,DNQ,,,,DNQ,,,,,,,,,0
42,43,Jac Nelleman,,,,,,,DNQ,,,,,,,,,,0
43,44,Jacky Ickx,8,16,DNQ,7,DNQ,DNQ,,10,DNQ,,,DNF,10,13,DNF,,0
44,45,Emilio Zapico,,,,DNQ,,,,,,,,,,,,,0
45,46,Harald Ertl,,15,DNQ,DNQ,DNF,DNQ,DNF,DNF,7,DNF,8,DNF,16,DNS,13,8,0
46,47,Jean-Pierre Jarier,DNF*,DNF,7,DNF,9,8,12,12,9,11,DNF,10,19,18,10,10,0
47,48,Damien Magee,,,,,,,,DNQ,,,,,,,,,0
48,49,Arturo Merzario,,,DNQ,DNF,DNF,DNQ,14,9,DNF,DNF,DNF,DNF,DNS,DNF,DNF,DNF,0
49,50,Larry Perkins,,,,13,8,DNQ,DNF,,,,,DNF,DNF,17,DNF,DNF,0
50,51,Lella Lombardi,14,,,,,,,,DNQ,DNQ,12,,,,,,0
51,52,Loris Kessel,,,,DNQ,12,,DNF,DNQ,,,NC,,,,,,0
52,53,Michel Leclère,,13,DNQ,10,11,11,DNF,13,,,,,,,,,0
53,54,Warwick Brown,,,,,,,,,,,,,,,14,,0
