,Pos,Driver,ARG,BRA,SOU,USW,SPA,MON,BEL,SWE,FRE,BRI,GER,OST,DUT,ITA,US,CAN,JAP,Pts
0,1,Niki Lauda,DNF,3,1,2*,DNF,2,2,DNF,5,2,1*,2,1*,2,4,,,72
1,2,Jody Scheckter,1,DNF,2,3,3,1*,DNF,DNF,DNF,DNF,2,DNF,3,DNF,3,1,10*,55
2,3,Mario Andretti,5,DNF,DNF,1,1,5,DNF,6*,1*,14,DNF,DNF,DNF,1*,2,9*,DNF,47
3,4,Carlos Reutemann,3,1,8,DNF,2,3,DNF,3,6,15,4,4,6,DNF,6,DNF,2,42
4,5,James Hunt,DNF*,2*,4,7,DNF,DNF,7,12,3,1*,DNF,DNF,DNF,DNF,1,DNF,1,40
5,6,Jochen Mass,DNF,DNF,5,DNF,4,4,DNF,2,9,4,DNF,6,DNF,4,DNF,3,DNF,25
6,7,Alan Jones,,,,DNF,DNF,6,5,17,DNF,7,DNF,1,DNF,3,DNF,4,4,22
7,8,Gunnar Nilsson,DNS,5,12,8,5,DNF,1*,19,4,3,DNF,DNF,DNF,DNF,DNF,DNF,DNF,20
8,9,Patrick Depailler,DNF,DNF,3,4,DNF,DNF,8,4,DNF,DNF,DNF,13,DNF,DNF,14,2,3,20
9,10,Jacques Laffite,NC,DNF,DNF,9,7*,7,DNF,1,8,6,DNF,DNF,2,8,7,DNF,5,18
10,11,Hans Joachim Stuck,,,DNF,DNF,6,DNF,6,10,DNF,5,3,3,7,DNF,DNF,DNF,7,12
11,12,Emerson Fittipaldi,4,4,10,5,14,DNF,DNF,18,11,DNF,DNQ,11,4,DNQ,13,DNF,,11
12,13,John Watson,DNF,DNF,6*,DSQ,DNF,DNF,DNF,5,2,DNF,DNF,8*,DNF,DNF,12,DNF,DNF,9
13,14,Ronnie Peterson,DNF,DNF,DNF,DNF,8,DNF,3,DNF,12,DNF,9,5,DNF,6,16*,DNF,DNF,7
14,15,Carlos Pace,2,DNF,13,,,,,,,,,,,,,,,6
