,Pos,Driver,ARG,BRA,SOU,USW,MON,BEL,SPA,SWE,FRE,BRI,GER,OST,DUT,ITA,US,CAN,Pts
0,1,Mario Andretti,1,4,7*,2,11,1,1*,DNF,1,DNF,1,DNF,1,6*,DNF,10,64
1,2,Ronnie Peterson,5,DNF,1,4,DNF,2*,2,3,2,DNF,DNF*,1*,2,DNF,,,51
2,3,Carlos Reutemann,7,1*,DNF,1,8,3,DNF,10,18*,1,DNF,DSQ,7,3,1,3,48
3,4,Niki Lauda,2,3,DNF,DNF,2*,DNF,DNF,1*,DNF,2*,DNF,DNF,3*,1,DNF,DNF,44
4,5,Patrick Depailler,3,DNF,2,3,1,DNF,DNF,DNF,DNF,4,DNF,2,DNF,11,DNF,5,34
5,6,John Watson,DNF,8,3,DNF,4,DNF,5,DNF,4,3,7,7,4,2,DNF,DNF,25
6,7,Jody Scheckter,10,DNF,DNF,DNF,3,DNF,4,DNF,6,DNF,2,DNF,12,12,3,2,24
7,8,Jacques Laffite,16,9,5,5,DNF,5,3,7,7,10,3,5,8,4,11,DNF,19
8,9,Emerson Fittipaldi,9,2,DNF,8,9,DNF,DNF,6,DNF,DNF,4,4,5,8,5,DNF,17
9,10,Gilles Villeneuve,8*,DNF,DNF,DNF,DNF,4,10,9,12,DNF,8,3,6,7,DNF,1,17
10,11,Riccardo Patrese,,10,DNF,6,6,DNF,DNF,2,8,DNF,9,DNF,DNF,DNF,,4,11
11,12,Alan Jones,DNF,11,4,7*,DNF,10,8,DNF,5,DNF,DNF,DNF,DNF,13,2,9*,11
12,13,Patrick Tambay,6,DNF,DNF,12,7,,DNF,4,9,6,DNF,DNF,9,5,6,8,8
13,14,James Hunt,4,DNF,DNF,DNF,DNF,DNF,6,8,3,DNF,DSQ,DNF,10,DNF,7,DNF,8
14,15,Didier Pironi,14,6,6,DNF,5,6,12,DNF,10,DNF,5,DNF,DNF,DNF,10,7,7
15,16,Clay Regazzoni,15,5,DNQ,10,DNQ,DNF,15,5,DNF,DNF,DNQ,NC,DNQ,NC,14,DNQ,4
16,17,Jean-Pierre Jabouille,,,DNF,DNF,10,NC,13,DNF,DNF,DNF,DNF,DNF,DNF,DNF,4,12,3
17,18,Hans Joachim Stuck,17,DNF,DNQ,DNS,DNF,DNF,DNF,11,11,5,DNF,DNF,DNF,DNF,DNF,DNF,2
18,19,Derek Daly,,,,DNPQ,DNPQ,DNQ,,,DNQ,DNF,,DSQ,DNF,10,8,6,1
19,20,Hector Rebaque,DNQ,DNF,10,DNPQ,DNPQ,DNPQ,DNF,12,DNQ,DNF,6,DNF,11,DNQ,DNF,DNQ,1
20,21,Vittorio Brambilla,18,DNQ,12,DNF,DNQ,13,7,DNF,17,9,DNF,6,DSQ,DNF,,,1
21,22,Eddie Cheever,DNQ,DNQ,DNF,,,,,,,,,,,,,,0
22,23,Beppe Gabbiani,,,,,,,,,,,,,,,DNQ,DNQ,0
23,24,Bobby Rahal,,,,,,,,,,,,,,,12,DNF,0
24,25,Hans Binder,,,,,,,,,,,,DNQ,,,,,0
25,26,Carlo Gimax Franchi,,,,,,,,,,,,,,DNQ,,,0
26,27,Geoff Lees,,,,,,,,,,DNQ,,,,,,,0
27,28,Arturo Merzario,DNF,DNQ,DNF,DNF,DNPQ,DNPQ,DNQ,NC,DNQ,DNF,DNQ,DNQ,DNF,DNF,DNF,DNQ,0
28,29,Harald Ertl,,,,,,,,,,,11,DNF,DNPQ,DNQ,,,0
29,30,Michael Bleekemolen,,,,,,,,,,,,,DNQ,DNQ,DNF,DNPQ,0
30,31,Nelson Piquet,,,,,,,,,,,DNF,DNF,DNF,9,,11,0
31,32,Rupert Keegan,DNF,DNF,DNF,DNS,DNF,DNQ,11,DNQ,DNF,DNQ,DNQ,DNQ,DNS,,,,0
32,33,Bruno Giacomelli,,,,,,8,,,DNF,7,,,DNF,14,,,0
33,34,Rolf Stommelen,,,9,9,DNF,DNF,14,14,15,DNQ,DSQ,DNPQ,DNPQ,DNPQ,16,DNPQ,0
34,35,Brett Lunger,13,DNF,11,DNQ,DNPQ,7,DNQ,DNQ,DNF,8,DNPQ,8,DNF,DNF,13,,0
35,36,René Arnoux,,,DNQ,,DNPQ,9,,,14,,DNPQ,9,DNF,,9,DNF,0
36,37,Emilio de Villota,,,,,,,DNQ,,,,,,,,,,0
37,38,Danny Ongais,DNF,DNF,,DNPQ,,,,,,,,,DNPQ,,,,0
38,39,Lamberto Leoni,DNF,DNF,DNQ,DNQ,,,,,,,,,,,,,0
39,40,Keke Rosberg,,,DNF,DNPQ,DNPQ,DNQ,DNPQ,15,16,DNF,10,NC,DNF,DNPQ,DNF,NC,0
40,41,Alberto Colombo,,,,,,DNQ,DNQ,,,,,,,DNPQ,,,0
41,42,Jochen Mass,11,7,DNF,DNF,DNQ,11,9,13,13,NC,DNF,DNQ,DNQ,,,,0
42,43,Jean-Pierre Jarier,12,DNS,8,11,DNQ,,,,,,DNQ,,,,15*,DNF,0
43,44,Jacky Ickx,,,,,DNF,12,DNF,DNQ,,,,,,,,,0
44,45,Divina Galica,DNQ,DNQ,,,,,,,,,,,,,,,0
45,46,Tony Trimmer,,,,,,,,,,DNQ,,,,,,,0
