,Pos,Driver,ARG,BRA,SOU,USW,SPA,BEL,MON,FRE,BRI,GER,OST,DUT,ITA,CAN,US,Pts
0,1,Jody Scheckter,DNF,6,2,2,4,1,1,7,5,4,4,2,1,4,DNF,51 (60)
1,2,Gilles Villeneuve,DNF,5,1*,1*,7*,7*,DNF,2,14,8*,2,DNF*,2,2,1,47 (53)
2,3,Alan Jones,9,DNF,DNF,3,DNF,DNF,DNF,4,DNF,1,1,1,9,1*,DNF,40 (43)
3,4,Jacques Laffite,1*,1*,DNF,DNF,DNF,2,DNF,8,DNF,3,3,3,DNF,DNF,DNF,36
4,5,Clay Regazzoni,10,15,9,DNF,DNF,DNF,2,6,1*,2,5,DNF,3*,3,DNF,29 (32)
5,6,Carlos Reutemann,2,3,5,DNF,2,4,3,13,8,DNF,DNF,DNF,7,DNF,DNF,20 (25)
6,7,Patrick Depailler,4,2,DNF,5,1,DNF,5*,,,,,,,,,20 (22)
7,8,René Arnoux,DNF,DNF,DNF,DNS,9,DNF,DNF,3*,2,DNF,6*,DNF,DNF,DNF,2,17
8,9,John Watson,3,8,DNF,DNF,DNF,6,4,11,4,5,9,DNF,DNF,6,6,15
9,10,Didier Pironi,DNF,4,DNF,DSQ,6,3,DNF,DNF,10,9,7,DNF,10,5,3,14
10,11,Mario Andretti,5,DNF,4,4,3,DNF,DNF,DNF,DNF,DNF,DNF,DNF,5,10,DNF,14
11,12,Jean-Pierre Jarier,DNF,DNF,3,6,5,11,DNF,5,3,,,DNF,6,DNF,DNF,14
12,13,Jean-Pierre Jabouille,DNF,10,DNF,DNS,DNF,DNF,8,1,DNF,DNF,DNF,DNF,14,DNF,DNF,9
13,14,Niki Lauda,DNF,DNF,6,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,WD,4,WD,,4
14,15,Jacky Ickx,,,,,,,,DNF,6,DNF,DNF,5,DNF,DNF,DNF,3
15,16,Nelson Piquet,DNF,DNF,7,8,DNF,DNF,7,DNF,DNF,12,DNF,4,DNF,DNF,8*,3
16,17,Jochen Mass,8,7,12,9,8,DNF,6,15,DNF,6,DNF,6,DNF,DNQ,DNQ,3
17,18,Elio de Angelis,7,12,DNF,7,DNF,DNF,DNQ,16,12,11,DNF,DNF,DNF,DNF,4,3
18,19,Hans Joachim Stuck,DNS,DNF,DNF,DSQ,14,8,DNF,DNS,DNQ,DNF,DNF,DNF,11,DNF,5,2
19,20,Riccardo Patrese,DNS,9,11,DNF,10,5,DNF,14,DNF,DNF,DNF,DNF,13,DNF,DNF,2
20,21,Emerson Fittipaldi,6,11,13,DNF,11,9,DNF,DNF,DNF,DNF,DNF,DNF,8,8,7,1
21,22,Jan Lammers,DNF,14,DNF,DNF,12,10,DNQ,18,11,10,DNF,DNF,DNQ,9,DNQ,0
22,23,Geoff Lees,,,,,,,,,,7,,,,,,0
23,24,Ricardo Zunino,,,,,,,,,,,,,,7,DNF,0
24,25,Patrick Gaillard,,,,,,,,DNQ,13,DNQ,DNF,DNQ,,,,0
25,26,Marc Surer,,,,,,,,,,,,,DNQ,DNQ,DNF,0
26,27,Keke Rosberg,,,,,,,,9,DNF,DNF,DNF,DNF,DNF,DNQ,DNF,0
27,28,Bruno Giacomelli,,,,,,DNF,,17,,,,,DNF,,DNF,0
28,29,Derek Daly,11,13,DNQ,DNF,DNQ,DNQ,DNQ,,,,8,,,DNF,DNF,0
29,30,Alex Ribeiro,,,,,,,,,,,,,,DNQ,DNQ,0
30,31,Arturo Merzario,DNF,DNQ,DNQ,DNF,DNQ,DNQ,,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,0
31,32,Patrick Tambay,DNF,DNF,10,DNF,13,DNQ,DNQ,10,7,DNF,10,DNF,DNF,DNF,DNF,0
32,33,Gianfranco Brancatelli,,,,,DNQ,DNQ,DNPQ,,,,,,,,,0
33,34,Hector Rebaque,DNF,DNQ,DNF,DNF,DNF,DNF,,12,9,DNF,DNQ,7,DNQ,DNF,DNQ,0
34,35,James Hunt,DNF,DNF,8,DNF,DNF,DNF,DNF,,,,,,,,,0
35,36,Vittorio Brambilla,,,,,,,,,,,,,12,DNF,DNQ,0
