,Pos,Driver,ARG,BRA,SOU,USW,BEL,MON,FRE,BRI,GER,OST,DUT,ITA,CAN,US,Pts
0,1,Alan Jones,1*,3,DNF,DNF,2,DNF,1*,1,3*,2,11,2*,1,1*,67 (71)
1,2,Nelson Piquet,2,DNF,4,1*,DNF,3,4,2,4,5,1,1,DNF,DNF,54
2,3,Carlos Reutemann,DNF,DNF,5,DNF,3,1*,6,3,2,3,4,3,2,2,42 (49)
3,4,Jacques Laffite,DNF,DNF,2,DNF,11*,2,3,DNF,1,4,3,9,8,5,34
4,5,Didier Pironi,DNF,4,3,6,1,DNF,2,DNF*,DNF,DNF,DNF,6,3*,3,32
5,6,René Arnoux,DNF,1*,1*,9,4,DNF,5,NC,DNF,9*,2*,10,DNF,7,29
6,7,Elio de Angelis,DNF,2,DNF,DNF,10,9,DNF,DNF,16,6,DNF,4,10,4,13
7,8,Jean-Pierre Jabouille,DNF,DNF,DNF,10,DNF,DNF,DNF,DNF,DNF,1,DNF,DNF,DNF,,9
8,9,Riccardo Patrese,DNF,6,DNF,2,DNF,8,9,9,9,14,DNF,DNF,DNF,DNF,7
9,10,Keke Rosberg,3,9,DNF,DNF,7,DNQ,DNF,DNQ,DNF,16,DNQ,5,9,10,6
10,11,Derek Daly,4,14,DNF,8,9,DNF,11,4,10,DNF,DNF,DNF,DNF,DNF,6
11,12,John Watson,DNF,11,11,4,NC,DNQ,7,8,DNF,DNF,DNF,DNF,4,NC,6
12,13,Jean-Pierre Jarier,DNF,12,7,DNF,5,DNF,14,5,15,DNF,5,13,7,NC,6
13,14,Gilles Villeneuve,DNF,16,DNF,DNF,6,5,8,DNF,6,8,7,DNF,5,DNF,6
14,15,Alain Prost,6,5,DNS,,DNF,DNF,DNF,6,11,7,6,7,DNF,DNS,5
15,16,Emerson Fittipaldi,NC,15,8,3,DNF,6,13,12,DNF,11,DNF,DNF,DNF,DNF,5
16,17,Jochen Mass,DNF,10,6,7,DNF,4,10,13,8,DNQ,DNS,,11,DNF,4
17,18,Bruno Giacomelli,5,13,DNF,DNF,DNF,DNF,DNF,DNF,5,DNF,DNF,DNF,DNF,DNF,4
18,19,Jody Scheckter,DNF,DNF,DNF,5,8,DNF,12,10,13,13,9,8,DNQ,11,2
19,20,Mario Andretti,DNF,DNF,12,DNF,DNF,7,DNF,DNF,7,DNF,8,DNF,DNF,6,1
20,21,Hector Rebaque,,,,,,,,7,DNF,10,DNF,DNF,6,DNF,1
21,22,Jan Lammers,DNQ,DNQ,DNQ,DNF,12,NC,DNQ,DNQ,14,DNQ,DNQ,DNQ,12,DNF,0
22,23,Andrea de Cesaris,,,,,,,,,,,,,DNF,DNF,0
23,24,Rupert Keegan,,,,,,,,11,DNQ,15,DNQ,11,DNQ,9,0
24,25,Nigel Mansell,,,,,,,,,,DNF,DNF,DNQ,,,0
25,26,Mike Thackwell,,,,,,,,,,,DNQ,,DNF,DNQ,0
26,27,Manfred Winkelhock,,,,,,,,,,,,DNQ,,,0
27,28,Kevin Cogan,,,,,,,,,,,,,DNQ,,0
28,29,Harald Ertl,,,,,,,,,DNQ,,,,,,0
29,30,Desiré Wilson,,,,,,,,DNQ,,,,,,,0
30,31,Stefan Johansson,DNQ,DNQ,,,,,,,,,,,,,0
31,32,Tiff Needell,,,,,DNF,DNQ,,,,,,,,,0
32,33,Stephen South,,,,DNQ,,,,,,,,,,,0
33,34,Geoff Lees,,,13,DNQ,DNQ,DNQ,DNQ,,,,DNF,DNQ,,DNQ,0
34,35,Ricardo Zunino,7,8,10,DNF,DNF,DNQ,DNF,,,,,,,,0
35,36,Clay Regazzoni,NC,DNF,9,DNF,,,,,,,,,,,0
36,37,Patrick Depailler,DNF,DNF,NC,DNF,DNF,DNF,DNF,DNF,,,,,,,0
37,38,Dave Kennedy,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,,,,,,,,0
38,39,Marc Surer,DNF,7,DNS,,,,DNF,DNF,12,12,10,DNF,DNQ,8,0
39,40,Eddie Cheever,DNQ,DNQ,DNF,DNF,DNQ,DNQ,DNF,DNF,DNF,DNF,DNF,12,DNF,DNF,0
40,41,Vittorio Brambilla,,,,,,,,,,,DNF,DNF,,,0
