,Pos,Driver,SOU,BRA,USW,SAN,BEL,MON,DET,CAN,DUT,BRI,FRE,GER,OST,SWI,ITA,CAE,Pts
0,1,Keke Rosberg,5,DSQ,2,,2,DNF,4,DNF,3,DNF,5,3,2,1,8,5,44
1,2,Didier Pironi,18,6,DNF,1*,DNS,2,3,9*,1,2,3,DNS,,,,,39
2,3,John Watson,6,2,6,,1*,DNF,1,3,9,DNF,DNF,DNF,9,13,4,2,39
3,4,Alain Prost,1*,1*,DNF,DNF,DNF,7,NC*,DNF,DNF,6,2,DNF,8,2*,DNF,4,34
4,5,Niki Lauda,4,DNF,1*,,DSQ,DNF,DNF,DNF,4,1,8,,5,3,DNF,DNF,30
5,6,René Arnoux,3,DNF,DNF,DNF,DNF,DNF,10,DNF,DNF,DNF,1,2,DNF,16,1*,DNF,28
6,7,Patrick Tambay,,,,,,,,,8,3,4,1,4,DNF,2,DNS,25
7,8,Michele Alboreto,7,4,4,3,DNF,10,DNF,DNF,7,DNF,6,4,DNF,7,5,1*,25
8,9,Elio de Angelis,8,DNF,5,,4,5,DNF,4,DNF,4,DNF,DNF,1,6,DNF,DNF,23
9,10,Riccardo Patrese,DNF,DNF,3,,DNF,1*,DNF,2,15,DNF,DNF*,DNF,DNF,5,DNF,DNF,21
10,11,Nelson Piquet,DNF,DSQ,DNF,,5,DNF,DNQ,1,2,DNF,DNF,DNF*,DNF*,4,DNF,DNF,20
11,12,Eddie Cheever,DNF,DNF,DNF,,3,DNF,2,10,DNQ,DNF,16,DNF,DNF,DNF,6,3,15
12,13,Derek Daly,14,DNF,DNF,,DNF,6,5,7,5,5,7,DNF,DNF,9,DNF,6,8
13,14,Nigel Mansell,DNF,3,7,,DNF,4,DNF,DNF,,DNF,,9,DNF,8,7,DNF,7
14,15,Carlos Reutemann,2,DNF,,,,,,,,,,,,,,,6
15,16,Gilles Villeneuve,DNF,DNF,DSQ,2,DNS,,,,,,,,,,,,6
16,17,Andrea de Cesaris,13,DNF,DNF,DNF,DNF,3,DNF,6,DNF,DNF,DNF,DNF,DNF,10,10,9,5
17,18,Jacques Laffite,DNF,DNF,DNF,,9,DNF,6,DNF,DNF,DNF,14,DNF,3,DNF,DNF,DNF,5
18,19,Mario Andretti,,,DNF,,,,,,,,,,,,3,DNF,4
19,20,Marc Surer,,,,,7,9,8,5,10,DNF,13,6,DNF,15,DNF,7,3
20,21,Jean-Pierre Jarier,DNF,9,DNF,4,DNF,DNQ,DNF,DNF,14,DNF,DNF,DNF,DNQ,DNF,DNF,DNS,3
21,22,Mauro Baldi,DNQ,10,DNQ,,DNF,DNQ,DNF,8,6,9,DNF,DNF,6,DNQ,12,11,2
22,23,Eliseo Salazar,9,DNF,DNF,5,DNF,DNF,DNF,DNF,13,DNQ,DNF,DNF,DNQ,14,9,DNQ,2
23,24,Manfred Winkelhock,10,5,DNF,DSQ,DNF,DNF,DNF,DNQ,12,DNQ,11,DNF,DNF,DNF,DNQ,NC,2
24,25,Bruno Giacomelli,11,DNF,DNF,DNF,DNF,DNF,DNF,DNF,11,7,9,5,DNF,12,DNF,10,2
25,26,Chico Serra,17,DNF,DNQ,,6,DNPQ,11,DNQ,DNF,DNF,,11,7,DNQ,11,DNQ,1
26,27,Brian Henton,DNQ,DNQ,DNF,DNF,DNF,8,9,NC,DNF,8*,10,7,DNF,11,DNF,8,0
27,28,Roberto Guerrero,DNQ,DNQ,DNF,,DNQ,DNQ,DNF,DNF,DNQ,DNF,DNQ,8,DNF,DNF,NC,DNS,0
28,29,Teo Fabi,DNQ,DNQ,DNQ,NC,DNF,DNPQ,,,DNQ,DNF,DNF,DNQ,DNF,DNF,DNF,DNQ,0
29,30,Slim Borgudd,16,7,10,,,,,,,,,,,,,,0
30,31,Rupert Keegan,,,,,,,,,,,,DNQ,DNF,DNF,DNQ,12,0
31,32,Roberto Moreno,,,,,,,,,DNQ,,,,,,,,0
32,33,Raul Boesel,15,DNF,9,,8,DNPQ,DNF,DNF,DNF,DNQ,DNQ,DNF,DNQ,DNF,DNQ,13,0
33,34,Derek Warwick,DNF,DNQ,DNQ,DNF,DNF,DNQ,,,DNF*,DNF,15,10,DNF,DNF,DNF,DNF,0
34,35,Riccardo Paletti,DNQ,DNQ,DNQ,DNF,DNPQ,DNPQ,DNF,DNF,,,,,,,,,0
35,36,Emilio de Villota,,,,,DNPQ,DNPQ,DNQ,DNQ,DNPQ,,,,,,,,0
36,37,Geoff Lees,,,,,,,,DNF,,,12,,,,,,0
37,38,Jan Lammers,,,,,DNQ,DNQ,DNQ,,DNF,DNQ,DNQ,,,,,,0
38,39,Jochen Mass,12,8,8,,DNF,DNQ,7,11,DNF,10,DNF,,,,,,0
39,40,Tommy Byrne,,,,,,,,,,,,DNQ,DNF,DNQ,DNQ,DNF,0
