,Pos,Driver,SOU,MEX,BRA,SPA,SAN,MON,CAN,FRE,BRI,GER,HUN,BEL,ITA,POR,JAP,AUS,Pts
0,1,Nigel Mansell,1*,1,1,1*,1,2*,DNF,1*,1*,1,2*,2,DNF*,1,DNF*,DNF,108
1,2,Riccardo Patrese,2,2,2*,DNF,2*,3,DNF,2,2,8*,DNF,3,5,DNF,1,DNF,56
2,3,Michael Schumacher,4,3,3,2,DNF,4,2,DNF,4,3,DNF,1*,3,7,DNF,2*,53
3,4,Ayrton Senna,3,DNF,DNF,9,3,1,DNF,DNF,DNF,2,1,5,1,3*,DNF,DNF,50
4,5,Gerhard Berger,5,4*,DNF,4,DNF,DNF,1*,DNF,5,DNF,3,DNF,4,2,2,1,49
5,6,Martin Brundle,DNF,DNF,DNF,DNF,4,5,DNF,3,3,4,5,4,2,4,3,3,38
6,7,Jean Alesi,DNF,DNF,4,3,DNF,DNF,3,DNF,DNF,5,DNF,DNF,DNF,DNF,5,4,18
7,8,Mika Häkkinen,9,6,10,DNF,DNQ,DNF,DNF,4,6,DNF,4,6,DNF,5,DNF,7,11
8,9,Andrea de Cesaris,DNF,5,DNF,DNF,14,DNF,5,DNF,DNF,DNF,8,8,6,9,4,DNF,8
9,10,Michele Alboreto,10,13,6,5,5,7,7,7,7,9,7,DNF,7,6,15,DNF,6
10,11,Érik Comas,7,9,DNF,DNF,9,10,6,5,8,6,DNF,DNQ,DNF,DNF,DNF,DNF,4
11,12,Ivan Capelli,DNF,DNF,5,10,DNF,DNF,DNF,DNF,9,DNF,6,DNF,DNF,DNF,,,3
12,13,Karl Wendlinger,DNF,DNF,DNF,8,12,DNF,4,DNF,DNF,16,DNF,11,10,DNF,,,3
13,14,Thierry Boutsen,DNF,10,DNF,DNF,DNF,12,10,DNF,10,7,DNF,DNF,DNF,8,DNF,5,2
14,15,Pierluigi Martini,DNF,DNF,DNF,6,6,DNF,8,10,15,11,DNF,DNF,8,DNF,10,DNF,2
15,16,Johnny Herbert,6,7,DNF,DNF,DNF,DNF,DNF,6,DNF,DNF,DNF,13,DNF,DNF,DNF,13,2
16,17,Christian Fittipaldi,DNF,DNF,DNF,11,DNF,8,13,DNQ,,,,DNQ,DNQ,12,6,9,1
17,18,Stefano Modena,DNQ,DNF,DNF,DNQ,DNF,DNF,DNF,DNF,DNF,DNQ,DNF,15,DNQ,13,7,6,1
18,19,Bertrand Gachot,DNF,11,DNF,DNF,DNF,6,DSQ,DNF,DNF,14,DNF,18,DNF,DNF,DNF,DNF,1
19,20,Giovanna Amati,DNQ,DNQ,DNQ,,,,,,,,,,,,,,0
20,21,Ukyo Katayama,12,12,9,DNQ,DNF,DNPQ,DNF,DNF,DNF,DNF,DNF,17,9,DNF,11,DNF,0
21,22,Alex Caffi,EXC,,,,,,,,,,,,,,,,0
22,23,Roberto Moreno,,,DNPQ,DNPQ,DNPQ,DNF,DNPQ,,DNPQ,DNPQ,DNQ,DNQ,,,,,0
23,24,Andrea Chiesa,DNQ,DNF,DNQ,DNF,DNQ,DNQ,DNQ,DNF,DNQ,DNQ,,,,,,,0
24,25,Perry McCarthy,,,,DNPQ,DNPQ,DNPQ,,,DNPQ,EXC,DNPQ,DNQ,,,,,0
25,26,Paul Belmondo,DNQ,DNQ,DNQ,12,13,DNQ,14,DNQ,DNQ,13,9,,,,,,0
26,27,Olivier Grouillard,DNF,DNF,DNF,DNF,8,DNF,12,11,11,DNF,DNF,DNF,DNF,DNF,DNF,DNF,0
27,28,Nicola Larini,,,,,,,,,,,,,,,12,11,0
28,29,Jan Lammers,,,,,,,,,,,,,,,DNF,12,0
29,30,Damon Hill,,,,DNQ,DNQ,DNQ,DNQ,DNQ,16,DNQ,11,,,,,,0
30,31,Emanuele Naspetti,,,,,,,,,,,,12,DNF,11,13,DNF,0
31,32,Enrico Bertaggia,EXC,,,,,,,,,,,,,,,,0
32,33,Maurício Gugelmin,11,DNF,DNF,DNF,7,DNF,DNF,DNF,DNF,15,10,14,DNF,DNF,DNF,DNF,0
33,34,Eric van de Poele,13,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,WD,DNQ,DNF,10,DNF,,,,0
34,35,Gabriele Tarquini,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,14,DNF,DNF,DNF,DNF,,,,0
35,36,Jyrki Järvilehto,DNF,8,8,DNF,11,9,9,9,13,10,DNQ,7,11,DNF,9,DNF,0
36,37,Alessandro Zanardi,,,,,,,,,DNQ,DNF,DNQ,,,,,,0
37,38,Gianni Morbidelli,DNF,DNF,7,DNF,DNF,DNF,11,8,17,12,DNQ,16,DNF,14,14,10,0
38,39,Aguri Suzuki,8,DNQ,DNF,7,10,11,DNQ,DNF,12,DNF,DNF,9,DNF,10,8,8,0
