,Pos,Driver,SOU,BRA,EUR,SAN,SPA,MON,CAN,FRE,BRI,GER,HUN,BEL,ITA,POR,JAP,AUS,Pts
0,1,Alain Prost,1*,DNF,3,1*,1,4*,1,1,1,1,12*,3*,12,2,2*,2,99
1,2,Ayrton Senna,2,1,1*,DNF,2,1,18,4,5,4,DNF,4,DNF,DNF,1,1,73
2,3,Damon Hill,DNF,2,2,DNF,DNF,2,3,2,DNF*,15,1,1,1*,3*,4,3*,69
3,4,Michael Schumacher,DNF,3*,DNF,2,3*,DNF,2*,3*,2,2*,DNF,2,DNF,1,DNF,DNF,52
4,5,Riccardo Patrese,DNF,DNF,5,DNF,4,DNF,DNF,10,3,5,2,6,5,16,DNF,8,20
5,6,Jean Alesi,DNF,8,DNF,DNF,DNF,3,DNF,DNF,9,7,DNF,DNF,2,4,DNF,4,16
6,7,Martin Brundle,DNF,DNF,DNF,3,DNF,6,5,5,14,8,5,7,DNF,6,9,6,13
7,8,Gerhard Berger,6,DNF,DNF,DNF,6,14,4,14,DNF,6,3,10,DNF,DNF,DNF,5,12
8,9,Johnny Herbert,DNF,4,4,8,DNF,DNF,10,DNF,4,10,DNF,5,DNF,DNF,11,DNF,11
9,10,Mark Blundell,3,5,DNF,DNF,7,DNF,DNF,DNF,7,3,7,11,DNF,DNF,7,9,10
10,11,Michael Andretti,DNF,DNF,DNF,DNF,5,8,14,6,DNF,DNF,DNF,8,3,,,,7
11,12,Karl Wendlinger,DNF,DNF,DNF,DNF,DNF,13,6,DNF,DNF,9,6,DNF,4,5,DNF,15,7
12,13,Christian Fittipaldi,4,DNF,7,DNF,8,5,9,8,12,11,DNF,DNF,8,9,,,5
13,14,Jyrki Järvilehto,5,DNF,DNF,4,DNF,DNF,7,DNF,8,DNF,DNF,9,DNF,7,8,DNF,5
14,15,Derek Warwick,7,9,DNF,DNF,13,DNF,16,13,6,17,4,DNF,DNF,15,14,10,4
15,16,Mika Häkkinen,,,,,,,,,,,,,,DNF,3,DNF,4
16,17,Fabrizio Barbazza,DNF,DNF,6,6,DNF,11,DNF,DNF,,,,,,,,,2
17,18,Philippe Alliot,DNF,7,DNF,5,DNF,12,DNF,9,11,12,8,12,9,10,,,2
18,19,Rubens Barrichello,DNF,DNF,10,DNF,12,9,DNF,7,10,DNF,DNF,DNF,DNF,13,5,11,2
19,20,Érik Comas,DNF,10,9,DNF,9,DNF,8,16,DNF,DNF,DNF,DNF,6,11,DNF,12,1
20,21,Alessandro Zanardi,DNF,6,8,DNF,14,7,11,DNF,DNF,DNF,DNF,DNS,,,,,1
21,22,Eddie Irvine,,,,,,,,,,,,,,,6,DNF,1
22,23,Marco Apicella,,,,,,,,,,,,,DNF,,,,0
23,24,Luca Badoer,DNF,12,DNQ,7,DNF,DNQ,15,DNF,DNF,DNF,DNF,13,10,14,,,0
24,25,Jean-Marc Gounon,,,,,,,,,,,,,,,DNF,DNF,0
25,26,Ivan Capelli,DNF,DNQ,,,,,,,,,,,,,,,0
26,27,Michele Alboreto,DNF,11,11,DNQ,DNQ,DNF,DNQ,DNQ,DNQ,16,DNF,14,DNF,DNF,,,0
27,28,Emanuele Naspetti,,,,,,,,,,,,,,DNF,,,0
28,29,Pedro Lamy,,,,,,,,,,,,,11,DNF,13,DNF,0
29,30,Pierluigi Martini,,,,,,,,,DNF,14,DNF,DNF,7,8,10,DNF,0
30,31,Andrea de Cesaris,DNF,DNF,DNF,DNF,DNF,10,DNF,15,NC,DNF,11,DNF,13,12,DNF,13,0
31,32,Thierry Boutsen,,,DNF,DNF,11,DNF,12,11,DNF,13,9,DNF,,,,,0
32,33,Toshio Suzuki,,,,,,,,,,,,,,,12,14,0
33,34,Ukyo Katayama,DNF,DNF,DNF,DNF,DNF,DNF,17,DNF,13,DNF,10,15,14,DNF,DNF,DNF,0
34,35,Aguri Suzuki,DNF,DNF,DNF,9,10,DNF,13,12,DNF,DNF,DNF,DNF,DNF,DNF,DNF,7,0
