,Pos,Driver,BRA,PAC,SAN,MON,SPA,CAN,FRE,BRI,GER,HUN,BEL,ITA,POR,EUR,JAP,AUS,Pts
0,1,Michael Schumacher,1*,1*,1,1*,2*,1*,1,DSQ,DNF,1*,DSQ,,,1*,2,DNF*,92
1,2,Damon Hill,2,DNF,6*,DNF,1,2,2*,1*,8,2,1*,1*,1,2,1*,DNF,91
2,3,Gerhard Berger,DNF,2,DNF,3,DNF,4,3,DNF,1,12,DNF,2,DNF,5,DNF,2,41
3,4,Mika Häkkinen,DNF,DNF,3,DNF,DNF,DNF,DNF,3,DNF,,2,3,3,3,7,12,26
4,5,Jean Alesi,3,,,5,4,3,DNF,2,DNF,DNF,DNF,DNF,DNF,10,3,6,24
5,6,Rubens Barrichello,4,3,DNQ,DNF,DNF,7,DNF,4,DNF,DNF,DNF,4,4,12,DNF,4,19
6,7,Martin Brundle,DNF,DNF,8,2,11,DNF,DNF,DNF,DNF,4,DNF,5,6,DNF,DNF,3,16
7,8,David Coulthard,,,,,DNF,5,,5,DNF*,DNF,4,6,2*,,,,14
8,9,Nigel Mansell,,,,,,,DNF,,,,,,,DNF,4,1,13
9,10,Jos Verstappen,DNF,DNF,,,,,DNF,8,DNF,3,3,DNF,5,DNF,,,10
10,11,Olivier Panis,11,9,11,9,7,12,DNF,12,2,6,7,10,DSQ,9,11,5,9
11,12,Mark Blundell,DNF,DNF,9,DNF,3,10,10,DNF,DNF,5,5,DNF,DNF,13,DNF,DNF,8
12,13,Heinz-Harald Frentzen,DNF,5,7,WD,DNF,DNF,4,7,DNF,DNF,DNF,DNF,DNF,6,6,7,7
13,14,Nicola Larini,,DNF,2,,,,,,,,,,,,,,6
14,15,Eddie Irvine,DNF,,,,6,DNF,DNF,DNF,DNF,DNF,13,DNF,7,4,5,DNF,6
15,16,Christian Fittipaldi,DNF,4,13,DNF,DNF,DSQ,8,9,4,14,DNF,DNF,8,17,8,8,6
16,17,Ukyo Katayama,5,DNF,5,DNF,DNF,DNF,DNF,6,DNF,DNF,DNF,DNF,DNF,7,DNF,DNF,5
17,18,Pierluigi Martini,8,DNF,DNF,DNF,5,9,5,10,DNF,DNF,8,DNF,12,15,DNF,9,4
18,19,Andrea de Cesaris,,,DNF,4,,DNF,6,DNF,DNF,DNF,DNF,DNF,DNF,DNF,,,4
19,20,Éric Bernard,DNF,10,12,DNF,8,13,DNF,13,3,10,10,7,10,18,,,4
20,21,Karl Wendlinger,6,DNF,4,DNS,,,,,,,,,,,,,4
21,22,Gianni Morbidelli,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,5,DNF,6,DNF,9,11,DNF,DNF,3
22,23,Érik Comas,9,6,DNF,10,DNF,DNF,11,DNF,6,8,DNF,8,DNF,DNF,9,,2
23,24,Michele Alboreto,DNF,DNF,DNF,6,DNF,11,DNF,DNF,DNF,7,9,DNF,13,14,DNF,DNF,1
24,25,Jyrki Järvilehto,,,DNF,7,DNF,6,,,,,,9,DNF,,DNF,10,1
25,26,Alessandro Zanardi,,,,,9,15,DNF,DNF,DNF,13,,DNF,,16,13,DNF,0
26,27,Philippe Adams,,,,,,,,,,,DNF,,16,,,,0
27,28,Andrea Montermini,,,,,DNS,,,,,,,,,,,,0
28,29,Yannick Dalmas,,,,,,,,,,,,DNF,14,,,,0
29,30,Ayrton Senna,DNF,DNF,DNF,,,,,,,,,,,,,,0
30,31,Taki Inoue,,,,,,,,,,,,,,,DNF,,0
31,32,Bertrand Gachot,DNF,DNQ,DNF,DNF,DNF,DNF,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,0
32,33,Roland Ratzenberger,DNQ,11,DNS,,,,,,,,,,,,,,0
33,34,David Brabham,12,DNF,DNF,DNF,10,14,DNF,15,DNF,11,DNF,DNF,DNF,DNF,12,DNF,0
34,35,Philippe Alliot,,,,,,,,,,DNF,DNF,,,,,,0
35,36,Paul Belmondo,DNQ,DNQ,DNQ,DNF,DNF,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,0
36,37,Pedro Lamy,10,8,DNF,11,,,,,,,,,,,,,0
37,38,Domenico Schiattarella,,,,,,,,,,,,,,19,,DNF,0
38,39,Olivier Beretta,DNF,DNF,DNF,8,DNF,DNF,DNF,14,7,9,,,,,,,0
39,40,Franck Lagorce,,,,,,,,,,,,,,,DNF,11,0
40,41,Hideki Noda,,,,,,,,,,,,,,DNF,DNF,DNF,0
41,42,Mika Salo,,,,,,,,,,,,,,,10,DNF,0
42,43,Jean-Denis Délétraz,,,,,,,,,,,,,,,,DNF,0
43,44,Jean-Marc Gounon,,,,,,,9,16,DNF,DNF,11,DNF,15,,,,0
44,45,Johnny Herbert,7,7,10,DNF,DNF,8,7,11,DNF,DNF,12,DNF,11,8,DNF,DNF,0
45,46,Aguri Suzuki,,DNF,,,,,,,,,,,,,,,0
