,Pos,Driver,BRA,ARG,SAN,SPA,MON,CAN,FRE,BRI,GER,HUN,BEL,ITA,POR,EUR,PAC,JAP,AUS,Pts
0,1,Michael Schumacher,1*,3*,DNF,1,1,5*,1*,DNF,1*,11,1,DNF,2,1*,1*,1*,DNF,102
1,2,Damon Hill,DNF,1,1,4*,2,DNF,2,DNF*,DNF,1*,2,DNF,3,DNF,3,DNF,1*,69
2,3,David Coulthard,2,DNF,4,DNF,DNF,DNF,3,3,2,2,DNF*,DNF,1*,3,2,DNF,DNF,49
3,4,Johnny Herbert,DNF,4,7,2,4,DNF,DNF,1,4,4,7,1,7,5,6,3,DNF,45
4,5,Jean Alesi,5,2,2,DNF,DNF*,1,5,2,DNF,DNF,DNF,DNF,5,2,5,DNF,DNF,42
5,6,Gerhard Berger,3,6,3*,3,3,11,12,DNF,3,3,DNF,DNF*,4,DNF,4,DNF,DNF,31
6,7,Mika Häkkinen,4,DNF,5,DNF,DNF,DNF,7,DNF,DNF,DNF,DNF,2,DNF,8,,2,DNS,17
7,8,Olivier Panis,DNF,7,9,6,DNF,4,8,4,DNF,6,9,DNF,DNF,DNF,8,5,2,16
8,9,Heinz-Harald Frentzen,DNF,5,6,8,6,DNF,10,6,DNF,5,4,3,6,DNF,7,8,DNF,15
9,10,Mark Blundell,6,DNF,,,5,DNF,11,5,DNF,DNF,5,4,9,DNF,9,7,4,13
10,11,Rubens Barrichello,DNF,DNF,DNF,7,DNF,2,6,11,DNF,7,6,DNF,11,4,DNF,DNF,DNF,11
11,12,Eddie Irvine,DNF,DNF,8,5,DNF,3,9,DNF,9,DNF,DNF,DNF,10,6,11,4,DNF,10
12,13,Martin Brundle,,,,9,DNF,10,4,DNF,,DNF,3,DNF,8,7,,,DNF,7
13,14,Gianni Morbidelli,DNF,DNF,13,11,9,6,14,,,,,,,,DNF,DNF,3,5
14,15,Mika Salo,7,DNF,DNF,10,DNF,7,15,8,DNF,DNF,8,5,13,10,12,6,5,5
15,16,Jean-Christophe Boullion,,,,,8,DNF,DNF,9,5,10,11,6,12,DNF,DNF,,,3
16,17,Pedro Lamy,,,,,,,,,,9,10,DNF,DNF,9,13,11,6,1
17,18,Aguri Suzuki,8,DNF,11,,,,,,6,,,,,,DNF,DNS,,1
18,19,Pierluigi Martini,DNF,DNF,12,14,7,DNF,DNF,7,DNF,,,,,,,,,0
19,20,Roberto Moreno,DNF,NC,NC,DNF,DNF,DNF,16,DNF,DNF,DNF,14,DNF,17,DNF,16,DNF,DNF,0
20,21,Pedro Diniz,10,NC,NC,DNF,10,DNF,DNF,DNF,DNF,DNF,13,9,16,13,17,DNF,7,0
21,22,Taki Inoue,DNF,DNF,DNF,DNF,DNF,9,DNF,DNF,DNF,DNF,12,8,15,DNF,DNF,12,DNF,0
22,23,Nigel Mansell,,,10,DNF,,,,,,,,,,,,,,0
23,24,Jos Verstappen,DNF,DNF,DNF,12,DNS,,,,,,,,,,,,,0
24,25,Massimiliano Papis,,,,,,,,DNF,DNF,DNF,DNF,7,DNF,12,,,,0
25,26,Luca Badoer,DNF,DNS,14,DNF,DNF,8,13,10,DNF,8,DNF,DNF,14,11,15,9,DNS,0
26,27,Karl Wendlinger,DNF,DNF,DNF,13,,,,,,,,,,,,10,DNF,0
27,28,Andrea Montermini,9,DNF,DNF,DNS,DSQ,DNF,NC,DNF,8,12,DNF,DNF,DNF,DNF,DNF,DNF,DNF,0
28,29,Jean-Denis Délétraz,,,,,,,,,,,,,DNF,15,,,,0
29,30,Jan Magnussen,,,,,,,,,,,,,,,10,,,0
30,31,Giovanni Lavaggi,,,,,,,,,DNF,DNF,DNF,DNF,,,,,,0
31,32,Gabriele Tarquini,,,,,,,,,,,,,,14,,,,0
32,33,Domenico Schiattarella,DNF,9,DNF,15,DNS,,,,,,,,,,,,,0
33,34,Bertrand Gachot,DNF,DNF,DNF,DNF,DNF,DNF,DNF,12,,,,,,,DNF,DNF,8,0
34,35,Ukyo Katayama,DNF,8,DNF,DNF,DNF,DNF,DNF,DNF,7,DNF,DNF,10,DNF,,14,DNF,DNF,0
