,Pos,Driver,AUS,BRA,ARG,EUR,SAN,MON,SPA,CAN,FRE,BRI,GER,HUN,BEL,ITA,POR,JAP,Pts
0,1,Damon Hill,1,1*,1,4*,1*,DNF,DNF,1,1,DNF,1*,2*,5,DNF,2,1,97
1,2,Jacques Villeneuve,2*,DNF,2,1,11,DNF,3,2*,2*,1*,3,1,2,7,1*,DNF*,78
2,3,Michael Schumacher,DNF,3,DNF,2,2,DNF,1*,DNF,NC,DNF,4,9,1,1*,3,2,59
3,4,Jean Alesi,DNF,2,3*,DNF,6,DNF*,2,3,3,DNF,2,3,4,2,4,DNF,47
4,5,Mika Häkkinen,5,4,DNF,8,8,6,5,5,5,3,DNF,4,3,3,DNF,3,31
5,6,Gerhard Berger,4,DNF,DNF,9,3,DNF,DNF,DNF,4,2,13,DNF,6*,DNF,6,4,21
6,7,David Coulthard,DNF,DNF,7,3,DNF,2,DNF,4,6,5,5,DNF,DNF,DNF,13,8,18
7,8,Rubens Barrichello,DNF,DNF,4,5,5,DNF,DNF,DNF,9,4,6,6,DNF,5,DNF,9,14
8,9,Olivier Panis,7,6,8,DNF,DNF,1,DNF,DNF,7,DNF,7,5,DNF,DNF,10,7,13
9,10,Eddie Irvine,3,7,5,DNF,4,7,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,5,DNF,11
10,11,Martin Brundle,DNF,12,DNF,6,DNF,DNF,DNF,6,8,6,10,DNF,DNF,4,9,5,8
11,12,Heinz-Harald Frentzen,8,DNF,DNF,DNF,DNF,4,4,DNF,DNF,8,8,DNF,DNF,DNF,7,6,7
12,13,Mika Salo,6,5,DNF,DSQ,DNF,5,DSQ,DNF,10,7,9,DNF,7,DNF,11,DNF,5
13,14,Johnny Herbert,DNF,DNF,9,7,DNF,3,DNF,7,DSQ,9,DNF,DNF,DNF,9,8,10,4
14,15,Pedro Diniz,10,8,DNF,10,7,DNF,6,DNF,DNF,DNF,DNF,DNF,DNF,6,DNF,DNF,2
15,16,Jos Verstappen,DNF,DNF,6,DNF,DNF,DNF,DNF,DNF,DNF,10,DNF,DNF,DNF,8,DNF,11,1
16,17,Ricardo Rosset,9,DNF,DNF,11,DNF,DNF,DNF,DNF,11,DNF,11,8,9,DNF,14,13,0
17,18,Tarso Marques,,DNF,DNF,,,,,,,,,,,,,,0
18,19,Andrea Montermini,DNQ,DNF,10,DNQ,DNQ,DNS,DNQ,DNF,DNF,DNQ,,,,,,,0
19,20,Luca Badoer,DNQ,11,DNF,DNQ,10,DNF,DNQ,DNF,DNF,DNQ,,,,,,,0
20,21,Pedro Lamy,DNF,10,DNF,12,9,DNF,DNF,DNF,12,DNF,12,DNF,10,DNF,16,12,0
21,22,Giovanni Lavaggi,,,,,,,,,,,DNQ,10,DNQ,DNF,15,DNQ,0
22,23,Giancarlo Fisichella,DNF,,,13,DNF,DNF,DNF,8,DNF,11,,,,,,,0
23,24,Ukyo Katayama,11,9,DNF,DSQ,DNF,DNF,DNF,DNF,DNF,DNF,DNF,7,8,10,12,DNF,0
