,Pos,Driver,AUS,BRA,ARG,SAN,MON,SPA,CAN,FRE,BRI,GER,HUN,BEL,ITA,OST,LUX,JAP,EUR,Pts
0,1,Jacques Villeneuve,DNF,1*,1,DNF,DNF,1,DNF,4,1,DNF,1,5*,5,1*,1,DSQ,3,81
1,2,Heinz-Harald Frentzen,8*,9,DNF,1*,DNF,8,4,2,DNF,DNF,DNF*,3,3,3,3*,2*,6*,42
2,3,David Coulthard,1,10,DNF,DNF,DNF,6,7*,7,4,DNF,DNF,DNF,1,2,DNF,10,2,36
3,4,Jean Alesi,DNF,6,7,5,DNF,3,2,5,2,6,11,8,2,DNF,2,5,13,36
4,5,Gerhard Berger,4,2,6*,DNF,9,10,,,,1*,8,6,7,10,4,8,4,27
5,6,Mika Häkkinen,3,4,5,6,DNF,7,DNF,DNF,DNF,3,DNF,DSQ,9*,DNF,DNF,4,1,27
6,7,Eddie Irvine,DNF,16,2,3,3,12,DNF,3,DNF,DNF,9,10,8,DNF,DNF,3,5,24
7,8,Giancarlo Fisichella,DNF,8,DNF,4,6,9*,3,9,7,11,DNF,2,4,4,DNF,7,11,20
8,9,Olivier Panis,5,3,DNF,8,4,2,11,,,,,,,,6,DNF,7,16
9,10,Johnny Herbert,DNF,7,4,DNF,DNF,5,5,8,DNF,DNF,3,4,DNF,8,7,6,8,15
10,11,Ralf Schumacher,DNF,DNF,3,DNF,DNF,DNF,DNF,6,5,5,5,DNF,DNF,5,DNF,9,DNF,13
11,12,Damon Hill,DNS,17,DNF,DNF,DNF,DNF,9,12,6,8,2,13,DNF,7,8,11,DNF,7
12,13,Rubens Barrichello,DNF,DNF,DNF,DNF,2,DNF,DNF,DNF,DNF,DNF,DNF,DNF,13,14,DNF,DNF,DNF,6
13,14,Alexander Wurz,,,,,,,DNF,DNF,3,,,,,,,,,4
14,15,Jarno Trulli,9,12,9,DNS,DNF,15,DNF,10,8,4,7,15,10,DNF,,,,3
15,16,Shinji Nakano,7,14,DNF,DNF,DNF,DNF,6,DNF,11,7,6,DNF,11,DNF,DNF,DNF,10,2
16,17,Mika Salo,DNF,13,8,9,5,DNF,DNF,DNF,DNF,DNF,13,11,DNF,DNF,10,DNF,12,2
17,18,Pedro Diniz,10,DNF,DNF,DNF,DNF,DNF,8,DNF,DNF,DNF,DNF,7,DNF,13,5,12,DNF,2
18,19,Nicola Larini,6,11,DNF,7,DNF,,,,,,,,,,,,,1
19,20,Tarso Marques,,,,,,,,DNF,10,DNF,12,DNF,14,EXC,DNF,DNF,15,0
20,21,Ukyo Katayama,DNF,18,DNF,11,10,DNF,DNF,11,DNF,DNF,10,14,DNF,11,DNF,DNF,17,0
21,22,Vincenzo Sospiri,DNQ,,,,,,,,,,,,,,,,,0
22,23,Ricardo Rosset,DNQ,,,,,,,,,,,,,,,,,0
23,24,Norberto Fontana,,,,,,,,DNF,9,9,,,,,,,14,0
24,25,Jos Verstappen,DNF,15,DNF,10,8,11,DNF,DNF,DNF,10,DNF,DNF,DNF,12,DNF,13,16,0
25,26,Jan Magnussen,DNF,DNF,10,DNF,7,13,DNF,DNF,DNF,DNF,DNF,12,DNF,DNF,DNF,DNF,9,0
26,27,Gianni Morbidelli,,,,,,14,10,,,,DNF,9,12,9,9,DNS,,0
27,NC,Michael Schumacher,2,5,DNF,2,1*,4,1,1*,DNF*,2,4,1,6,6,DNF,1,DNF,78
