,Pos,Driver,AUS,BRA,ARG,SAN,SPA,MON,CAN,FRE,BRI,OST,GER,HUN,BEL,ITA,LUX,JAP,Pts
0,1,Mika Häkkinen,1*,1*,2,DNF,1*,1*,DNF,3,2,1,1,6,DNF,4*,1*,1,100
1,2,Michael Schumacher,DNF,3,1,2*,3,10,1*,1,1*,3,5,1*,DNF*,1,2,DNF*,86
2,3,David Coulthard,2,2,6,1,2,DNF,DNF,6*,DNF,2*,2*,2,7,DNF,3,3,56
3,4,Eddie Irvine,4,8,3,3,DNF,3,3,2,3,4,8,DNF,DNF,2,4,2,47
4,5,Jacques Villeneuve,5,7,DNF,4,6,5,10,4,7,6,3,3,DNF,DNF,8,6,21
5,6,Damon Hill,8,DSQ,8,10,DNF,8,DNF,DNF,DNF,7,4,4,1,6,9,4,20
6,7,Alexander Wurz,7,4,4*,DNF,4,DNF,4,5,4,9,11,DNF,DNF,DNF,7,9,17
7,8,Heinz-Harald Frentzen,3,5,9,5,8,DNF,DNF,15,DNF,DNF,9,5,4,7,5,5,17
8,9,Giancarlo Fisichella,DNF,6,7,DNF,DNF,2,2,9,5,DNF,7,8,DNF,8,6,8,16
9,10,Ralf Schumacher,DNF,DNF,DNF,7,11,DNF,DNF,16,6,5,6,9,2,3,DNF,DNF,14
10,11,Jean Alesi,DNF,9,5,6,10,12,DNF,7,DNF,DNF,10,7,3,5,10,7,9
11,12,Rubens Barrichello,DNF,DNF,10,DNF,5,DNF,5,10,DNF,DNF,DNF,DNF,DNS,10,11,DNF,4
12,13,Pedro Diniz,DNF,DNF,DNF,DNF,DNF,6,9,14,DNF,DNF,DNF,11,5,DNF,DNF,DNF,3
13,14,Mika Salo,DNF,DNF,DNF,9,DNF,4,DNF,13,DNF,DNF,14,DNF,DNS,DNF,14,DNF,3
14,15,Johnny Herbert,6,11,DNF,DNF,7,7,DNF,8,DNF,8,DNF,10,DNF,DNF,DNF,10,1
15,16,Jarno Trulli,DNF,DNF,11,DNF,9,DNF,DNF,DNF,DNF,10,12,DNF,6,13,DNF,12,1
16,17,Jan Magnussen,DNF,10,DNF,DNF,12,DNF,6,,,,,,,,,,1
17,18,Jos Verstappen,,,,,,,,12,DNF,DNF,DNF,13,DNF,DNF,13,DNF,0
18,19,Olivier Panis,9,DNF,15,11,16,DNF,DNF,11,DNF,DNF,15,12,DNS,DNF,12,11,0
19,20,Ricardo Rosset,DNF,DNF,14,DNF,,DNQ,8,DNF,DNF,12,,,DNS,12,DNF,DNQ,0
20,21,Esteban Tuero,DNF,DNF,DNF,8,15,DNF,DNF,DNF,DNF,DNF,16,DNF,DNF,11,NC,DNF,0
21,22,Shinji Nakano,DNF,DNF,13,DNF,14,9,7,17,8,11,DNF,15,8,DNF,15,DNF,0
22,23,Toranosuke Takagi,DNF,DNF,12,DNF,13,11,DNF,DNF,9,DNF,13,14,DNF,9,16,DNF,0
