,Pos,Driver,AUS,BRA,SAN,MON,SPA,CAN,FRE,BRI,OST,GER,HUN,BEL,ITA,EUR,MAL,JAP,Pts
0,1,Mika Häkkinen,DNF,1*,DNF,3*,1,1,2,DNF*,3*,DNF,1,2*,DNF,5*,3,1,76
1,2,Eddie Irvine,1,5,DNF,2,4,3*,6,2,1,1,3,4,6,7,1,3,74
2,3,Heinz-Harald Frentzen,2,3,DNF,4,DNF,11,1,4,4,3,4,3,1,DNF,6,4,54
3,4,David Coulthard,DNF,DNF,2,DNF,2,7,DNF*,1,2,5*,2*,1,5,DNF,DNF,DNF,48
4,5,Michael Schumacher,8*,2,1*,1,3*,DNF,5,DNS,,,,,,,2*,2*,44
5,6,Ralf Schumacher,3,4,DNF,DNF,5,4,4,3,DNF,4,9,5,2*,4,DNF,5,35
6,7,Rubens Barrichello,5,DNF,3,9,DSQ,DNF,3,8,DNF,DNF,5,10,4,3,5,8,21
7,8,Johnny Herbert,DNS,DNF,10,DNF,DNF,5,DNF,12,14,11,11,DNF,DNF,1,4,7,15
8,9,Giancarlo Fisichella,4,DNF,5,5,9,2,DNF,7,12,DNF,DNF,11,DNF,DNF,11,14,13
9,10,Mika Salo,,,7,DNF,8,,,,9,2,12,7,3,DNF,,,10
10,11,Damon Hill,DNF,DNF,4,DNF,7,DNF,DNF,5,8,DNF,6,6,10,DNF,DNF,DNF,7
11,12,Jarno Trulli,DNF,DNF,DNF,7,6,DNF,7,9,7,DNF,8,12,DNF,2,DNS,DNF,7
12,13,Pedro Diniz,DNF,DNF,DNF,DNF,DNF,6,DNF,6,6,DNF,DNF,DNF,DNF,DNF,DNF,11,3
13,14,Alexander Wurz,DNF,7,DNF,6,10,DNF,DNF,10,5,7,7,14,DNF,DNF,8,10,3
14,15,Jean Alesi,DNF,DNF,6,DNF,DNF,DNF,DNF,14,DNF,8,16,9,9,DNF,7,6,2
15,16,Olivier Panis,DNF,6,DNF,DNF,DNF,9,8,13,10,6,10,13,11,9,DNF,DNF,2
16,17,Marc Gené,DNF,9,9,DNF,DNF,8,DNF,15,11,9,17,16,DNF,6,9,DNF,1
17,18,Pedro de la Rosa,6,DNF,DNF,DNF,11,DNF,11,DNF,DNF,DNF,15,DNF,DNF,DNF,DNF,13,1
18,19,Stéphane Sarrazin,,DNF,,,,,,,,,,,,,,,0
19,20,Alessandro Zanardi,DNF,DNF,11,8,DNF,DNF,DNF,11,DNF,DNF,DNF,8,7,DNF,10,DNF,0
20,21,Ricardo Zonta,DNF,DNQ,,,,DNF,9,DNF,15,DNF,13,DNF,DNF,8,DNF,12,0
21,22,Luca Badoer,DNF,,8,DNF,DNF,10,10,DNF,13,10,14,DNF,DNF,DNF,DNF,DNF,0
22,23,Jacques Villeneuve,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,15,8,10,DNF,9,0
23,24,Toranosuke Takagi,7,8,DNF,DNF,12,DNF,DSQ,16,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,0
