,Pos,Driver,AUS,BRA,SAN,BRI,SPA,EUR,MON,CAN,FRE,OST,GER,HUN,BEL,ITA,US,JAP,MAL,Pts
0,1,Michael Schumacher,1,1*,1,3,5,1*,DNF,1,DNF,DNF,DNF,2,2,1,1,1,1,108
1,2,Mika Häkkinen,DNF,DNF,2*,2*,1*,2,6*,4*,2,1,2,1*,1,2*,DNF,2*,4*,89
2,3,David Coulthard,DNF,DSQ,3,1,2,3,1,7,1*,2*,3,3,4,DNF,5*,3,2,73
3,4,Rubens Barrichello,2*,DNF,4,DNF,3,4,2,2,3,3,1*,4,DNF*,DNF,2,4,3,62
4,5,Ralf Schumacher,3,5,DNF,4,4,DNF,DNF,14,5,DNF,7,5,3,3,DNF,DNF,DNF,24
5,6,Giancarlo Fisichella,5,2,11,7,9,5,3,3,9,DNF,DNF,DNF,DNF,11,DNF,14,9,18
6,7,Jacques Villeneuve,4,DNF,5,16,DNF,DNF,7,15,4,4,8,12,7,DNF,4,6,5,17
7,8,Jenson Button,DNF,6,DNF,5,17,10,DNF,11,8,5,4,9,5,DNF,DNF,5,DNF,12
8,9,Heinz-Harald Frentzen,DNF,3,DNF,17,6,DNF,10,DNF,7,DNF,DNF,6,6,DNF,3,DNF,DNF,11
9,10,Mika Salo,DSQ,WD,6,8,7,DNF,5,DNF,10,6,5,10,9,7,DNF,10,8,6
10,11,Jarno Trulli,DNF,4,15,6,12,DNF,DNF,6,6,DNF,9,7,DNF,DNF,DNF,13,12,6
11,12,Jos Verstappen,DNF,7,14,DNF,DNF,DNF,DNF,5,DNF,DNF,DNF,13,15,4,DNF,DNF,10,5
12,13,Eddie Irvine,DNF,DNF,7,13,11,DNF,4,13,13,,10,8,10,DNF,7,8,6,4
13,14,Ricardo Zonta,6,9,12,DNF,8,DNF,DNF,8,DNF,DNF,DNF,14,12,6,6,9,DNF,3
14,15,Pedro de la Rosa,DNF,8,DNF,DNF,DNF,6,DNF,DNF,DNF,DNF,6,16,16,DNF,DNF,12,DNF,2
15,16,Alexander Wurz,7,DNF,9,9,10,12,DNF,9,DNF,10,DNF,11,13,5,10,DNF,7,2
16,17,Luciano Burti,,,,,,,,,,11,,,,,,,,0
17,18,Marc Gené,8,DNF,DNF,14,14,DNF,DNF,16,15,8,DNF,15,14,9,12,DNF,DNF,0
18,19,Johnny Herbert,DNF,DNF,10,12,13,11,9,DNF,DNF,7,DNF,DNF,8,DNF,11,7,DNF,0
19,20,Jean Alesi,DNF,DNF,DNF,10,DNF,9,DNF,DNF,14,DNF,DNF,DNF,DNF,12,DNF,DNF,11,0
20,21,Gastón Mazzacane,DNF,10,13,15,15,8,DNF,12,DNF,12,11,DNF,17,10,DNF,15,13,0
21,22,Nick Heidfeld,9,DNF,DNF,DNF,16,,8,DNF,12,DNF,12,DNF,DNF,DNF,9,DNF,DNF,0
22,23,Pedro Diniz,DNF,WD,8,11,DNF,7,DNF,10,11,9,DNF,DNF,11,8,8,11,DNF,0
