,Pos,Driver,AUS,MAL,BRA,SAN,SPA,OST,MON,CAN,EUR,FRE,BRI,GER,HUN,BEL,ITA,US,JAP,Pts
0,1,Michael Schumacher,1*,1,2,DNF,1*,2,1,2,1,1,2,DNF,1,1*,4,2,1,123
1,2,David Coulthard,2,3,1,2,5,1*,5*,DNF,3,4*,DNF,DNF,3,2,DNF,3,3,65
2,3,Rubens Barrichello,3,2,DNF,3,DNF,3,2,DNF,5,3,3,2,2,5,2,15,5,56
3,4,Ralf Schumacher,DNF,5,DNF*,1*,DNF,DNF,DNF,1*,4,2,DNF,1,4,7,3*,DNF,6*,49
4,5,Mika Häkkinen,DNF,6*,DNF,4,9,DNF,DNF,3,6,DNS,1*,DNF,5*,4,DNF,1,4,37
5,6,Juan Pablo Montoya,DNF,DNF,DNF,DNF,2,DNF,DNF,DNF,2*,DNF,4,DNF*,8,DNF,1,DNF*,2,31
6,7,Nick Heidfeld,4,DNF,3,7,6,9,DNF,DNF,DNF,6,6,DNF,6,DNF,11,6,9,12
7,8,Jacques Villeneuve,DNF,DNF,7,DNF,3,8,4,DNF,9,DNF,8,3,9,8,6,DNF,10,12
8,9,Jarno Trulli,DNF,8,5,5,4,DSQ,DNF,11,DNF,5,DNF,DNF,DNF,DNF,DNF,4,8,12
9,10,Kimi Räikkönen,6,DNF,DNF,DNF,8,4,10,4,10,7,5,DNF,7,DNS,7,DNF,DNF,9
10,11,Giancarlo Fisichella,13,DNF,6,DNF,14,DNF,DNF,DNF,11,11,13,4,DNF,3,10,8,17,8
11,12,Eddie Irvine,11,DNF,DNF,DNF,DNF,7,3,DNF,7,DNF,9,DNF,DNF,DNF,DNF,5,DNF,6
12,13,Heinz-Harald Frentzen,5,4,11,6,DNF,DNF,DNF,,DNF,8,7,,DNF,9,DNF,10,12,6
13,14,Jean Alesi,9,9,8,9,10,10,6,5,15,12,11,6,10,6,8,7,DNF,5
14,15,Olivier Panis,7,DNF,4,8,7,5,DNF,DNF,DNF,9,DNF,7,DNF,11,9,11,13,5
15,16,Pedro de la Rosa,,,,,DNF,DNF,DNF,6,8,14,12,DNF,11,DNF,5,12,DNF,3
16,17,Jenson Button,14,11,10,12,15,DNF,7,DNF,13,16,15,5,DNF,DNF,DNF,9,7,2
17,18,Jos Verstappen,10,7,DNF,DNF,12,6,8,10,DNF,13,10,9,12,10,DNF,DNF,15,1
18,19,Ricardo Zonta,,,,,,,,7,,,,DNF,,,,,,0
19,20,Tarso Marques,DNF,14,9,DNF,16,DNF,DNF,9,DNF,15,DNQ,DNF,DNF,13,,,,0
20,21,Alex Yoong,,,,,,,,,,,,,,,DNF,DNF,16,0
21,22,Luciano Burti,8,10,DNF,11,11,11,DNF,8,12,10,DNF,DNF,DNF,DNF,,,,0
22,23,Gastón Mazzacane,DNF,12,DNF,DNF,,,,,,,,,,,,,,0
23,24,Fernando Alonso,12,13,DNF,DNF,13,DNF,DNF,DNF,14,17,16,10,DNF,DNF,13,DNF,11,0
24,25,Enrique Bernoldi,DNF,DNF,DNF,10,DNF,DNF,9,DNF,DNF,DNF,14,8,DNF,12,DNF,13,14,0
25,26,Tomáš Enge,,,,,,,,,,,,,,,12,14,DNF,0
