,Pos,Driver,AUS,MAL,BRA,SAN,SPA,OST,MON,CAN,EUR,BRI,FRE,GER,HUN,BEL,ITA,US,JAP,Pts
0,1,Michael Schumacher,1,3,1,1,1*,1*,2,1,2*,1,1,1*,2*,1*,2,2,1*,144
1,2,Rubens Barrichello,DNF,DNF,DNF,2*,DNS,2,7*,3,1,2*,DNS,4,1,2,1*,1*,2,77
2,3,Juan Pablo Montoya,2,2*,5*,4,2,3,DNF,DNF*,DNF,3,4,2,11,3,DNF,4,4,50
3,4,Ralf Schumacher,DNF,1,2,3,11,4,3,7,4,8,5,3,3,5,DNF,16,11,42
4,5,David Coulthard,DNF,DNF,3,6,3,6,1,2,DNF,10,3*,5,5,4,7,3,DNF,41
5,6,Kimi Räikkönen,3*,DNF,12,DNF,DNF,DNF,DNF,4,3,DNF,2,DNF,4,DNF,DNF,DNF,3,24
6,7,Jenson Button,DNF,4,4,5,12,7,DNF,15,5,12,6,DNF,DNF,DNF,5,8,6,14
7,8,Jarno Trulli,DNF,DNF,DNF,9,10,DNF,4,6,8,DNF,DNF,DNF,8,DNF,4,5,DNF,9
8,9,Eddie Irvine,4,DNF,7,DNF,DNF,DNF,9,DNF,DNF,DNF,DNF,DNF,DNF,6,3,10,9,8
9,10,Giancarlo Fisichella,DNF,13,DNF,DNF,DNF,5,5,5,DNF,7,WD,DNF,6,DNF,8,7,DNF,7
10,11,Nick Heidfeld,DNF,5,DNF,10,4,DNF,8,12,7,6,7,6,9,10,10,9,7,7
11,12,Felipe Massa,DNF,6,DNF,8,5,DNF,DNF,9,6,9,DNF,7,7,DNF,DNF,,DNF,4
12,13,Jacques Villeneuve,DNF,8,10,7,7,10,DNF,DNF,12,4,DNF,DNF,DNF,8,9,6,DNF,4
13,14,Olivier Panis,DNF,DNF,DNF,DNF,DNF,DNF,DNF,8,9,5,DNF,DNF,12,12,6,12,DNF,3
14,15,Mika Salo,6,12,6,DNF,9,8,DNF,DNF,DNF,DNF,DNF,9,15,7,11,14,8,2
15,16,Takuma Sato,DNF,9,9,DNF,DNF,DNF,DNF,10,16,DNF,DNF,8,10,11,12,11,5,2
16,17,Mark Webber,5,DNF,11,11,DNS,12,11,11,15,DNF,8,DNF,16,DNF,DNF,DNF,10,2
17,18,Heinz-Harald Frentzen,DSQ,11,DNF,DNF,6,11,6,13,13,DNF,DNQ,DNF,,,,13,,2
18,19,Allan McNish,DNF,7,DNF,DNF,8,9,DNF,DNF,14,DNF,11,DNF,14,9,DNF,15,DNS,0
19,20,Pedro de la Rosa,8,10,8,DNF,DNF,DNF,10,DNF,10,11,9,DNF,13,DNF,DNF,DNF,DNF,0
20,21,Enrique Bernoldi,DSQ,DNF,DNF,DNF,DNF,DNF,12,DNF,11,DNF,DNQ,DNF,,,,,,0
21,22,Anthony Davidson,,,,,,,,,,,,,DNF,DNF,,,,0
22,23,Alex Yoong,7,DNF,13,DNQ,DNS,DNF,DNF,14,DNF,DNQ,10,DNQ,,,13,DNF,DNF,0
