,Pos,Driver,AUS,MAL,BRA,SAN,SPA,OST,MON,CAN,EUR,FRE,BRI,GER,HUN,ITA,US,JAP,Pts
0,1,Michael Schumacher,4,6*,DNF,1*,1,1*,3,1,5,3,4,7,8,1*,1*,8,93
1,2,Kimi Räikkönen,3*,1,2,2,DNF,2,2*,6,DNF*,4,3,DNF,2,4,2,2,91
2,3,Juan Pablo Montoya,2,12,DNF,7,4,DNF,1,3,2,2*,2,1*,3*,2,6,DNF,82
3,4,Rubens Barrichello,DNF,2,DNF*,3,3*,3,8,5,3,7,1*,DNF,DNF,3,DNF,1,65
4,5,Ralf Schumacher,8,4,7,4,5,6,4,2,1,1,9,DNF,4,,DNF,12*,58
5,6,Fernando Alonso,7,3,3,6,2,DNF,5,4*,4,DNF,DNF,4,1,8,DNF,DNF,55
6,7,David Coulthard,1,DNF,4,5,DNF,5,7,DNF,15,5,5,2,5,DNF,DNF,3,51
7,8,Jarno Trulli,5,5,8,13,DNF,8,6,DNF,DNF,DNF,6,3,7,DNF,4,5,33
8,9,Jenson Button,10,7,DNF,8,9,4,DNS,DNF,7,DNF,8,8,10,DNF,DNF,4,17
9,10,Mark Webber,DNF,DNF,9,DNF,7,7,DNF,7,6,6,14,11,6,7,DNF,11,17
10,11,Heinz-Harald Frentzen,6,9,5,11,DNF,DNS,DNF,DNF,9,12,12,DNF,DNF,13,3,DNF,13
11,12,Giancarlo Fisichella,12,DNF,1,15,DNF,DNF,10,DNF,12,DNF,DNF,13,DNF,10,7,DNF,12
12,13,Cristiano da Matta,DNF,11,10,12,6,10,9,11,DNF,11,7,6,11,DNF,9,7,10
13,14,Jacques Villeneuve,9,DNF,6,DNF,DNF,12,DNF,DNF,DNF,9,10,9,DNF,6,DNF,,6
14,15,Nick Heidfeld,DNF,8,DNF,10,10,DNF,11,DNF,8,13,17,10,9,9,5,9,6
15,16,Olivier Panis,DNF,DNF,DNF,9,DNF,DNF,13,8,DNF,8,11,5,DNF,DNF,DNF,10,6
16,17,Marc Gené,,,,,,,,,,,,,,5,,,4
17,18,Takuma Sato,,,,,,,,,,,,,,,,6,3
18,19,Ralph Firman,DNF,10,DNF,DNF,8,11,12,DNF,11,15,13,DNF,,,DNF,14,1
19,20,Justin Wilson,DNF,DNF,DNF,DNF,11,13,DNF,DNF,13,14,16,DNF,DNF,DNF,8,13,1
20,21,Antônio Pizzonia,13,DNF,DNF,14,DNF,9,DNF,10,10,10,DNF,,,,,,0
21,22,Nicolas Kiesa,,,,,,,,,,,,12,13,12,11,16,0
22,23,Jos Verstappen,11,13,DNF,DNF,12,DNF,DNF,9,14,16,15,DNF,12,DNF,10,15,0
23,24,Zsolt Baumgartner,,,,,,,,,,,,,DNF,11,,,0
