,Pos,Driver,AUS,MAL,BAH,SAN,SPA,MON,EUR,CAN,US,FRE,BRI,GER,HUN,BEL,ITA,CHI,JAP,BRA,Pts
0,1,Michael Schumacher,1*,1,1*,1*,1*,DNF*,1*,1,1,1*,1*,1,1*,2,2,12*,1,7,148
1,2,Rubens Barrichello,2,4,2,6,2,3,2,2*,2*,3,3,12,2,3,1*,1,DNF*,3,114
2,3,Jenson Button,6,3,3,2,8,2,3,3,DNF,5,4,2,5,DNF,3,2,3,DNF,85
3,4,Fernando Alonso,3,7,6,4,4,DNF,5,DNF,DNF,2,10,3,3,DNF,DNF,4,5,4,59
4,5,Juan Pablo Montoya,5,2*,13,3,DNF,4,8,DSQ,DSQ,8,5,5,4,DNF,5,5,7,1*,58
5,6,Jarno Trulli,7,5,4,5,3,1,4,DNF,4,4,DNF,11,DNF,9,10,,11,12,46
6,7,Kimi Räikkönen,DNF,DNF,DNF,8,11,DNF,DNF,5,6,7,2,DNF*,DNF,1*,DNF,3,6,2,45
7,8,Takuma Sato,9,15,5,16,5,DNF,DNF,DNF,3,DNF,11,8,6,DNF,4,6,4,6,34
8,9,David Coulthard,8,6,DNF,12,10,DNF,DNF,6,7,6,7,4,9,7,6,9,DNF,11,24
9,10,Ralf Schumacher,4,DNF,7,7,6,10,DNF,DSQ,DNF,,,,,,,DNF,2,5,24
10,11,Giancarlo Fisichella,10,11,11,9,7,DNF,6,4,9,12,6,9,8,5,8,7,8,9,22
11,12,Felipe Massa,DNF,8,12,10,9,5,9,DNF,DNF,13,9,13,DNF,4,12,8,9,8,12
12,13,Mark Webber,DNF,DNF,8,13,12,DNF,7,DNF,DNF,9,8,6,10,DNF,9,10,DNF,DNF,7
13,14,Olivier Panis,13,12,9,11,DNF,8,11,DSQ,5,15,DNF,14,11,8,DNF,14,14,,6
14,15,Antônio Pizzonia,,,,,,,,,,,,7,7,DNF,7,,,,6
15,16,Christian Klien,11,10,14,14,DNF,DNF,12,9,DNF,11,14,10,13,6,13,DNF,12,14,3
16,17,Nick Heidfeld,DNF,DNF,15,DNF,DNF,7,10,8,DNF,16,15,DNF,12,11,14,13,13,DNF,3
17,18,Cristiano da Matta,12,9,10,DNF,13,6,DNF,DSQ,DNF,14,13,DNF,,,,,,,3
18,19,Timo Glock,,,,,,,,7,,,,,,,,15,15,15,2
19,20,Zsolt Baumgartner,DNF,16,DNF,15,DNF,9,15,10,8,DNF,DNF,16,15,DNF,15,16,DNF,16,1
20,21,Marc Gené,,,,,,,,,,10,12,,,,,,,,0
21,22,Jacques Villeneuve,,,,,,,,,,,,,,,,11,10,10,0
22,23,Giorgio Pantano,14,13,16,DNF,DNF,DNF,13,,DNF,17,DNF,15,DNF,DNF,DNF,,,,0
23,24,Ricardo Zonta,,,,,,,,,,,,,DNF,10,11,DNF,,13,0
24,25,Gianmaria Bruni,NC,14,17,DNF,DNF,DNF,14,DNF,DNF,18,16,17,14,DNF,DNF,DNF,16,17,0
