,Pos,Driver,AUS,MAL,BAH,SAN,SPA,MON,EUR,CAN,US,FRE,BRI,GER,HUN,TUR,ITA,BEL,BRA,JAP,CHI,Pts
0,1,Fernando Alonso,3*,1,1,1,2,4,1*,DNF,DNS,1,2,1,11,2,2,2,3,3,1,133
1,2,Kimi Räikkönen,8,9*,3,DNF,1,1,11,1*,DNS,2*,3*,DNF*,1*,1,4*,1,2*,1*,2*,112
2,3,Michael Schumacher,DNF,7,DNF,2*,DNF,7*,5,2,1*,3,6,5,2,DNF,10,DNF,4,7,DNF,62
3,4,Juan Pablo Montoya,6,4,,,7,5,7,NC,DNS,DNF,1,2,DNF,3*,1,14,1,DNF,DNF,60
4,5,Giancarlo Fisichella,1,DNF,DNF,DNF,5*,12,6,DNF,DNS,6,4,4,9,4,3,DNF,5,2,4,58
5,6,Ralf Schumacher,12,5,4,9,4,6,DNF,6,,7,8,6,3,12,6,7*,8,8,3,45
6,7,Jarno Trulli,9,2,2,5,3,10,8,DNF,DNS,5,9,14,4,6,5,DNF,13,DNF,15,43
7,8,Rubens Barrichello,2,DNF,9,DNF,9,8,3,3,2,9,7,10,10,10,12,5,6,11,12,38
8,9,Jenson Button,11,DNF,DNF,DSQ,,,10,DNF,DNS,4,5,3,5,5,8,3,7,5,8,37
9,10,Mark Webber,5,DNF,6,7,6,3,DNF,5,DNS,12,11,NC,7,DNF,14,4,NC,4,7,36
10,11,Nick Heidfeld,DNF,3,DNF,6,10,2,2,DNF,DNS,14,12,11,6,DNF,,,,,,28
11,12,David Coulthard,4,6,8,11,8,DNF,4,7,DNS,10,13,7,DNF,7,15,DNF,DNF,6,9,24
12,13,Felipe Massa,10,10,7,10,11,9,14,4,DNS,DNF,10,8,14,DNF,9,10,11,10,6,11
13,14,Christian Klien,7,8,DNS,,,,,8,DNS,DNF,15,9,DNF,8,13,9,9,9,5,9
14,15,Jacques Villeneuve,13,DNF,11,4,DNF,11,13,9,DNS,8,14,15,DNF,11,11,6,12,12,10,9
15,16,Tiago Monteiro,16,12,10,13,12,13,15,10,3,13,17,17,13,15,17,8,DNF,13,11,7
16,17,Alexander Wurz,,,,3,,,,,,,,,,,,,,,,6
17,18,Narain Karthikeyan,15,11,DNF,12,13,DNF,16,DNF,4,15,DNF,16,12,14,20,11,15,15,DNF,5
18,19,Pedro de la Rosa,,,5*,,,,,,,,,,,,,,,,,4
19,20,Christijan Albers,DNF,13,13,DNF,DNF,14,17,11,5,DNF,18,13,NC,DNF,19,12,14,16,16,4
20,21,Patrick Friesacher,17,DNF,12,DNF,DNF,DNF,18,DNF,6,DNF,19,,,,,,,,,3
21,22,Antônio Pizzonia,,,,,,,,,,,,,,,7,15,DNF,DNF,13,2
22,23,Takuma Sato,14,,DNF,DSQ,,,12,DNF,DNS,11,16,12,8,9,16,DNF,10,DSQ,DNF,1
23,24,Vitantonio Liuzzi,,,,8,DNF,DNF,9,,,,,,,,,,,,,1
24,25,Anthony Davidson,,DNF,,,,,,,,,,,,,,,,,,0
25,26,Ricardo Zonta,,,,,,,,,DNS,,,,,,,,,,,0
26,27,Robert Doornbos,,,,,,,,,,,,18,DNF,13,18,13,DNF,14,14,0
