,Pos,Driver,BAH,MAL,AUS,SAN,EUR,SPA,MON,BRI,CAN,US,FRE,GER,HUN,TUR,ITA,CHI,JAP,BRA,Pts
0,1,Fernando Alonso,1,2*,1,2*,2,1,1,1*,1,5,2,5,DNF,2,DNF,2*,1*,2,134
1,2,Michael Schumacher,2,6,DNF,1,1*,2,5*,2,2,1*,1*,1*,8,3*,1,1,DNF,4*,121
2,3,Felipe Massa,9,5,DNF,4,3,4*,9,5,5,2,3,2,7*,1,9,DNF,2,1,80
3,4,Giancarlo Fisichella,DNF,1,5,8,6,3,6,4,4,3,6,6,DNF,6,4,3,3,6,72
4,5,Kimi Räikkönen,3,DNF,2*,5,4,5,DNF,3,3*,DNF,5,3,DNF,DNF,2*,DNF,5,5,65
5,6,Jenson Button,4,3,10,7,DNF,6,11,DNF,9,DNF,DNF,4,1,4,5,4,4,3,56
6,7,Rubens Barrichello,15,10,7,10,5,7,4,10,DNF,6,DNF,DNF,4,8,6,6,12,7,30
7,8,Juan Pablo Montoya,5,4,DNF,3,DNF,DNF,2,6,DNF,DNF,,,,,,,,,26
8,9,Nick Heidfeld,12,DNF,4,13,10,8,7,7,7,DNF,8,DNF,3,14,8,7,8,17,23
9,10,Ralf Schumacher,14,8,3,9,DNF,DNF,8,DNF,DNF,DNF,4,9,6,7,15,DNF,7,DNF,20
10,11,Pedro de la Rosa,,,,,,,,,,,7,DNF,2,5,DNF,5,11,8,19
11,12,Jarno Trulli,16,9,DNF,DNF,9,10,17,11,6,4,DNF,7,12,9,7,DNF,6,DNF,15
12,13,David Coulthard,10,DNF,8,DNF,DNF,14,3,12,8,7,9,11,5,15,12,9,DNF,DNF,14
13,14,Jacques Villeneuve,DNF,7,6,12,8,12,14,8,DNF,DNF,11,DNF,,,,,,,7
14,15,Mark Webber,6,DNF,DNF,6,DNF,9,DNF,DNF,12,DNF,DNF,DNF,DNF,10,10,8,DNF,DNF,7
15,16,Robert Kubica,,,,,,,,,,,,,DSQ,12,3,13,9,9,6
16,17,Nico Rosberg,7*,DNF,DNF,11,7,11,DNF,9,DNF,9,14,DNF,DNF,DNF,DNF,11,10,DNF,4
17,18,Christian Klien,8,DNF,DNF,DNF,DNF,13,DNF,14,11,DNF,12,8,DNF,11,11,,,,2
18,19,Vitantonio Liuzzi,11,11,DNF,14,DNF,15,10,13,13,8,13,10,DNF,DNF,14,10,14,13,1
19,20,Robert Doornbos,,,,,,,,,,,,,,,,12,13,12,0
20,21,Christijan Albers,DNF,12,11,DNF,13,DNF,12,15,DNF,DNF,15,21,10,DNF,17,15,DNF,14,0
21,22,Franck Montagny,,,,,DNF,DNF,16,18,DNF,DNF,16,,,,,,,,0
22,23,Sakon Yamamoto,,,,,,,,,,,,DNF,DNF,DNF,DNF,16,17,16,0
23,24,Scott Speed,13,DNF,9,15,11,DNF,13,DNF,10,DNF,10,12,11,13,13,14,18,11,0
24,25,Takuma Sato,18,14,12,DNF,DNF,17,DNF,17,15,DNF,DNF,DNF,13,NC,16,22,15,10,0
25,26,Tiago Monteiro,17,13,DNF,16,12,16,15,16,14,DNF,DNF,22,9,DNF,DNF,DNF,16,15,0
26,27,Yuji Ide,DNF,DNF,13,DNF,,,,,,,,,,,,,,,0
