,Pos,Driver,AUS,MAL,BAH,SPA,TUR,MON,CAN,FRE,BRI,GER,HUN,EUR,BEL,ITA,SIN,JAP,CHI,BRA,Pts
0,1,Lewis Hamilton,1,5,13,3,2,1,DNF,10,1,1,5,2,3,7,3,12,1*,5,98
1,2,Felipe Massa,DNF,DNF,1,2,1,3,5,1,13,3,17,1*,1,6,13,7*,2,1*,97
2,3,Kimi Räikkönen,8,1,2,1*,3*,9*,DNF*,2*,4*,6,3*,DNF,18*,9*,15*,3,3,3,75
3,4,Robert Kubica,DNF,2,3,4,4,2,1,5,DNF,7,8,3,6,3,11,2,6,11,75
4,5,Fernando Alonso,4,8,10,DNF,6,10,DNF,8,6,11,4,DNF,4,4,1,1,4,2,61
5,6,Nick Heidfeld,2,6*,4,9,5,14,2,13,2,4*,10,9,2,5,6,9,5,10,60
6,7,Heikki Kovalainen,5*,3,5*,DNF,12,8,9,4,5,5,1,4,10,2,10,DNF,DNF,7,53
7,8,Sebastian Vettel,DNF,DNF,DNF,DNF,17,5,8,12,DNF,8,DNF,6,5,1,5,6,9,4,35
8,9,Jarno Trulli,DNF,4,6,8,10,13,6,3,7,9,7,5,16,13,DNF,5,DNF,8,31
9,10,Timo Glock,DNF,DNF,9,11,13,12,4,11,12,DNF,2,7,9,11,4,DNF,7,6,25
10,11,Mark Webber,DNF,7,7,5,7,4,12,6,10,DNF,9,12,8,8,DNF,8,14,9,21
11,12,Nelson Piquet Jr.,DNF,11,DNF,DNF,15,DNF,DNF,7,DNF,2,6,11,DNF,10,DNF,4,8,DNF,19
12,13,Nico Rosberg,3,14,8,DNF,8,DNF,10,16,9,10,14,8,12,14,2,11,15,12,17
13,14,Rubens Barrichello,DSQ,13,11,DNF,14,6,7,14,3,DNF,16,16,DNF,17,DNF,13,11,15,11
14,15,Kazuki Nakajima,6,17,14,7,DNF,7,DNF,15,8,14,13,15,14,12,8,15,12,17,9
15,16,David Coulthard,DNF,9,18,12,9,DNF,3,9,DNF,13,11,17,11,16,7,DNF,10,DNF,8
16,17,Sébastien Bourdais,7,DNF,15,DNF,DNF,DNF,13,17,11,12,18,10,7,18,12,10,13,14,4
17,18,Jenson Button,DNF,10,DNF,6,11,11,11,DNF,DNF,17,12,13,15,15,9,14,16,13,3
18,19,Anthony Davidson,DNF,15,16,DNF,,,,,,,,,,,,,,,0
19,20,Giancarlo Fisichella,DNF,12,12,10,DNF,DNF,DNF,18,DNF,16,15,14,17,DNF,14,DNF,17,18,0
20,21,Takuma Sato,DNF,16,17,13,,,,,,,,,,,,,,,0
21,22,Adrian Sutil,DNF,DNF,19,DNF,16,DNF,DNF,19,DNF,15,DNF,DNF,13,19,DNF,DNF,DNF,16,0
