,Pos,Driver,AUS,MAL,CHI,BAH,SPA,MON,TUR,BRI,GER,HUN,EUR,BEL,ITA,SIN,JAP,BRA,ABU,Pts
0,1,Jenson Button,1,1*,3,1,1,1,1*,6,5,7,7,DNF,2,5,8,5,3,95
1,2,Sebastian Vettel,13,15,1,2,4,DNF,3,1*,2,DNF,DNF,3*,8,4,1,4,1*,84
2,3,Rubens Barrichello,2,5,4*,5,2*,2,DNF,3,6,10,1,7,1,6,7,8,4,77
3,4,Mark Webber,12,6,2,11,3,5,2,2,1,3*,9,9,DNF,DNF,17*,1*,2,69.5
4,5,Lewis Hamilton,DSQ,7,6,4,9,12,13,16,18,1,2,DNF,12,1,3,3,DNF,49
5,6,Kimi Räikkönen,15,14,10,6,DNF,3,9,8,DNF,2,3,1,3,10,4,6,12,48
6,7,Nico Rosberg,6*,8,15,9,8,6,5,5,4,4,5,8,16,11,5,DNF,9,34.5
7,8,Jarno Trulli,3,4,DNF,3*,DNF,13,4,7,17,8,13,DNF,14,12,2,DNF,7,32.5
8,9,Fernando Alonso,5,11,9,8,5,7,10,14,7*,DNF,6,DNF,5,3*,10,DNF,14,26
9,10,Timo Glock,4,3,7,7,10,10,8,9,9,6,14*,10,11,2,DNS,,,24
10,11,Heikki Kovalainen,DNF,DNF,5,12,DNF,DNF,14,DNF,8,5,4,6,6,7,11,12,11,22
11,12,Felipe Massa,DNF,9,DNF,14,6,4*,6,4,3,DNS,,,,,,,,22
12,13,Nick Heidfeld,10,2,12,19,7,11,11,15,10,11,11,5,7,DNF,6,DNF,5,19
13,14,Robert Kubica,14,DNF,13,18,11,DNF,7,13,14,13,8,4,DNF,8,9,2,10,17
14,15,Giancarlo Fisichella,11,18,14,15,14,9,DNF,10,11,14,12,2,9,13,12,10,16,8
15,16,Sébastien Buemi,7,16,8,17,DNF,DNF,15,18,16,16,DNF,12,13,DNF,DNF,7,8,6
16,17,Adrian Sutil,9,17,17,16,DNF,14,17,17,15,DNF,10,11,4*,DNF,13,DNF,17,5
17,18,Kamui Kobayashi,,,,,,,,,,,,,,,,9,6,3
18,19,Sébastien Bourdais,8,10,11,13,DNF,8,18,DNF,DNF,,,,,,,,,2
19,20,Luca Badoer,,,,,,,,,,,17,14,,,,,,0
20,21,Romain Grosjean,,,,,,,,,,,15,DNF,15,DNF,16,13,18,0
21,22,Nelson Piquet Jr.,DNF,13,16,10,12,DNF,16,12,13,12,,,,,,,,0
22,23,Kazuki Nakajima,DNF,12,DNF,DNF,13,15,12,11,12,9,18,13,10,9,15,DNF,13,0
23,24,Jaime Alguersuari,,,,,,,,,,15,16,DNF,DNF,DNF,DNF,14,DNF,0
24,25,Vitantonio Liuzzi,,,,,,,,,,,,,DNF,14,14,11,15,0
