,Pos,Driver,BAH,AUS,MAL,CHI,SPA,MON,TUR,CAN,EUR,BRI,GER,HUN,BEL,ITA,SIN,JAP,KOR,BRA,ABU,Pts
0,1,Sebastian Vettel,4,DNF,1,6,3,2*,DNF,4,1,7,3*,3*,15,4,2,1,DNF,1,1,256
1,2,Fernando Alonso,1*,4,13,4,2,6,8,3,8,14*,1,2,DNF,1*,1*,3,1*,3,7,252
2,3,Mark Webber,8,9*,2*,8,1,1,3,5,DNF,1,6,1,2,6,3,2*,DNF,2,8,242
3,4,Lewis Hamilton,3,6,6,2*,14*,5,1,1,2,2,4,DNF,1*,DNF,DNF,5,2,4*,2*,240
4,5,Jenson Button,7,1,8,1,5,DNF,2,2,3*,4,5,8,DNF,2,4,4,12,5,3,214
5,6,Felipe Massa,2,3,7,9,6,4,7,15,11,15,2,4,4,3,8,DNF,3,15,10,144
6,7,Nico Rosberg,5,5,3,3,13,7,5,6,10,3,8,DNF,6,5,5,17,DNF,6,4,142
7,8,Robert Kubica,11,2,4,5,8,3,6,7*,5,23,7,DNF,3,8,7,DNF,5,9,5,136
8,9,Michael Schumacher,6,10,DNF,10,4,12,4,11,15,9,9,11,7,9,13,6,4,7,DNF,72
9,10,Rubens Barrichello,10,8,12,12,9,DNF,14,14,4,5,12,10,DNF,10,6,9,7,14,12,47
10,11,Adrian Sutil,12,DNF,5,11,7,8,9,10,6,8,17,DNF,5,16,9,DNF,DNF,12,13,47
11,12,Kamui Kobayashi,DNF,DNF,DNF,DNF,12,DNF,10,DNF,7,6,11,9,8,DNF,DNF,7,8,10,14,32
12,13,Vitaly Petrov,DNF,DNF,DNF,7,11,13,15*,17,14,13,10,5,9,13,11,DNF,DNF,16,6,27
13,14,Nico Hülkenberg,14,DNF,10,15,16,DNF,17,13,DNF,10,13,6,14,7,10,DNF,10,8,16,22
14,15,Vitantonio Liuzzi,9,7,DNF,DNF,15,9,13,9,16,11,16,13,10,12,DNF,DNF,6,DNF,DNF,21
15,16,Sébastien Buemi,16,DNF,11,DNF,DNF,10,16,8,9,12,DNF,12,12,11,14,10,DNF,13,15,8
16,17,Nick Heidfeld,,,,,,,,,,,,,,,DNF,8,9,17,11,6
17,18,Pedro de la Rosa,DNF,12,DNS,DNF,DNF,DNF,11,DNF,12,22,14,7,11,14,,,,,,6
18,19,Jaime Alguersuari,13,11,9,13,10,11,12,12,13,21,15,DNF,13,15,12,11,11,11,9,5
19,20,Karun Chandhok,DNF,14,15,17,DNF,14,20,18,18,19,,,,,,,,,,0
20,21,Lucas di Grassi,DNF,DNF,14,DNF,19,DNF,19,19,17,24,DNF,18,17,20,15,DNS,DNF,NC,18,0
21,22,Bruno Senna,DNF,DNF,16,16,DNF,DNF,DNF,DNF,20,,19,17,DNF,DNF,DNF,15,14,21,19,0
22,23,Jarno Trulli,17,DNS,17,DNF,17,15,DNF,DNF,21,16,DNF,15,19,DNF,DNF,13,DNF,19,21,0
23,24,Heikki Kovalainen,15,13,NC,14,DNS,DNF,DNF,16,DNF,17,DNF,14,16,18,16,12,13,18,17,0
24,25,Sakon Yamamoto,,,,,,,,,,20,DNF,19,20,19,,16,15,,,0
25,26,Christian Klien,,,,,,,,,,,,,,,DNF,,,22,20,0
26,27,Timo Glock,DNF,DNF,DNF,DNS,18,DNF,18,DNF,19,18,18,16,18,17,DNF,14,DNF,20,DNF,0
