,Pos,Driver,AUS,MAL,CHI,TUR,SPA,MON,CAN,EUR,BRI,GER,HUN,BEL,ITA,SIN,JAP,KOR,IND,ABU,BRA,Pts
0,1,Sebastian Vettel,1,1,2,1,1,1,2,1*,2,4,2,1,1,1,3,1*,1*,DNF,2,392
1,2,Jenson Button,6,2,4,6,3,3,1*,6,DNF,DNF,1,3,2,2*,1*,4,2,3,3,270
2,3,Mark Webber,5,4*,3*,2*,4,4*,3,3,3,3,5,2*,DNF,3,4,3,4,4*,1*,258
3,4,Fernando Alonso,4,6,7,3,5,2,DNF,2,1*,2,3,4,3,4,2,5,3,2,4,257
4,5,Lewis Hamilton,2,8,1,4,2*,6,DNF,4,4,1*,4,DNF,4*,5,5,2,7,1,DNF,227
5,6,Felipe Massa,7*,5,6,11,DNF,DNF,6,5,5,5,6*,8,6,9,7,6,DNF,5,5,118
6,7,Nico Rosberg,DNF,12,5,5,7,11,11,7,6,7,9,6,DNF,7,10,8,6,6,7,89
7,8,Michael Schumacher,DNF,9,8,12,6,DNF,4,17,9,8,DNF,5,5,DNF,6,DNF,5,7,15,76
8,9,Adrian Sutil,9,11,15,13,13,7,DNF,9,11,6,14,7,DNF,8,11,11,9,8,6,42
9,10,Vitaly Petrov,3,17,9,8,11,DNF,5,15,12,10,12,9,DNF,17,9,DNF,11,13,10,37
10,11,Nick Heidfeld,12,3,12,7,8,8,DNF,10,8,DNF,DNF,,,,,,,,,34
11,12,Kamui Kobayashi,DSQ,7,10,10,10,5,7,16,DNF,9,11,12,DNF,14,13,15,DNF,10,9,30
12,13,Paul di Resta,10,10,11,DNF,12,12,18,14,15,13,7,11,8,6,12,10,13,9,8,27
13,14,Jaime Alguersuari,11,14,DNF,16,16,DNF,8,8,10,12,10,DNF,7,21,15,7,8,15,11,26
14,15,Sébastien Buemi,8,13,14,9,14,10,10,13,DNF,15,8,DNF,10,12,DNF,9,DNF,DNF,12,15
15,16,Sergio Pérez,DSQ,DNF,17,14,9,DNS,,11,7,11,15,DNF,DNF,10,8,16,10,11,13,14
16,17,Rubens Barrichello,DNF,DNF,13,15,17,9,9,12,13,DNF,13,16,12,13,17,12,15,12,14,4
17,18,Bruno Senna,,,,,,,,,,,,13,9,15,16,13,12,16,17,2
18,19,Pastor Maldonado,DNF,DNF,18,17,15,18,DNF,18,14,14,16,10,11,11,14,DNF,DNF,14,DNF,1
19,20,Timo Glock,NC,16,21,DNS,19,DNF,15,21,16,17,17,18,15,DNF,20,18,DNF,19,DNF,0
20,21,Daniel Ricciardo,,,,,,,,,19,19,18,DNF,NC,19,22,19,18,DNF,20,0
21,22,Jérôme d'Ambrosio,14,DNF,20,20,20,15,14,22,17,18,19,17,DNF,18,21,20,16,DNF,19,0
22,23,Pedro de la Rosa,,,,,,,12,,,,,,,,,,,,,0
23,24,Heikki Kovalainen,DNF,15,16,19,DNF,14,DNF,19,DNF,16,DNF,15,13,16,18,14,14,17,16,0
24,25,Narain Karthikeyan,DNQ,DNF,23,21,21,17,17,24,,,,,,,,,17,,,0
25,26,Jarno Trulli,13,DNF,19,18,18,13,16,20,DNF,,DNF,14,14,DNF,19,17,19,18,18,0
26,27,Karun Chandhok,,,,,,,,,,20,,,,,,,,,,0
27,28,Vitantonio Liuzzi,DNQ,DNF,22,22,DNF,16,13,23,18,DNF,20,19,DNF,20,23,21,,20,DNF,0
