,Pos,Driver,AUS,MAL,CHI,BAH,SPA,MON,CAN,EUR,BRI,GER,HUN,BEL,ITA,SIN,JAP,KOR,IND,ABU,US,BRA,Pts
0,1,Sebastian Vettel,2,11,5,1*,6,4,4*,DNF,3,5,4*,2,22,1,1*,1,1,3*,2*,6,281
1,2,Fernando Alonso,5,1,9,7,2,3,5,1,2,1,5,DNF,3,3,DNF,3,2,2,3,2,278
2,3,Kimi Räikkönen,7,5*,14,2,3,9,8,2,5*,3,2,3,5,6,6,5,7,1,6,10,207
3,4,Lewis Hamilton,3,3,3,8,8,5,1,19,8,DNF,1,DNF,1,DNF,5,10,4,DNF,1,DNF*,190
4,5,Jenson Button,1*,14,2,18,9,16,16,8,10,2,6,1,DNF,2,4,DNF,5*,4,5,1,188
5,6,Mark Webber,4,4,4,4,11,1,7,4,1,8,8,6,20,11,9,2*,3,DNF,DNF,4,179
6,7,Felipe Massa,DNF,15,13,9,15,6,10,16,4,12,9,5,4,8,2,4,6,7,4,3,122
7,8,Romain Grosjean,DNF,DNF,6,3,4*,DNF,2,DNF,6,18,3,DNF,,7,19,7,9,DNF,7,DNF,96
8,9,Nico Rosberg,12,13,1,5,7,2,6,6*,15,10,10,11,7*,5,DNF,DNF,11,DNF,13,15,93
9,10,Sergio Pérez,8,2,11,11,DNF,11*,3,9,DNF,6,14,DNF,2,10,DNF,11,DNF,15,11,DNF,66
10,11,Nico Hülkenberg,DNF,9,15,12,10,8,12,5,12,9,11,4,21,14*,7,6,8,DNF,8,5,63
11,12,Kamui Kobayashi,6,DNF,10*,13,5,DNF,9,DNF,11,4,18,13,9,13,3,DNF,14,6,14,9,60
12,13,Michael Schumacher,DNF,10,DNF,10,DNF,DNF,DNF,3,7,7*,DNF,7,6,DNF,11,13,22,11,16,7,49
13,14,Paul di Resta,10,7,12,6,14,7,11,7,DNF,11,12,10,8,4,12,12,12,9,15,19,46
14,15,Pastor Maldonado,13,19,8,DNF,1,DNF,13,12,16,15,13,DNF,11,DNF,8,14,16,5,9,DNF,45
15,16,Bruno Senna,16,6,7,22,DNF,10,17,10,9,17,7,12*,10,18,14,15,10,8,10,DNF,31
16,17,Jean-Eric Vergne,11,8,16,14,12,12,15,DNF,14,14,16,8,DNF,DNF,13,8,15,12,DNF,8,16
17,18,Daniel Ricciardo,9,12,17,15,13,DNF,14,11,13,13,15,9,12,9,10,9,13,10,12,13,10
18,19,Narain Karthikeyan,DNQ,22,22,21,DNF,15,DNF,18,21,23,DNF,DNF,19,DNF,DNF,20,21,DNF,22,18,0
19,20,Charles Pic,15,20,20,DNF,DNF,DNF,20,15,19,20,20,16,16,16,DNF,19,19,DNF,20,12,0
20,21,Jérôme d'Ambrosio,,,,,,,,,,,,,13,,,,,,,,0
21,22,Pedro de la Rosa,DNQ,21,21,20,19,DNF,DNF,17,20,21,22,18,18,17,18,DNF,DNF,17,21,17,0
22,23,Heikki Kovalainen,DNF,18,23,17,16,13,18,14,17,19,17,17,14,15,15,17,18,13,18,14,0
23,24,Timo Glock,14,17,19,19,18,14,DNF,DNS,18,22,21,15,17,12,16,18,20,14,19,16,0
24,25,Vitaly Petrov,DNF,16,18,16,17,DNF,19,13,DNS,16,19,14,15,19,17,16,17,16,17,11,0
