,Pos,Driver,AUS,MAL,CHI,BAH,SPA,MON,CAN,BRI,GER,HUN,BEL,ITA,SIN,KOR,JAP,IND,ABU,US,BRA,Pts
0,1,Sebastian Vettel,3,1,4*,1*,4,2*,1,DNF,1,3,1*,1,1*,1*,1,1,1,1*,1,397
1,2,Fernando Alonso,2,DNF,1,8,1,7,2,3,4*,5,2,2,2,6,4,11,5*,5,3,242
2,3,Mark Webber,6,2,DNF,7,5,3,4*,2*,7,4*,5,3,15,DNF,2*,DNF,2,3,2*,199
3,4,Lewis Hamilton,5,3,3,5,12,4,3,4,5,1,3,9*,5,5,DNF,6,7,4,9,189
4,5,Kimi Räikkönen,1*,7,2,2,2,10,9,5,2,2,DNF,11,3,2,5,7*,DNF,,,183
5,6,Nico Rosberg,DNF,4,DNF,9,6,1,5,1,9,19,4,6,4,7,8,2,3,9,5,171
6,7,Romain Grosjean,10,6,9,3,DNF,DNF,13,19,3,6,8,8,DNF,3,3,3,4,2,DNF,132
7,8,Felipe Massa,4,5,6,15,3,DNF,8,6,DNF,8,7,4,6,9,10,4,8,12,7,112
8,9,Jenson Button,9,17,5,10,8,6,12,13,6,7,6,10,7,8,9,14,12,10,4,73
9,10,Nico Hülkenberg,DNS,8,10,12,15,11,DNF,10,10,11,13,5,9,4,6,DNF,14,6,8,51
10,11,Sergio Pérez,11,9*,11,6,9,16,11,20,8,9,11,12,8,10,15,5,9,7,6,49
11,12,Paul di Resta,8,DNF,8,4,7,9,7,9,11,18,DNF,DNF,20,DNF,11,8,6,15,11,48
12,13,Adrian Sutil,7,DNF,DNF,13,13,5,10,7,13,DNF,9,16,10,20,14,9,10,DNF,13,29
13,14,Daniel Ricciardo,DNF,18,7,16,10,DNF,15,8,12,13,10,7,DNF,19,13,10,16,11,10,20
14,15,Jean-Eric Vergne,12,10,12,DNF,DNF,8,6,DNF,DNF,12,12,DNF,14,18,12,13,17,16,15,13
15,16,Esteban Gutierrez,13,12,DNF,18,11*,13,20,14,14,DNF,14,13,12,11,7,15,13,13,12,6
16,17,Valtteri Bottas,14,11,13,14,16,12,14,12,16,DNF,15,15,13,12,17,16,15,8,DNF,4
17,18,Pastor Maldonado,DNF,DNF,14,11,14,DNF,16,11,15,10,17,14,11,13,16,12,11,17,16,1
18,19,Charles Pic,16,14,16,17,17,DNF,18,15,17,15,DNF,17,19,14,18,DNF,19,20,DNF,0
19,20,Max Chilton,17,16,17,20,19,14,19,17,19,17,19,20,17,17,19,17,21,21,19,0
20,21,Jules Bianchi,15,13,15,19,18,DNF,17,16,DNF,16,18,19,18,16,DNF,18,20,18,17,0
21,22,Heikki Kovalainen,,,,,,,,,,,,,,,,,,14,14,0
22,23,Giedo van der Garde,18,15,18,21,DNF,15,DNF,18,18,14,16,18,16,15,DNF,DNF,18,19,18,0
