,Pos,Driver,AUS,MAL,BAH,CHI,SPA,MON,CAN,OST,BRI,GER,HUN,BEL,ITA,SIN,JAP,RUS,US,BRA,ABU,Pts
0,1,Lewis Hamilton,DNF,1*,1,1,1,2,DNF,2,1*,3*,3,DNF,1*,1*,1*,1,1,2*,1,384
1,2,Nico Rosberg,1*,2,2*,2*,2,1,2,1,DNF,1,4*,2*,2,DNF,2,2,2,1,14,317
2,3,Daniel Ricciardo,DSQ,DNF,4,4,3,3,1,8,3,6,1,1,5,3,4,7,3,DNF,4*,238
3,4,Valtteri Bottas,5,8,8,7,5,DNF,7,3,2,2,8,3,4,11,6,3*,5,10,3,186
4,5,Sebastian Vettel,DNF,3,6,5,4*,DNF,3,DNF,5,4,7,5,6,2,3,8,7*,5,8,167
5,6,Fernando Alonso,4,4,9,3,6,4,6,5,6,5,2,7,DNF,4,DNS,6,6,6,9,161
6,7,Felipe Massa,DNF,7,7,15,13,7,12*,4,DNF,DNF,5,13,3,5,7,11,4,3,2,134
7,8,Jenson Button,3,6,17,11,11,6,4,11,4,8,10,6,8,DNF,5,4,12,4,5,126
8,9,Nico Hülkenberg,6,5,5,6,10,5,5,9,8,7,DNF,10,12,9,8,12,DNF,8,6,96
9,10,Sergio Pérez,10,DNS,3,9,9,DNF,11,6*,11,10,DNF,8,7,7,10,10,DNF,15,7,59
10,11,Kevin Magnussen,2,9,DNF,13,12,10,9,7,7,9,12,12,10,10,14,5,8,9,11,55
11,12,Kimi Räikkönen,7,12,10,8,7,12*,10,10,DNF,11,6,4,9,8,12,9,13,7,10,55
12,13,Jean-Eric Vergne,8,DNF,DNF,12,DNF,DNF,8,DNF,10,13,9,11,13,6,9,13,10,13,12,23
13,14,Daniil Kvyat,9,10,11,10,14,DNF,DNF,DNF,9,DNF,14,9,11,14,11,14,15,11,DNF,8
14,15,Romain Grosjean,DNF,11,12,DNF,8,8,DNF,14,12,DNF,DNF,DNF,16,13,15,17,11,17,13,8
15,16,Jules Bianchi,NC,DNF,16,17,18,9,DNF,15,14,15,15,18,18,16,DNF,,,,,2
16,17,Pastor Maldonado,DNF,DNF,14,14,15,DNS,DNF,12,DNF,12,13,DNF,14,12,16,18,9,12,DNF,1
17,18,Adrian Sutil,11,DNF,DNF,DNF,17,DNF,13,13,13,DNF,11,14,15,DNF,DNF,16,DNF,16,16,0
18,19,Max Chilton,13,15,13,19,19,14,DNF,17,16,17,16,16,DNF,17,18,DNF,,,,0
19,20,Marcus Ericsson,DNF,14,DNF,20,20,11,DNF,18,DNF,18,DNF,17,20,15,17,19,,,,0
20,21,Andre Lotterer,,,,,,,,,,,,DNF,,,,,,,,0
21,22,Kamui Kobayashi,DNF,13,15,18,DNF,13,DNF,16,15,16,DNF,,17,DNS,19,DNF,,,DNF,0
22,23,Esteban Gutierrez,12,DNF,DNF,16,16,DNF,14,19,DNF,14,DNF,15,19,DNF,13,15,14,14,15,0
23,24,Will Stevens,,,,,,,,,,,,,,,,,,,17,0
