,Pos,Driver,AUS,CHI,BAH,RUS,SPA,MON,CAN,AZE,OST,BRI,HUN,BEL,ITA,SIN,MAL,JAP,US,MEX,BRA,ABU,Pts
0,1,Lewis Hamilton,2,1*,2*,4,1*,7,1*,5,4*,1*,4,1,1,1*,2,1,1,9,4,2,363
1,2,Sebastian Vettel,1,2,1,2,2,1,4,4*,2,7,1,2*,3,DNF,4*,DNF,2*,4*,1,3,317
2,3,Valtteri Bottas,3,6,3,1,DNF,4,2,2,1,2,3,5,2,3,5,4*,5,2,2,1*,305
3,4,Kimi Räikkönen,4*,5,4,3*,DNF,2,7,14,5,3,2,4,5,DNF,DNS,5,3,3,3,4,205
4,5,Daniel Ricciardo,DNF,4,5,DNF,3,3,3,1,3,5,DNF,3,4*,2,3,3,DNF,DNF,6,DNF,200
5,6,Max Verstappen,5,3,DNF,5,DNF,5,DNF,DNF,DNF,4,5,DNF,10,DNF,1,2,4,1,5*,5,168
6,7,Sergio Pérez,7,9,7,6,4,13*,5,DNF,7,9,8,17,9,5,6,7,8,7,9,7,100
7,8,Esteban Ocon,10,10,10,7,5,12,6,6,8,8,9,9,6,10,10,6,6,5,DNF,8,87
8,9,Carlos Sainz Jr.,8,7,DNF,10,7,6,DNF,8,DNF,DNF,7,10,14,4,DNF,DNF,7,DNF,11,DNF,54
9,10,Felipe Massa,6,14,6,9,13,9,DNF,DNF,9,10,,8,8,11,9,10,9,11,7,10,43
10,11,Nico Hülkenberg,11,12,9,8,6,DNF,8,DNF,13,6,17,6,13,DNF,16,DNF,DNF,DNF,10,6,43
11,12,Lance Stroll,DNF,DNF,DNF,11,16,15,9,3,10,16,14,11,7,8,8,DNF,11,6,16,18,40
12,13,Romain Grosjean,DNF,11,8,DNF,10,8,10,13,6,13,DNF,7,15,9,13,9,14,15,15,11,28
13,14,Kevin Magnussen,DNF,8,DNF,13,14,10,12,7,DNF,12,13,15,11,DNF,12,8,16,8,DNF,13,19
14,15,Fernando Alonso,DNF,DNF,14,DNS,12,,16,9,DNF,DNF,6*,DNF,17,DNF,11,11,DNF,10,8,9,17
15,16,Stoffel Vandoorne,13,DNF,DNS,14,DNF,DNF,14,12,12,11,10,14,DNF,7,7,14,12,12,DNF,12,13
16,17,Jolyon Palmer,DNF,13,13,DNF,15,11,11,DNF,11,DNF,12,13,DNF,6,15,12,,,,,8
17,18,Pascal Wehrlein,,,11,16,8,DNF,15,10,14,17,15,DNF,16,12,17,15,DNF,14,14,14,5
18,19,Daniil Kvyat,9,DNF,12,12,9,14,DNF,DNF,16,15,11,12,12,DNF,,,10,,,,5
19,20,Brendon Hartley,,,,,,,,,,,,,,,,,13,DNF,DNF,15,0
20,21,Marcus Ericsson,DNF,15,DNF,15,11,DNF,13,11,15,14,16,16,DNF,DNF,18,DNF,15,DNF,13,17,0
21,22,Jenson Button,,,,,,DNF,,,,,,,,,,,,,,,0
22,23,Paul di Resta,,,,,,,,,,,DNF,,,,,,,,,,0
23,24,Pierre Gasly,,,,,,,,,,,,,,,14,13,,13,12,16,0
24,25,Antonio Giovinazzi,12,DNF,,,,,,,,,,,,,,,,,,,0
