,Pos,Driver,AUS,BAH,CHI,AZE,SPA,MON,CAN,FRE,OST,BRI,GER,HUN,BEL,ITA,SIN,RUS,JAP,US,MEX,BRA,ABU,Pts
0,1,Lewis Hamilton,2,3,4,1,1,3,5,1,DNF,2,1*,1,2,1*,1,1,1,3*,4,1,1,408
1,2,Sebastian Vettel,1,1,8,4,4,2,1,5,3,1*,DNF,2,1,4,3,3,6*,4,2,6,2*,320
2,3,Kimi Räikkönen,3,DNF,3,2,DNF,4,6,3,2*,3,3,3,DNF,2,5,4,5,1,3,3,DNF,251
3,4,Max Verstappen,6,DNF,5,DNF,3,9*,3*,2,1,15,4,DNF,3,5,2,5,3,2,1,2,3,249
4,5,Valtteri Bottas,8,2*,2,14*,2,5,2,7*,DNF,4,2,5,4*,3,4,2*,2,5,5*,5*,5,247
5,6,Daniel Ricciardo,4*,DNF,1*,DNF,5*,1,4,4,DNF,5,DNF,4*,DNF,DNF,6,6,4,DNF,DNF,4,4,170
6,7,Nico Hülkenberg,7,6,6,DNF,DNF,8,7,9,DNF,6,5,12,DNF,13,10,12,DNF,6,6,DNF,DNF,69
7,8,Sergio Pérez,11,16,12,3,9,12,14,DNF,7,10,7,14,5,7,16,10,7,8,DNF,10,8,62
8,9,Kevin Magnussen,DNF,5,10,13,6,13,13,6,5,9,11,7,8,16,18*,8,DNF,DSQ,15,9,10,56
9,10,Carlos Sainz Jr.,10,11,9,5,7,10,8,8,12,DNF,12,9,11,8,8,17,10,7,DNF,12,6,53
10,11,Fernando Alonso,5,7,7,7,8,DNF,DNF,16,8,8,16,8,DNF,DNF,7,14,14,DNF,DNF,17,11,50
11,12,Esteban Ocon,12,10,11,DNF,DNF,6,9,DNF,6,7,8,13,6,6,DNF,9,9,DSQ,11,14,DNF,49
12,13,Charles Leclerc,13,12,19,6,10,18,10,10,9,DNF,15,DNF,DNF,11,9,7,DNF,DNF,7,7,7,39
13,14,Romain Grosjean,DNF,13,17,DNF,DNF,15,12,11,4,DNF,6,10,7,DSQ,15,11,8,DNF,16,8,9,37
14,15,Pierre Gasly,DNF,4,18,12,DNF,7,11,DNF,11,13,14,6,9,14,13,DNF,11,12,10,13,DNF,29
15,16,Stoffel Vandoorne,9,8,13,9,DNF,14,16,12,15,11,13,DNF,15,12,12,16,15,11,8,15,14,12
16,17,Marcus Ericsson,DNF,9,16,11,13,11,15,13,10,DNF,9,15,10,15,11,13,12,10,9,DNF,DNF,9
17,18,Lance Stroll,14,14,14,8,11,17,DNF,17,14,12,DNF,17,13,9,14,15,17,14,12,18,13,6
18,19,Brendon Hartley,15,17,DNF,10,12,19,DNF,14,DNF,DNF,10,11,14,DNF,17,DNF,13,9,14,11,12,4
19,20,Sergey Sirotkin,DNF,15,15,DNF,14,16,17,15,13,14,DNF,16,12,10,19,18,16,13,13,16,15,1
