,Pos,Driver,OST,STE,HUN,BRI,ANN,SPA,BEL,ITA,TOS,RUS,EIF,POR,EMI,TUR,BAH,SAK,ABU,Pts
0,1,Lewis Hamilton,4,1,1*,1,2*,1,1,7*,1*,3,1,1*,1*,1,1,,3,347
1,2,Valtteri Bottas,1,2,3,11,3,3*,2,5,2,1*,DNF,2,2,14,8,8,2,223
2,3,Max Verstappen,DNF,3,2,2*,1,2,3,DNF,DNF,2,2*,3,DNF,6,2*,DNF,1,214
3,4,Sergio Pérez,6,6,7,,,5,10,10,5,4,4,7,6,2,18,1,DNF,125
4,5,Daniel Ricciardo,DNF,8,8,4,14,11,4*,6,4,5,3,9,3,10,7,5,7*,119
5,6,Alexander Albon,13,4,5,8,5,8,6,15,3,10,DNF,12,15,7,3,6,4,105
6,7,Carlos Sainz Jr.,5,9*,9,13,13,6,DNS,2,DNF,DNF,5,6,7,5,5,4,6,105
7,8,Charles Leclerc,2,DNF,11,3,4,DNF,14,DNF,8,6,7,4,5,4,10,DNF,13,98
8,9,Lando Norris,3*,5,13,5,9,10,7,4,6,15,DNF,13,8,8*,4,10,5,97
9,10,Pierre Gasly,7,15,DNF,7,11,9,8,1,DNF,9,6,5,DNF,13,6,11,8,75
10,11,Lance Stroll,DNF,7,4,9,6,4,9,3,DNF,DNF,,DNF,14,9,DNF,3,10,75
11,12,Esteban Ocon,8,DNF,14,6,8,13,5,8,DNF,7,DNF,8,DNF,11,9,2,9,62
12,13,Sebastian Vettel,10,DNF,6,10,12,7,13,DNF,10,13,11,10,13,3,13,12,14,33
13,14,Daniil Kvyat,12,10,12,DNF,10,12,11,9,7,8,15,19,4,12,11,7,11,32
14,15,Nico Hülkenberg,,,,DNS,7,,,,,,8,,,,,,,10
15,16,Antonio Giovinazzi,9,14,17,14,17,16,DNF,16,DNF,11,10,15,10,DNF,16,13,16,4
16,17,Kimi Räikkönen,DNF,11,15,17,15,14,12,13,9,14,12,11,9,15,15,14,12,4
17,18,George Russell,DNF,16,18,12,18,17,DNF,14,11,18,DNF,14,DNF,16,12,9*,15,3
18,19,Romain Grosjean,DNF,13,16,16,16,19,15,12,12,17,9,17,12,DNF,DNF,,,2
19,20,Kevin Magnussen,DNF,12,10,DNF,DNF,15,17,DNF,DNF,12,13,16,DNF,17,17,15,18,1
20,21,Nicholas Latifi,11,17,19,15,19,18,16,11,DNF,16,14,18,11,DNF,14,DNF,17,0
21,22,Pietro Fittipaldi,,,,,,,,,,,,,,,,17,,0
22,23,Jack Aitken,,,,,,,,,,,,,,,,16,,0
23,19,,,,,,,,,,,,,,,,,,,
