Pos,Driver,BAH,EMI,POR,SPA,Pts
1,  Lewis Hamilton,1,2*,1,1,94
2,  Max Verstappen,2,1,2,2*,80
3,  Valtteri Bottas,3*,DNF,3*,3,47
4,  Lando Norris,4,3,5,8,41
5,  Charles Leclerc,6,4,6,4,40
6,  Sergio Pérez,5,11,4,5,32
7,  Daniel Ricciardo,7,6,9,6,24
8,  Carlos Sainz Jr.,8,5,11,7,20
9,  Esteban Ocon,13,9,7,9,10
10,  Pierre Gasly,17,7,10,10,8
11,  Fernando Alonso,DNF,10,8,17,5
12,  Lance Stroll,10,8,14,11,5
13,  Yuki Tsunoda,9,12,15,DNF,2
14,  Nicholas Latifi,18,DNF,18,16,0
15,  Nikita Mazepin,DNF,17,19,19,0
16,  Mick Schumacher,16,16,17,18,0
17,  Sebastian Vettel,15,DNF,13,13,0
18,  Kimi Räikkönen,11,13,DNF,12,0
19,  George Russell,14,DNF,16,14,0
20,  Antonio Giovinazzi,12,14,12,15,0
